"site","First.symptom.date","year"
"Faenza",2016-06-01,2016
"Arezzo",2013-05-11,2013
"Ancona",2015-06-27,2015
"Pianella",2011-06-12,2011
"Malalbergo",2007-05-13,2007
"Spresiano",2010-05-17,2010
"Susegana",2010-05-20,2010
"Ravenna",2010-05-12,2010
"Alba",2020-06-18,2020
"Casarsa della Delizia",2020-06-22,2020
"Atripalda",2020-06-08,2020
"Castiglione Falletto",2020-06-15,2020
"San Giovanni Lupatoto",2021-05-15,2021
"Vesime",2020-05-15,2020
"Tufo",2014-06-18,2014
"Torrecuso",2016-06-03,2016
"Calosso",2019-05-18,2019
"Bagnacavallo",2017-06-23,2017
"Turi",2014-06-17,2014
"Dolegna del Collio",2012-05-24,2012
"San Giorgio della Richinvelda",2013-05-19,2013
"Verduno",2013-05-18,2013
"Lugo",2015-04-17,2015
"Ronco all'Adige",2013-05-10,2013
"Castel Boglione",2013-06-12,2013
"San Vendemiano",2013-05-20,2013
"Castions di Strada",2012-05-23,2012
"AL001_Carpeneto (AL)",2022-06-06,2022
"AL001_Carpeneto (AL)",2024-07-16,2024
"AL002_Carpeneto",2024-07-16,2024
"AL003_Carpeneto",2024-07-16,2024
"AN001_Agugliano",2022-06-20,2022
"AN001_Agugliano",2023-05-30,2023
"AP000_Castignano",2021-04-16,2021
"AT001_Costigliole D'asti",2021-06-18,2021
"BG001_Scanzorosciate",2021-06-21,2021
"BG001_Scanzorosciate",2022-05-30,2022
"BG001_Scanzorosciate",2023-06-07,2023
"BG001_Scanzorosciate",2024-08-20,2024
"BS001_Paratico",2021-06-21,2021
"BS001_Paratico",2023-06-07,2023
"BS001_Paratico",2024-05-30,2024
"BS001_Paratico",2025-03-31,2025
"CH000_S. Maria Imbaro",2020-07-13,2020
"CN002_La Morra",2021-06-29,2021
"GEBI05_SESTRI LEVANTE",2021-05-03,2021
"GEBI19_GENOVA",2021-05-03,2021
"GEVE11_CASTIGLIONE CHIAVARESE",2021-05-17,2021
"GEVE25_CHIAVARI",2021-05-03,2021
"IMRO12_DOLCEACQUA",2021-05-03,2021
"MC001_Montefano",2021-06-15,2021
"MC001_Montefano",2024-06-04,2024
"MC002_Montefano",2021-06-08,2021
"MC002_Montefano",2022-06-07,2022
"MC002_Montefano",2023-05-23,2023
"MT002_Tricarico",2020-08-13,2020
"MT004_Policoro",2020-08-11,2020
"NO001_Ghemme",2021-08-10,2021
"NU007_Perd'arba - Jerzu",2022-06-21,2022
"OR001_Cricchidoris",2021-04-22,2021
"OR005_Sa Carruba",2021-06-21,2021
"OR005_Sa Carruba",2022-06-08,2022
"PU001_Piagge",2023-05-30,2023
"PU002_Pesaro",2023-07-03,2023
"PU003_San Costanzo",2021-06-07,2021
"PU003_San Costanzo",2022-05-17,2022
"PU003_San Costanzo",2023-05-29,2023
"PZ000_Viggiano",2023-06-29,2023
"PZ001_Viggiano",2022-09-27,2022
"PZ001_Viggiano",2023-06-13,2023
"PZ001s_Viggiano",2022-09-27,2022
"PZ001s_Viggiano",2023-06-13,2023
"PZ002_Senise",2022-06-23,2022
"PZ002_Senise",2023-06-01,2023
"PZ003_Viggiano",2022-07-14,2022
"PZ003_Viggiano",2023-06-01,2023
"PZ005_Roccanova (PZ)",2023-05-11,2023
"SO001_Sondrio",2020-08-21,2020
"SO001_Sondrio",2021-08-17,2021
"SO001_Sondrio",2023-05-29,2023
"SO002_Teglio",2020-08-27,2020
"SO002_Teglio",2021-09-09,2021
"SO003_Sondrio",2021-06-14,2021
"SO003_Sondrio",2022-06-15,2022
"SO003_Sondrio",2023-05-29,2023
"SPSG14_Arcola",2021-04-12,2021
"SPSG39_Sarzana",2021-05-03,2021
"SPSG39_Sarzana",2024-05-13,2024
"SPVE60_S.Stefano",2021-05-10,2021
"SVGR13_FINALE LIGURE",2024-05-06,2024
"SVPI04_ORTOVERO",2021-05-03,2021
"SVPI04_ORTOVERO",2024-06-03,2024
"TV001_Onigo di Pederobba (TV)",2021-05-27,2021
"TV001_Onigo di Pederobba (TV)",2022-06-28,2022
"TV001_Onigo di Pederobba (TV)",2023-05-24,2023
"TV001_Onigo di Pederobba (TV)",2024-05-14,2024
"TV002_Onigo di Pederobba (TV)",2021-05-27,2021
"TV002_Onigo di Pederobba (TV)",2022-07-12,2022
"TV002_Onigo di Pederobba (TV)",2024-05-21,2024
"VI001_Breganze (VI)",2021-05-27,2021
"VR001_S.Pietro in Cariano (VR)",2021-05-31,2021
"VR001_S.Pietro in Cariano (VR)",2023-05-22,2023
"VR001_S.Pietro in Cariano (VR)",2024-06-03,2024
"VR002_San Briccio",2021-06-01,2021
"VR002_San Briccio",2023-06-27,2023
"VR002_San Briccio",2024-06-25,2024
