"site","year","month","day","tmax","tmin","prec"
"AL002_Carpeneto",2019,1,1,9.41,1.13,0
"AL002_Carpeneto",2019,1,2,13.4,1.05,0
"AL002_Carpeneto",2019,1,3,9.11,-0.59,0
"AL002_Carpeneto",2019,1,4,8.13,-2.87,0
"AL002_Carpeneto",2019,1,5,8.98,-0.77,0
"AL002_Carpeneto",2019,1,6,14.62,0.96,0
"AL002_Carpeneto",2019,1,7,12.37,0.42,0
"AL002_Carpeneto",2019,1,8,8.29,0.47,0
"AL002_Carpeneto",2019,1,9,9.85,0.67,0
"AL002_Carpeneto",2019,1,10,10.6,-0.34,0
"AL002_Carpeneto",2019,1,11,8.67,-2.19,0
"AL002_Carpeneto",2019,1,12,11.73,-1.79,0
"AL002_Carpeneto",2019,1,13,13.09,0.67,0
"AL002_Carpeneto",2019,1,14,15.43,3.75,0
"AL002_Carpeneto",2019,1,15,13.43,1.65,0
"AL002_Carpeneto",2019,1,16,9.72,2.04,0
"AL002_Carpeneto",2019,1,17,8.9,3.95,13.3
"AL002_Carpeneto",2019,1,18,9.72,1.76,0
"AL002_Carpeneto",2019,1,19,6.91,0.83,0
"AL002_Carpeneto",2019,1,20,7.01,-0.18,0
"AL002_Carpeneto",2019,1,21,7.92,-0.33,0
"AL002_Carpeneto",2019,1,22,7.46,-1.8,0
"AL002_Carpeneto",2019,1,23,4.58,-1.8,0
"AL002_Carpeneto",2019,1,24,7.55,0.54,0
"AL002_Carpeneto",2019,1,25,9.66,-1.22,0
"AL002_Carpeneto",2019,1,26,11.59,-1.94,0
"AL002_Carpeneto",2019,1,27,7.27,-1.08,0
"AL002_Carpeneto",2019,1,28,10.38,0.93,0
"AL002_Carpeneto",2019,1,29,10.12,-0.11,0
"AL002_Carpeneto",2019,1,30,5.61,-1.02,0
"AL002_Carpeneto",2019,1,31,5.84,-2.96,2.9
"AL002_Carpeneto",2019,2,1,6.15,0.74,45.4
"AL002_Carpeneto",2019,2,2,6.97,1.71,15.3
"AL002_Carpeneto",2019,2,3,8.1,2.72,7.1
"AL002_Carpeneto",2019,2,4,11.08,2.91,0
"AL002_Carpeneto",2019,2,5,12.17,0.4,0
"AL002_Carpeneto",2019,2,6,14.25,1.09,0
"AL002_Carpeneto",2019,2,7,10.76,-0.41,0
"AL002_Carpeneto",2019,2,8,12.99,0.72,0
"AL002_Carpeneto",2019,2,9,11.93,1.03,0
"AL002_Carpeneto",2019,2,10,10.43,4.62,0
"AL002_Carpeneto",2019,2,11,11.57,3.58,0
"AL002_Carpeneto",2019,2,12,16.57,2.4,0
"AL002_Carpeneto",2019,2,13,13.94,-0.25,0
"AL002_Carpeneto",2019,2,14,15.94,0.6,0
"AL002_Carpeneto",2019,2,15,17.79,1.52,0
"AL002_Carpeneto",2019,2,16,16.83,0.81,0
"AL002_Carpeneto",2019,2,17,16.24,1.8,0
"AL002_Carpeneto",2019,2,18,14.34,2.23,0
"AL002_Carpeneto",2019,2,19,12.56,1.46,0
"AL002_Carpeneto",2019,2,20,13.46,0.96,0
"AL002_Carpeneto",2019,2,21,15.11,1.79,0
"AL002_Carpeneto",2019,2,22,21.17,3.16,0
"AL002_Carpeneto",2019,2,23,14.12,4.1,0
"AL002_Carpeneto",2019,2,24,13.92,-0.2,0
"AL002_Carpeneto",2019,2,25,14.2,-0.57,0
"AL002_Carpeneto",2019,2,26,18.13,2.46,0
"AL002_Carpeneto",2019,2,27,20.37,4.46,0
"AL002_Carpeneto",2019,2,28,19.65,4.83,0
"AL002_Carpeneto",2019,3,1,17.07,4.98,0
"AL002_Carpeneto",2019,3,2,17.37,4.87,0
"AL002_Carpeneto",2019,3,3,17.27,3.34,0
"AL002_Carpeneto",2019,3,4,13.43,5.7,0
"AL002_Carpeneto",2019,3,5,17.02,5.21,0
"AL002_Carpeneto",2019,3,6,13.42,4.22,0
"AL002_Carpeneto",2019,3,7,14.62,8.97,6.2
"AL002_Carpeneto",2019,3,8,16.13,6.57,0
"AL002_Carpeneto",2019,3,9,16.73,5.91,0
"AL002_Carpeneto",2019,3,10,16.39,6.56,0
"AL002_Carpeneto",2019,3,11,17.2,5.08,0
"AL002_Carpeneto",2019,3,12,15.14,1.86,0
"AL002_Carpeneto",2019,3,13,14.67,3.24,0
"AL002_Carpeneto",2019,3,14,15.72,2.28,0
"AL002_Carpeneto",2019,3,15,20.09,6.4,0
"AL002_Carpeneto",2019,3,16,20.14,7.45,0
"AL002_Carpeneto",2019,3,17,11.73,6.68,0
"AL002_Carpeneto",2019,3,18,15.74,5.5,3.7
"AL002_Carpeneto",2019,3,19,13.13,3.02,0
"AL002_Carpeneto",2019,3,20,13.93,2.85,0
"AL002_Carpeneto",2019,3,21,15.69,3.14,0
"AL002_Carpeneto",2019,3,22,20.22,4.69,0
"AL002_Carpeneto",2019,3,23,23.21,5.7,0
"AL002_Carpeneto",2019,3,24,22.51,6.77,0
"AL002_Carpeneto",2019,3,25,20.01,7.37,0
"AL002_Carpeneto",2019,3,26,14.81,4.88,0
"AL002_Carpeneto",2019,3,27,15.7,4.23,0
"AL002_Carpeneto",2019,3,28,15.69,3.86,0
"AL002_Carpeneto",2019,3,29,17.38,4.41,0
"AL002_Carpeneto",2019,3,30,19.13,3.67,0
"AL002_Carpeneto",2019,3,31,21.34,4.95,0
"AL002_Carpeneto",2019,4,1,22.1,6.05,0
"AL002_Carpeneto",2019,4,2,19.91,6.86,0
"AL002_Carpeneto",2019,4,3,12.2,7.8,27.8
"AL002_Carpeneto",2019,4,4,12.16,5.04,42.6
"AL002_Carpeneto",2019,4,5,15.4,3.91,0
"AL002_Carpeneto",2019,4,6,15.13,6.99,0
"AL002_Carpeneto",2019,4,7,11.5,5.72,4.2
"AL002_Carpeneto",2019,4,8,16.78,4.4,0
"AL002_Carpeneto",2019,4,9,18.11,5.67,0
"AL002_Carpeneto",2019,4,10,17.34,6.88,2.1
"AL002_Carpeneto",2019,4,11,14.2,7.71,6.8
"AL002_Carpeneto",2019,4,12,17,9.12,1.3
"AL002_Carpeneto",2019,4,13,15.85,7.42,0
"AL002_Carpeneto",2019,4,14,11.95,6.51,3.1
"AL002_Carpeneto",2019,4,15,16.74,5.65,0
"AL002_Carpeneto",2019,4,16,17,6.73,0
"AL002_Carpeneto",2019,4,17,20.4,6.51,0
"AL002_Carpeneto",2019,4,18,20.58,7.39,0
"AL002_Carpeneto",2019,4,19,20.48,9.72,0
"AL002_Carpeneto",2019,4,20,22.18,9.25,0
"AL002_Carpeneto",2019,4,21,21.51,11.79,0
"AL002_Carpeneto",2019,4,22,19.88,10.8,9
"AL002_Carpeneto",2019,4,23,13.8,11.38,32.6
"AL002_Carpeneto",2019,4,24,15.03,11.78,15.9
"AL002_Carpeneto",2019,4,25,17.1,9.09,3.8
"AL002_Carpeneto",2019,4,26,18.03,10,4.7
"AL002_Carpeneto",2019,4,27,20.23,7.41,0
"AL002_Carpeneto",2019,4,28,19.72,8.13,0
"AL002_Carpeneto",2019,4,29,17.77,6.51,0
"AL002_Carpeneto",2019,4,30,20.59,5.79,0
"AL002_Carpeneto",2019,5,1,21.67,8.22,0
"AL002_Carpeneto",2019,5,2,16.67,7.68,2.3
"AL002_Carpeneto",2019,5,3,17.89,10.21,6.6
"AL002_Carpeneto",2019,5,4,18.89,9.07,5.6
"AL002_Carpeneto",2019,5,5,11.74,6.07,8.1
"AL002_Carpeneto",2019,5,6,17.44,4.68,0
"AL002_Carpeneto",2019,5,7,16.89,4.45,0
"AL002_Carpeneto",2019,5,8,11.93,9.09,13.3
"AL002_Carpeneto",2019,5,9,20.37,8.85,2.5
"AL002_Carpeneto",2019,5,10,21.62,9.57,0
"AL002_Carpeneto",2019,5,11,18.37,9.73,1.6
"AL002_Carpeneto",2019,5,12,17.93,9.73,0
"AL002_Carpeneto",2019,5,13,20.16,12.03,0
"AL002_Carpeneto",2019,5,14,20.69,8.85,0
"AL002_Carpeneto",2019,5,15,15.29,6.4,0
"AL002_Carpeneto",2019,5,16,19.2,5.59,0
"AL002_Carpeneto",2019,5,17,18.07,9.05,7.7
"AL002_Carpeneto",2019,5,18,14.64,10.83,7.7
"AL002_Carpeneto",2019,5,19,15.71,10.89,3.9
"AL002_Carpeneto",2019,5,20,17.32,10.98,2.6
"AL002_Carpeneto",2019,5,21,21.92,9.42,0
"AL002_Carpeneto",2019,5,22,20.4,10.83,0
"AL002_Carpeneto",2019,5,23,23.37,11.15,0
"AL002_Carpeneto",2019,5,24,23.49,11.28,0
"AL002_Carpeneto",2019,5,25,23.7,12.16,6.9
