"site","year","month","day","tmax","tmin","prec"
"AP000_Castignano",2019,1,1,10.1,1.53,0
"AP000_Castignano",2019,1,2,5.23,0.79,5.4
"AP000_Castignano",2019,1,3,4.04,-0.37,0
"AP000_Castignano",2019,1,4,3.34,-0.46,0
"AP000_Castignano",2019,1,5,9.31,1.73,0
"AP000_Castignano",2019,1,6,12.34,1.42,0
"AP000_Castignano",2019,1,7,8.73,0.99,0
"AP000_Castignano",2019,1,8,11.45,2.6,3
"AP000_Castignano",2019,1,9,7.97,0.67,5.3
"AP000_Castignano",2019,1,10,4.66,0.73,9.5
"AP000_Castignano",2019,1,11,4.49,-0.38,4.3
"AP000_Castignano",2019,1,12,8.89,1.49,5.4
"AP000_Castignano",2019,1,13,11.7,3.67,0
"AP000_Castignano",2019,1,14,12.09,2.82,0
"AP000_Castignano",2019,1,15,11.45,1.66,0
"AP000_Castignano",2019,1,16,14.61,3.92,0
"AP000_Castignano",2019,1,17,13.98,6.88,0
"AP000_Castignano",2019,1,18,12.78,4.25,0
"AP000_Castignano",2019,1,19,8.85,4.39,1.7
"AP000_Castignano",2019,1,20,7.31,3.89,6.3
"AP000_Castignano",2019,1,21,4.48,1.13,19.2
"AP000_Castignano",2019,1,22,3.21,-0.29,7.1
"AP000_Castignano",2019,1,23,6.43,1.44,1.2
"AP000_Castignano",2019,1,24,5.36,2.46,8.9
"AP000_Castignano",2019,1,25,5.26,1.71,1
"AP000_Castignano",2019,1,26,8.28,1.65,0
"AP000_Castignano",2019,1,27,13.02,5.71,0
"AP000_Castignano",2019,1,28,11.87,0.48,1.1
"AP000_Castignano",2019,1,29,7.13,0.78,0
"AP000_Castignano",2019,1,30,7.64,0.11,0
"AP000_Castignano",2019,1,31,10.55,4.62,0
"AP000_Castignano",2019,2,1,16.02,9.26,0
"AP000_Castignano",2019,2,2,18.06,5.5,1.8
"AP000_Castignano",2019,2,3,12.26,6.2,13.7
"AP000_Castignano",2019,2,4,8.27,4.2,6.2
"AP000_Castignano",2019,2,5,8.99,3.87,0
"AP000_Castignano",2019,2,6,11.43,3.17,0
"AP000_Castignano",2019,2,7,12.76,3.25,0
"AP000_Castignano",2019,2,8,11.63,3.01,0
"AP000_Castignano",2019,2,9,14.29,5.44,0
"AP000_Castignano",2019,2,10,15.76,7.66,0
"AP000_Castignano",2019,2,11,12.28,3.24,0
"AP000_Castignano",2019,2,12,11.84,1.26,0
"AP000_Castignano",2019,2,13,9.76,2.23,0
"AP000_Castignano",2019,2,14,15.04,4.49,0
"AP000_Castignano",2019,2,15,13.3,3.34,0
"AP000_Castignano",2019,2,16,13.97,4.72,0
"AP000_Castignano",2019,2,17,17.09,8.05,0
"AP000_Castignano",2019,2,18,17.01,4.31,0
"AP000_Castignano",2019,2,19,14.29,3.61,0
"AP000_Castignano",2019,2,20,12.87,3.81,0
"AP000_Castignano",2019,2,21,14.18,5.96,0
"AP000_Castignano",2019,2,22,14.73,2.51,0
"AP000_Castignano",2019,2,23,5.22,2.2,0
"AP000_Castignano",2019,2,24,8.46,2.86,0
"AP000_Castignano",2019,2,25,11.75,4.87,0
"AP000_Castignano",2019,2,26,16.65,8.96,0
"AP000_Castignano",2019,2,27,17.2,7.5,0
"AP000_Castignano",2019,2,28,22.21,6.24,0
"AP000_Castignano",2019,3,1,16.82,7.99,1.4
"AP000_Castignano",2019,3,2,16.96,6.99,0
"AP000_Castignano",2019,3,3,17.66,7.71,0
"AP000_Castignano",2019,3,4,20.53,11.51,0
"AP000_Castignano",2019,3,5,15.84,6.94,0
"AP000_Castignano",2019,3,6,18.11,8.44,0
"AP000_Castignano",2019,3,7,24.92,9.9,0
"AP000_Castignano",2019,3,8,17.75,8.21,0
"AP000_Castignano",2019,3,9,20.14,7.64,0
"AP000_Castignano",2019,3,10,20.41,11.79,0
"AP000_Castignano",2019,3,11,18.97,3.18,5.5
"AP000_Castignano",2019,3,12,12.34,3.12,0
"AP000_Castignano",2019,3,13,15.78,4.76,13.3
"AP000_Castignano",2019,3,14,15.04,5.29,0
"AP000_Castignano",2019,3,15,19.75,9.84,0
"AP000_Castignano",2019,3,16,21.52,6.86,0
"AP000_Castignano",2019,3,17,19.15,7.57,0
"AP000_Castignano",2019,3,18,17.36,5.22,3.8
"AP000_Castignano",2019,3,19,9.43,4.8,0
"AP000_Castignano",2019,3,20,11.16,4.2,0
"AP000_Castignano",2019,3,21,15.14,5.55,0
"AP000_Castignano",2019,3,22,17.21,7.36,0
"AP000_Castignano",2019,3,23,19.74,9.35,0
"AP000_Castignano",2019,3,24,21.89,9.86,0
"AP000_Castignano",2019,3,25,22.48,5.98,2.6
"AP000_Castignano",2019,3,26,10.43,5.21,0
"AP000_Castignano",2019,3,27,13.33,5.04,0
"AP000_Castignano",2019,3,28,13.39,5.28,0
"AP000_Castignano",2019,3,29,16.24,6.14,0
"AP000_Castignano",2019,3,30,18.01,7.31,0
"AP000_Castignano",2019,3,31,19.83,9.87,0
"AP000_Castignano",2019,4,1,21.66,10.41,0
"AP000_Castignano",2019,4,2,21.39,10.16,0
"AP000_Castignano",2019,4,3,18.18,8.51,0
"AP000_Castignano",2019,4,4,18.78,6.53,6.8
"AP000_Castignano",2019,4,5,16.19,5.65,0
"AP000_Castignano",2019,4,6,15.88,7.63,1.1
"AP000_Castignano",2019,4,7,17.32,8.49,0
"AP000_Castignano",2019,4,8,17.64,9.75,1.5
"AP000_Castignano",2019,4,9,18.9,9.28,0
"AP000_Castignano",2019,4,10,18.28,9.14,13.3
"AP000_Castignano",2019,4,11,15.46,7.29,4.4
"AP000_Castignano",2019,4,12,12.66,7.49,5.2
"AP000_Castignano",2019,4,13,12.91,7.82,0
"AP000_Castignano",2019,4,14,14.06,8.67,7.8
"AP000_Castignano",2019,4,15,16.47,7.29,0
"AP000_Castignano",2019,4,16,18.32,8.53,0
"AP000_Castignano",2019,4,17,19.39,8.96,0
"AP000_Castignano",2019,4,18,18.92,8.93,0
"AP000_Castignano",2019,4,19,19.9,8.79,0
"AP000_Castignano",2019,4,20,21.88,10.38,0
"AP000_Castignano",2019,4,21,20.02,9.23,0
"AP000_Castignano",2019,4,22,15.1,12.03,10.9
"AP000_Castignano",2019,4,23,20.83,11.45,0
"AP000_Castignano",2019,4,24,22.92,13.85,0
"AP000_Castignano",2019,4,25,23.88,13.78,0
"AP000_Castignano",2019,4,26,24.2,10.05,1.1
"AP000_Castignano",2019,4,27,21.87,10.31,0
"AP000_Castignano",2019,4,28,19.4,5.78,8.7
"AP000_Castignano",2019,4,29,14.6,6.95,15.8
"AP000_Castignano",2019,4,30,18.09,9.92,1.4
"AP000_Castignano",2019,5,1,19.31,10.28,0
"AP000_Castignano",2019,5,2,22.28,13.37,0
"AP000_Castignano",2019,5,3,21.84,10.88,0.8
"AP000_Castignano",2019,5,4,15.52,9.87,3.3
"AP000_Castignano",2019,5,5,16.83,6.76,13.2
"AP000_Castignano",2019,5,6,11.75,7.9,3.3
"AP000_Castignano",2019,5,7,17.41,7.81,0
"AP000_Castignano",2019,5,8,18.57,11.39,0
"AP000_Castignano",2019,5,9,21.67,9.63,0
"AP000_Castignano",2019,5,10,22,12.25,0
"AP000_Castignano",2019,5,11,23.15,11.03,11.4
"AP000_Castignano",2019,5,12,15.8,11.06,27.3
"AP000_Castignano",2019,5,13,11.55,8.76,36.6
"AP000_Castignano",2019,5,14,12.07,6.83,1.6
"AP000_Castignano",2019,5,15,12.43,7.84,0
"AP000_Castignano",2019,5,16,16.92,8.87,0
"AP000_Castignano",2019,5,17,18.9,12.46,0
"AP000_Castignano",2019,5,18,20.47,12.04,3.2
"AP000_Castignano",2019,5,19,19.69,10.94,10
"AP000_Castignano",2019,5,20,20.32,10.73,0
"AP000_Castignano",2019,5,21,22.59,13.12,0
"AP000_Castignano",2019,5,22,22.13,14.25,2
"AP000_Castignano",2019,5,23,22.65,13.33,6.9
"AP000_Castignano",2019,5,24,23.6,15.19,0
"AP000_Castignano",2019,5,25,23.84,14.9,9.2
"AP000_Castignano",2019,5,26,16.8,13.71,21.2
"AP000_Castignano",2019,5,27,19.33,14.11,0
"AP000_Castignano",2019,5,28,21.26,13.69,5.3
"AP000_Castignano",2019,5,29,19.65,11.5,26.7
"AP000_Castignano",2019,5,30,17.94,12.2,5.1
"AP000_Castignano",2019,5,31,20.08,12.64,0
"AP000_Castignano",2019,6,1,22.73,16.12,0
"AP000_Castignano",2019,6,2,25.24,16.25,0
"AP000_Castignano",2019,6,3,27.18,18.29,0
"AP000_Castignano",2019,6,4,28.25,19.2,0
"AP000_Castignano",2019,6,5,28.34,16.38,0
"AP000_Castignano",2019,6,6,27.66,16.74,0
"AP000_Castignano",2019,6,7,27.65,18.31,0
"AP000_Castignano",2019,6,8,29.42,20.77,0
"AP000_Castignano",2019,6,9,31.27,20.38,0
"AP000_Castignano",2019,6,10,31.38,20.19,0
"AP000_Castignano",2019,6,11,32.15,20.37,0
"AP000_Castignano",2019,6,12,31.83,19.81,0
"AP000_Castignano",2019,6,13,30.02,20.29,0
"AP000_Castignano",2019,6,14,30.14,22.98,0
"AP000_Castignano",2019,6,15,33.41,19.6,0
"AP000_Castignano",2019,6,16,31.2,22.38,0
"AP000_Castignano",2019,6,17,29.92,19.02,0
"AP000_Castignano",2019,6,18,29.55,20.53,0
"AP000_Castignano",2019,6,19,30.27,21.66,2.4
"AP000_Castignano",2019,6,20,31.54,20.76,0
"AP000_Castignano",2019,6,21,29.98,21.42,0
"AP000_Castignano",2019,6,22,27.86,18.9,0
"AP000_Castignano",2019,6,23,28.23,19.92,0
"AP000_Castignano",2019,6,24,28.63,20.2,0
"AP000_Castignano",2019,6,25,30.77,21.28,0
"AP000_Castignano",2019,6,26,31.97,22.83,0
"AP000_Castignano",2019,6,27,34.99,25.5,0
"AP000_Castignano",2019,6,28,33.1,20.8,0
"AP000_Castignano",2019,6,29,30.67,19.08,0
"AP000_Castignano",2019,6,30,31.1,21.84,0
"AP000_Castignano",2019,7,1,32.83,22.95,0
"AP000_Castignano",2019,7,2,33.48,23.08,0
"AP000_Castignano",2019,7,3,33.33,21.93,0
"AP000_Castignano",2019,7,4,31.39,21.39,0
"AP000_Castignano",2019,7,5,32.14,22.61,0
"AP000_Castignano",2019,7,6,34.72,22.55,0
"AP000_Castignano",2019,7,7,33.9,21.8,0
"AP000_Castignano",2019,7,8,32.85,23.46,2.2
"AP000_Castignano",2019,7,9,32.92,18.99,0
"AP000_Castignano",2019,7,10,26.95,16.1,20.6
"AP000_Castignano",2019,7,11,26.82,17.62,0
"AP000_Castignano",2019,7,12,27.01,18.68,7.2
"AP000_Castignano",2019,7,13,25.18,17.02,7.2
"AP000_Castignano",2019,7,14,26.67,17.59,0
"AP000_Castignano",2019,7,15,23.71,17.05,5.1
"AP000_Castignano",2019,7,16,26.43,17.29,0
"AP000_Castignano",2019,7,17,28.73,18.83,0
"AP000_Castignano",2019,7,18,30.02,18.79,0
"AP000_Castignano",2019,7,19,29.37,20.47,0
"AP000_Castignano",2019,7,20,31.64,22.67,0
"AP000_Castignano",2019,7,21,32.85,22.93,0
"AP000_Castignano",2019,7,22,32.55,21.97,0
"AP000_Castignano",2019,7,23,32.97,22.92,0
"AP000_Castignano",2019,7,24,33.99,24.14,0
"AP000_Castignano",2019,7,25,34.52,24.45,0
"AP000_Castignano",2019,7,26,35.89,21.97,0
"AP000_Castignano",2019,7,27,33.19,19.45,14.3
"AP000_Castignano",2019,7,28,27.7,18.96,1.7
"AP000_Castignano",2019,7,29,29.19,20.98,0
"AP000_Castignano",2019,7,30,30.78,22.99,0
"AP000_Castignano",2019,7,31,33.29,21.41,0
"AP000_Castignano",2019,8,1,31.99,21.06,0
"AP000_Castignano",2019,8,2,31.74,17.66,0
"AP000_Castignano",2019,8,3,28.37,18.44,0
"AP000_Castignano",2019,8,4,29.36,19.59,0
"AP000_Castignano",2019,8,5,31.53,20.7,0
"AP000_Castignano",2019,8,6,33.46,21.76,0
"AP000_Castignano",2019,8,7,33.71,22.11,0
"AP000_Castignano",2019,8,8,30.7,20.92,0
"AP000_Castignano",2019,8,9,32.43,22.97,0
"AP000_Castignano",2019,8,10,35.66,24.89,0
"AP000_Castignano",2019,8,11,35.58,25.54,0
"AP000_Castignano",2019,8,12,37.28,23.78,0
"AP000_Castignano",2019,8,13,35.44,21.84,0
"AP000_Castignano",2019,8,14,29.73,18.66,0
"AP000_Castignano",2019,8,15,28.92,17.85,0
"AP000_Castignano",2019,8,16,27.46,17.63,0
"AP000_Castignano",2019,8,17,29.44,20.42,0
"AP000_Castignano",2019,8,18,31.82,21.8,0
"AP000_Castignano",2019,8,19,33.14,22.86,0
"AP000_Castignano",2019,8,20,34.79,22.54,0
"AP000_Castignano",2019,8,21,34.2,21.04,0
"AP000_Castignano",2019,8,22,31.36,19.82,12.4
"AP000_Castignano",2019,8,23,26.3,18.87,7.3
"AP000_Castignano",2019,8,24,29.9,20.32,6.8
"AP000_Castignano",2019,8,25,29.77,19.85,1.3
"AP000_Castignano",2019,8,26,30.29,20.46,0
"AP000_Castignano",2019,8,27,30.6,21.92,0
"AP000_Castignano",2019,8,28,31.18,20.62,0
