"site","year","month","day","tmax","tmin","prec"
"BG001_Scanzorosciate",2019,1,1,7.61,-0.49,0
"BG001_Scanzorosciate",2019,1,2,10.49,-4.56,0
"BG001_Scanzorosciate",2019,1,3,6.24,-4.51,0
"BG001_Scanzorosciate",2019,1,4,6.03,-4.64,0
"BG001_Scanzorosciate",2019,1,5,7.02,-4.71,0
"BG001_Scanzorosciate",2019,1,6,11.69,-3.64,0
"BG001_Scanzorosciate",2019,1,7,7.13,-3.84,0
"BG001_Scanzorosciate",2019,1,8,4.22,-1.57,0
"BG001_Scanzorosciate",2019,1,9,8.46,-4.76,0
"BG001_Scanzorosciate",2019,1,10,7.13,-2.73,0
"BG001_Scanzorosciate",2019,1,11,4.34,-3.91,0
"BG001_Scanzorosciate",2019,1,12,7.1,-3.77,0
"BG001_Scanzorosciate",2019,1,13,6.66,-4.43,0
"BG001_Scanzorosciate",2019,1,14,13.4,-1.4,0
"BG001_Scanzorosciate",2019,1,15,9.48,-0.74,0
"BG001_Scanzorosciate",2019,1,16,11.05,-0.92,0
"BG001_Scanzorosciate",2019,1,17,4.86,4.14,3.1
"BG001_Scanzorosciate",2019,1,18,6.88,1,0
"BG001_Scanzorosciate",2019,1,19,2.34,-0.25,0
"BG001_Scanzorosciate",2019,1,20,4.18,-3.65,0
"BG001_Scanzorosciate",2019,1,21,4.44,-3.77,0
"BG001_Scanzorosciate",2019,1,22,4.35,-4.4,0
"BG001_Scanzorosciate",2019,1,23,0.89,-3.99,0
"BG001_Scanzorosciate",2019,1,24,4.14,-3.59,0
"BG001_Scanzorosciate",2019,1,25,4.33,-4.95,0
"BG001_Scanzorosciate",2019,1,26,5.88,-5.5,0
"BG001_Scanzorosciate",2019,1,27,1.48,-3.32,2.9
"BG001_Scanzorosciate",2019,1,28,6.67,-1.21,0
"BG001_Scanzorosciate",2019,1,29,6.35,-4.6,0
"BG001_Scanzorosciate",2019,1,30,3.63,-2.56,0
"BG001_Scanzorosciate",2019,1,31,2.63,-2.7,1.4
"BG001_Scanzorosciate",2019,2,1,0.14,-0.52,27.8
"BG001_Scanzorosciate",2019,2,2,5.37,0.33,17.6
"BG001_Scanzorosciate",2019,2,3,5.19,1.6,4.9
