"site","year","month","day","tmax","tmin","prec"
"BS001_Paratico",2019,1,1,7.18,-0.48,0
"BS001_Paratico",2019,1,2,10.36,-2.93,0
"BS001_Paratico",2019,1,3,7.44,-4.31,0
"BS001_Paratico",2019,1,4,6.91,-4.61,0
"BS001_Paratico",2019,1,5,6.82,-4.44,0
"BS001_Paratico",2019,1,6,11.69,-3.24,0
"BS001_Paratico",2019,1,7,8.15,-3.8,0
"BS001_Paratico",2019,1,8,3.94,-1.46,0
"BS001_Paratico",2019,1,9,9.16,-2.97,0
"BS001_Paratico",2019,1,10,8.34,-1.82,0
"BS001_Paratico",2019,1,11,6.3,-3.33,0
"BS001_Paratico",2019,1,12,7.68,-3.49,0
"BS001_Paratico",2019,1,13,8.04,-4.29,0
"BS001_Paratico",2019,1,14,14.55,-0.42,0
"BS001_Paratico",2019,1,15,11.31,-0.44,0
"BS001_Paratico",2019,1,16,12.43,-0.91,0
"BS001_Paratico",2019,1,17,6.45,4.61,2.7
"BS001_Paratico",2019,1,18,8.18,2.35,2.6
"BS001_Paratico",2019,1,19,3.97,1.46,0
"BS001_Paratico",2019,1,20,5.5,-2.35,0
"BS001_Paratico",2019,1,21,5.18,-3.39,0
"BS001_Paratico",2019,1,22,5.56,-4.24,0
"BS001_Paratico",2019,1,23,2.86,-2.59,0
"BS001_Paratico",2019,1,24,6.31,-2.1,0
"BS001_Paratico",2019,1,25,6.46,-3.77,0
"BS001_Paratico",2019,1,26,6.54,-5.18,0
"BS001_Paratico",2019,1,27,2.9,-3.18,3.2
"BS001_Paratico",2019,1,28,7.31,-0.75,0
"BS001_Paratico",2019,1,29,7.71,-4.03,0
"BS001_Paratico",2019,1,30,5.32,-0.62,1.6
"BS001_Paratico",2019,1,31,3.52,-1.04,1.5
"BS001_Paratico",2019,2,1,1.75,0.69,22.5
"BS001_Paratico",2019,2,2,5.79,1.06,22
"BS001_Paratico",2019,2,3,6.72,2.26,5
"BS001_Paratico",2019,2,4,10.25,-0.17,0
"BS001_Paratico",2019,2,5,9.35,-1.45,0
"BS001_Paratico",2019,2,6,9.53,-2,0
"BS001_Paratico",2019,2,7,8.2,-2.01,0
"BS001_Paratico",2019,2,8,11.53,-0.66,0
"BS001_Paratico",2019,2,9,10.84,-0.6,0
"BS001_Paratico",2019,2,10,6.72,3.38,0
"BS001_Paratico",2019,2,11,11.51,0.96,0
"BS001_Paratico",2019,2,12,11.55,-0.16,0
"BS001_Paratico",2019,2,13,11.38,-0.27,0
"BS001_Paratico",2019,2,14,13.43,-0.98,0
"BS001_Paratico",2019,2,15,14.22,0.12,0
"BS001_Paratico",2019,2,16,14.41,0.36,0
"BS001_Paratico",2019,2,17,14.93,0.54,0
"BS001_Paratico",2019,2,18,14.48,0.62,0
"BS001_Paratico",2019,2,19,13.16,0.34,0
"BS001_Paratico",2019,2,20,11.02,0.97,0
"BS001_Paratico",2019,2,21,14.29,0.13,0
"BS001_Paratico",2019,2,22,18.03,0.47,0
"BS001_Paratico",2019,2,23,8.86,2.88,0
"BS001_Paratico",2019,2,24,10.63,-2.08,0
"BS001_Paratico",2019,2,25,14.8,-0.77,0
"BS001_Paratico",2019,2,26,18.73,1.9,0
"BS001_Paratico",2019,2,27,20.86,4.51,0
"BS001_Paratico",2019,2,28,17.94,3.62,0
"BS001_Paratico",2019,3,1,15.6,2.55,0
"BS001_Paratico",2019,3,2,15.48,0.73,0
"BS001_Paratico",2019,3,3,16.61,2.33,0
"BS001_Paratico",2019,3,4,11.01,3.97,0
"BS001_Paratico",2019,3,5,15.84,1.37,0
"BS001_Paratico",2019,3,6,15.12,1.94,0
"BS001_Paratico",2019,3,7,15.03,8.48,10.9
"BS001_Paratico",2019,3,8,16.29,5.65,0
"BS001_Paratico",2019,3,9,16.93,5.31,0
"BS001_Paratico",2019,3,10,17.13,4.27,0
"BS001_Paratico",2019,3,11,16.67,3.58,0
"BS001_Paratico",2019,3,12,14.68,0.6,0
"BS001_Paratico",2019,3,13,13.22,0.89,0
"BS001_Paratico",2019,3,14,15.32,-0.56,0
"BS001_Paratico",2019,3,15,20.87,3.31,0
"BS001_Paratico",2019,3,16,22.34,3.72,0
"BS001_Paratico",2019,3,17,14.8,5.01,0
"BS001_Paratico",2019,3,18,14.82,5.71,5.2
"BS001_Paratico",2019,3,19,12.33,1.51,0
"BS001_Paratico",2019,3,20,13.55,1.26,0
"BS001_Paratico",2019,3,21,15.52,1.27,0
"BS001_Paratico",2019,3,22,18.38,1.99,0
"BS001_Paratico",2019,3,23,20.69,2.71,0
"BS001_Paratico",2019,3,24,21.59,5.76,0
"BS001_Paratico",2019,3,25,22.28,5.05,0
"BS001_Paratico",2019,3,26,14.8,4.28,0
"BS001_Paratico",2019,3,27,14.35,2.15,0
"BS001_Paratico",2019,3,28,15.38,1.99,0
