"site","year","month","day","tmax","tmin","prec"
"GEBI05_SESTRI LEVANTE",2019,1,1,9.1,-0.9,0
"GEBI05_SESTRI LEVANTE",2019,1,2,11.36,-0.35,0
"GEBI05_SESTRI LEVANTE",2019,1,3,9.04,-4.08,0
"GEBI05_SESTRI LEVANTE",2019,1,4,8.06,-6.11,0
"GEBI05_SESTRI LEVANTE",2019,1,5,6.85,-0.71,0
"GEBI05_SESTRI LEVANTE",2019,1,6,13.48,0.03,0
"GEBI05_SESTRI LEVANTE",2019,1,7,13.23,-1.21,0
"GEBI05_SESTRI LEVANTE",2019,1,8,6.3,-0.37,0
"GEBI05_SESTRI LEVANTE",2019,1,9,8.28,-0.9,0
"GEBI05_SESTRI LEVANTE",2019,1,10,9.7,-3,0
"GEBI05_SESTRI LEVANTE",2019,1,11,9,-4.05,0
"GEBI05_SESTRI LEVANTE",2019,1,12,11.24,-3.87,0
"GEBI05_SESTRI LEVANTE",2019,1,13,12.09,-1.05,0
"GEBI05_SESTRI LEVANTE",2019,1,14,14.15,1.06,0
"GEBI05_SESTRI LEVANTE",2019,1,15,12.02,-0.41,0
"GEBI05_SESTRI LEVANTE",2019,1,16,9.26,1.41,3.6
"GEBI05_SESTRI LEVANTE",2019,1,17,9.33,3.99,31.7
"GEBI05_SESTRI LEVANTE",2019,1,18,10.1,1.1,0
"GEBI05_SESTRI LEVANTE",2019,1,19,6.5,-0.63,0
"GEBI05_SESTRI LEVANTE",2019,1,20,6.88,-2.25,0
"GEBI05_SESTRI LEVANTE",2019,1,21,6.4,-2.53,0
"GEBI05_SESTRI LEVANTE",2019,1,22,4.72,-2.86,0
"GEBI05_SESTRI LEVANTE",2019,1,23,4.23,-3.21,2
"GEBI05_SESTRI LEVANTE",2019,1,24,6.37,-1.48,6.3
"GEBI05_SESTRI LEVANTE",2019,1,25,8.37,-1.82,0
"GEBI05_SESTRI LEVANTE",2019,1,26,11.32,-3.34,0
"GEBI05_SESTRI LEVANTE",2019,1,27,7.78,-0.14,11.8
"GEBI05_SESTRI LEVANTE",2019,1,28,9.79,0.04,0
"GEBI05_SESTRI LEVANTE",2019,1,29,10.27,-0.67,0
"GEBI05_SESTRI LEVANTE",2019,1,30,4.9,-3.61,6.6
"GEBI05_SESTRI LEVANTE",2019,1,31,6.52,-4.31,5.6
"GEBI05_SESTRI LEVANTE",2019,2,1,10.35,0.31,81
"GEBI05_SESTRI LEVANTE",2019,2,2,9.86,1.53,24.5
"GEBI05_SESTRI LEVANTE",2019,2,3,8.23,1.56,4.4
"GEBI05_SESTRI LEVANTE",2019,2,4,9.58,1.72,0
"GEBI05_SESTRI LEVANTE",2019,2,5,10.84,1.18,0
"GEBI05_SESTRI LEVANTE",2019,2,6,13.37,0.33,0
"GEBI05_SESTRI LEVANTE",2019,2,7,11.68,-1.94,0
"GEBI05_SESTRI LEVANTE",2019,2,8,13.7,-0.38,0
"GEBI05_SESTRI LEVANTE",2019,2,9,9.91,0.81,0
"GEBI05_SESTRI LEVANTE",2019,2,10,9.91,4.92,10.6
"GEBI05_SESTRI LEVANTE",2019,2,11,11.64,3.67,0
"GEBI05_SESTRI LEVANTE",2019,2,12,16.1,1.57,0
"GEBI05_SESTRI LEVANTE",2019,2,13,14.23,-0.8,0
"GEBI05_SESTRI LEVANTE",2019,2,14,16.34,-2.17,0
"GEBI05_SESTRI LEVANTE",2019,2,15,18.49,-1.54,0
"GEBI05_SESTRI LEVANTE",2019,2,16,17.37,-1.13,0
"GEBI05_SESTRI LEVANTE",2019,2,17,14.73,-1.71,0
"GEBI05_SESTRI LEVANTE",2019,2,18,12.7,-1.8,0
"GEBI05_SESTRI LEVANTE",2019,2,19,10.46,-1.3,0
"GEBI05_SESTRI LEVANTE",2019,2,20,12.1,-1.45,0
"GEBI05_SESTRI LEVANTE",2019,2,21,15.3,-1.08,0
"GEBI05_SESTRI LEVANTE",2019,2,22,21.07,0.06,0
"GEBI05_SESTRI LEVANTE",2019,2,23,11.84,3.05,0
"GEBI05_SESTRI LEVANTE",2019,2,24,9.61,-2.5,0
"GEBI05_SESTRI LEVANTE",2019,2,25,10.21,-3.34,0
"GEBI05_SESTRI LEVANTE",2019,2,26,15.8,-1.16,0
"GEBI05_SESTRI LEVANTE",2019,2,27,19.61,2.47,0
"GEBI05_SESTRI LEVANTE",2019,2,28,20.57,1.61,0
"GEBI05_SESTRI LEVANTE",2019,3,1,15.05,3.7,0
"GEBI05_SESTRI LEVANTE",2019,3,2,17.79,3.69,0
"GEBI05_SESTRI LEVANTE",2019,3,3,16.93,2.55,0
"GEBI05_SESTRI LEVANTE",2019,3,4,12.61,4.36,0
"GEBI05_SESTRI LEVANTE",2019,3,5,17.38,4.63,0
"GEBI05_SESTRI LEVANTE",2019,3,6,14.41,3.51,0
"GEBI05_SESTRI LEVANTE",2019,3,7,14.83,8.48,10.2
"GEBI05_SESTRI LEVANTE",2019,3,8,14.92,4.24,0
"GEBI05_SESTRI LEVANTE",2019,3,9,15.72,4.11,0
"GEBI05_SESTRI LEVANTE",2019,3,10,12.68,5.77,0
"GEBI05_SESTRI LEVANTE",2019,3,11,17.8,4.62,0
"GEBI05_SESTRI LEVANTE",2019,3,12,15.78,0.91,0
