"site","year","month","day","tmax","tmin","prec"
"GEVE25_CHIAVARI",2019,1,1,8.84,-1.1,0
"GEVE25_CHIAVARI",2019,1,2,10.61,-0.63,0
"GEVE25_CHIAVARI",2019,1,3,8.72,-4.57,0
"GEVE25_CHIAVARI",2019,1,4,8.13,-6.12,0
"GEVE25_CHIAVARI",2019,1,5,6.4,-0.87,0
"GEVE25_CHIAVARI",2019,1,6,13.57,-0.3,0
"GEVE25_CHIAVARI",2019,1,7,13.39,-1.58,0
"GEVE25_CHIAVARI",2019,1,8,5.54,-1.18,0
"GEVE25_CHIAVARI",2019,1,9,7.7,-1.17,0
"GEVE25_CHIAVARI",2019,1,10,8.92,-3.61,0
"GEVE25_CHIAVARI",2019,1,11,8.95,-5.06,0
"GEVE25_CHIAVARI",2019,1,12,10.43,-4.56,0
"GEVE25_CHIAVARI",2019,1,13,11.18,-1.6,0
"GEVE25_CHIAVARI",2019,1,14,13.87,0.79,0
"GEVE25_CHIAVARI",2019,1,15,11.42,-1.22,0
"GEVE25_CHIAVARI",2019,1,16,8.83,-0.11,3.7
"GEVE25_CHIAVARI",2019,1,17,8.94,3.79,35.4
"GEVE25_CHIAVARI",2019,1,18,9.36,0.92,0
"GEVE25_CHIAVARI",2019,1,19,6.07,-0.52,0
"GEVE25_CHIAVARI",2019,1,20,7.12,-2.69,0
"GEVE25_CHIAVARI",2019,1,21,6.61,-2.51,0
"GEVE25_CHIAVARI",2019,1,22,4.72,-2.39,0
"GEVE25_CHIAVARI",2019,1,23,4.07,-3.38,2.1
"GEVE25_CHIAVARI",2019,1,24,6.2,-1.28,6.4
"GEVE25_CHIAVARI",2019,1,25,8.06,-1.86,0
"GEVE25_CHIAVARI",2019,1,26,10.83,-3.2,0
"GEVE25_CHIAVARI",2019,1,27,7.45,0.06,0
"GEVE25_CHIAVARI",2019,1,28,9.16,0.71,0
"GEVE25_CHIAVARI",2019,1,29,10.17,-0.97,0
"GEVE25_CHIAVARI",2019,1,30,4.17,-4.25,6.8
"GEVE25_CHIAVARI",2019,1,31,6,-5.89,5.2
"GEVE25_CHIAVARI",2019,2,1,9.82,0.13,84.2
"GEVE25_CHIAVARI",2019,2,2,8.91,1.23,21.7
"GEVE25_CHIAVARI",2019,2,3,7.77,1.5,4.8
"GEVE25_CHIAVARI",2019,2,4,9.38,2.11,0
"GEVE25_CHIAVARI",2019,2,5,10.82,1.46,0
"GEVE25_CHIAVARI",2019,2,6,13.02,0.06,0
"GEVE25_CHIAVARI",2019,2,7,10.49,-2.81,0
"GEVE25_CHIAVARI",2019,2,8,13.64,-0.92,0
"GEVE25_CHIAVARI",2019,2,9,9.54,-0.08,0
"GEVE25_CHIAVARI",2019,2,10,9.48,4.2,10.6
"GEVE25_CHIAVARI",2019,2,11,11.14,3.69,0
"GEVE25_CHIAVARI",2019,2,12,15.86,1.06,0
"GEVE25_CHIAVARI",2019,2,13,13.58,-0.84,0
"GEVE25_CHIAVARI",2019,2,14,15.79,-2.24,0
"GEVE25_CHIAVARI",2019,2,15,18.5,-1.61,0
"GEVE25_CHIAVARI",2019,2,16,17.47,-1.48,0
"GEVE25_CHIAVARI",2019,2,17,13.97,-2.27,0
"GEVE25_CHIAVARI",2019,2,18,12.37,-3.22,0
"GEVE25_CHIAVARI",2019,2,19,9.77,-1.98,0
"GEVE25_CHIAVARI",2019,2,20,11.64,-1.85,0
"GEVE25_CHIAVARI",2019,2,21,14.22,-1.48,0
"GEVE25_CHIAVARI",2019,2,22,21.19,-0.31,0
"GEVE25_CHIAVARI",2019,2,23,12.13,3.1,0
"GEVE25_CHIAVARI",2019,2,24,9.69,-2.5,0
"GEVE25_CHIAVARI",2019,2,25,9.9,-4.01,0
"GEVE25_CHIAVARI",2019,2,26,15.75,-0.61,0
"GEVE25_CHIAVARI",2019,2,27,18.83,2.8,0
"GEVE25_CHIAVARI",2019,2,28,20.44,0.01,0
"GEVE25_CHIAVARI",2019,3,1,14.87,3.52,0
"GEVE25_CHIAVARI",2019,3,2,17.54,3.18,0
"GEVE25_CHIAVARI",2019,3,3,16.41,2.1,0
"GEVE25_CHIAVARI",2019,3,4,11.97,3.74,0
"GEVE25_CHIAVARI",2019,3,5,17.25,3.89,0
"GEVE25_CHIAVARI",2019,3,6,13.91,2.91,0
"GEVE25_CHIAVARI",2019,3,7,14.18,8.11,10.9
"GEVE25_CHIAVARI",2019,3,8,14.25,3.86,0
"GEVE25_CHIAVARI",2019,3,9,15.43,4.59,0
"GEVE25_CHIAVARI",2019,3,10,12.57,5.15,0
"GEVE25_CHIAVARI",2019,3,11,17.78,4.05,0
"GEVE25_CHIAVARI",2019,3,12,15.31,0.68,0
"GEVE25_CHIAVARI",2019,3,13,13.8,2.9,0
"GEVE25_CHIAVARI",2019,3,14,15.74,1.49,0
"GEVE25_CHIAVARI",2019,3,15,19.04,3.54,0
"GEVE25_CHIAVARI",2019,3,16,16.65,3.78,0
"GEVE25_CHIAVARI",2019,3,17,10.5,6.39,0
"GEVE25_CHIAVARI",2019,3,18,15.4,5.12,5.4
"GEVE25_CHIAVARI",2019,3,19,12.07,1.88,0
"GEVE25_CHIAVARI",2019,3,20,13.22,2.42,0
"GEVE25_CHIAVARI",2019,3,21,15.15,3.29,0
"GEVE25_CHIAVARI",2019,3,22,20,3.22,0
"GEVE25_CHIAVARI",2019,3,23,23.22,4.37,0
"GEVE25_CHIAVARI",2019,3,24,21.61,3.6,0
"GEVE25_CHIAVARI",2019,3,25,17.61,4.15,0
"GEVE25_CHIAVARI",2019,3,26,13.69,3.21,3.5
"GEVE25_CHIAVARI",2019,3,27,15,2.66,0
"GEVE25_CHIAVARI",2019,3,28,14.82,2.6,0
"GEVE25_CHIAVARI",2019,3,29,17.01,3.12,0
"GEVE25_CHIAVARI",2019,3,30,18.47,1.58,0
"GEVE25_CHIAVARI",2019,3,31,20.24,2.76,0
"GEVE25_CHIAVARI",2019,4,1,23.4,4.4,0
"GEVE25_CHIAVARI",2019,4,2,19.97,3.22,0
"GEVE25_CHIAVARI",2019,4,3,11.73,6.74,22
"GEVE25_CHIAVARI",2019,4,4,12.63,2.03,55.1
"GEVE25_CHIAVARI",2019,4,5,13.69,2.02,0
"GEVE25_CHIAVARI",2019,4,6,17.08,3.41,0
"GEVE25_CHIAVARI",2019,4,7,11.48,3.03,4.3
"GEVE25_CHIAVARI",2019,4,8,14.52,2.53,0
"GEVE25_CHIAVARI",2019,4,9,17.63,2.29,0
"GEVE25_CHIAVARI",2019,4,10,17.6,4.16,4.4
"GEVE25_CHIAVARI",2019,4,11,14.66,6.11,4.2
"GEVE25_CHIAVARI",2019,4,12,14.64,7.79,1
"GEVE25_CHIAVARI",2019,4,13,15.93,6.27,0
"GEVE25_CHIAVARI",2019,4,14,9.93,4.79,4.7
"GEVE25_CHIAVARI",2019,4,15,16.99,4.04,0
"GEVE25_CHIAVARI",2019,4,16,17.48,2.88,0
"GEVE25_CHIAVARI",2019,4,17,19.52,4.57,0
"GEVE25_CHIAVARI",2019,4,18,21.3,5.78,0
"GEVE25_CHIAVARI",2019,4,19,21.56,7.01,0
"GEVE25_CHIAVARI",2019,4,20,22.8,6.59,0
"GEVE25_CHIAVARI",2019,4,21,23.3,7.97,0
"GEVE25_CHIAVARI",2019,4,22,20.71,9.15,11.3
"GEVE25_CHIAVARI",2019,4,23,14.04,10.62,47.3
"GEVE25_CHIAVARI",2019,4,24,14.78,10.64,10.1
"GEVE25_CHIAVARI",2019,4,25,17.02,9.1,1.6
"GEVE25_CHIAVARI",2019,4,26,14.49,6.43,4.9
"GEVE25_CHIAVARI",2019,4,27,18.64,5.7,0
"GEVE25_CHIAVARI",2019,4,28,20.51,5.17,0
"GEVE25_CHIAVARI",2019,4,29,15.08,3.91,1.5
"GEVE25_CHIAVARI",2019,4,30,18.75,3.25,0
"GEVE25_CHIAVARI",2019,5,1,20.35,6.05,0
"GEVE25_CHIAVARI",2019,5,2,15.13,5.22,3.6
"GEVE25_CHIAVARI",2019,5,3,16.22,9.95,32.1
"GEVE25_CHIAVARI",2019,5,4,17.44,7.85,7.6
"GEVE25_CHIAVARI",2019,5,5,10.32,4.04,12.9
"GEVE25_CHIAVARI",2019,5,6,16.65,2.91,0
"GEVE25_CHIAVARI",2019,5,7,13.94,3.2,0
"GEVE25_CHIAVARI",2019,5,8,12.71,8.08,24
"GEVE25_CHIAVARI",2019,5,9,20.12,7.55,9.3
"GEVE25_CHIAVARI",2019,5,10,20.38,7.79,0
"GEVE25_CHIAVARI",2019,5,11,15.5,7.48,6.3
"GEVE25_CHIAVARI",2019,5,12,14.07,7.7,1.3
"GEVE25_CHIAVARI",2019,5,13,16.26,9.95,0
"GEVE25_CHIAVARI",2019,5,14,19.94,8.03,0
"GEVE25_CHIAVARI",2019,5,15,13.59,4.73,0.5
"GEVE25_CHIAVARI",2019,5,16,18.79,4.74,0
"GEVE25_CHIAVARI",2019,5,17,19.9,5.92,2.4
"GEVE25_CHIAVARI",2019,5,18,15.15,9.67,8.2
"GEVE25_CHIAVARI",2019,5,19,16.64,10.59,13.5
"GEVE25_CHIAVARI",2019,5,20,15.6,9.89,8.9
"GEVE25_CHIAVARI",2019,5,21,19.66,8.86,0
"GEVE25_CHIAVARI",2019,5,22,17.61,9.3,0
"GEVE25_CHIAVARI",2019,5,23,21.98,9.38,0
"GEVE25_CHIAVARI",2019,5,24,22.66,10.26,0
"GEVE25_CHIAVARI",2019,5,25,22.96,9.96,0
"GEVE25_CHIAVARI",2019,5,26,18.15,10.31,1.6
"GEVE25_CHIAVARI",2019,5,27,17.75,12.81,6.5
"GEVE25_CHIAVARI",2019,5,28,19.28,10.8,6.5
"GEVE25_CHIAVARI",2019,5,29,18.12,10.55,0.4
"GEVE25_CHIAVARI",2019,5,30,23.43,9.98,0
"GEVE25_CHIAVARI",2019,5,31,21.63,8.63,0
"GEVE25_CHIAVARI",2019,6,1,25.39,13.67,0
"GEVE25_CHIAVARI",2019,6,2,26.16,14.65,0
"GEVE25_CHIAVARI",2019,6,3,27.5,16.75,0
"GEVE25_CHIAVARI",2019,6,4,27.3,17.38,0
"GEVE25_CHIAVARI",2019,6,5,28.77,17.15,0
"GEVE25_CHIAVARI",2019,6,6,24.35,16.61,0
"GEVE25_CHIAVARI",2019,6,7,26.45,14.88,0
"GEVE25_CHIAVARI",2019,6,8,27.62,17.87,0
"GEVE25_CHIAVARI",2019,6,9,27.33,17.46,0
"GEVE25_CHIAVARI",2019,6,10,28.33,19.65,0
"GEVE25_CHIAVARI",2019,6,11,26.47,17.94,0
"GEVE25_CHIAVARI",2019,6,12,26.58,17.52,0
"GEVE25_CHIAVARI",2019,6,13,27.4,14.68,0
"GEVE25_CHIAVARI",2019,6,14,29.29,17.75,0
"GEVE25_CHIAVARI",2019,6,15,27.74,18.93,0
"GEVE25_CHIAVARI",2019,6,16,28.36,18.23,0
"GEVE25_CHIAVARI",2019,6,17,28.27,17.35,0
"GEVE25_CHIAVARI",2019,6,18,29.55,18.59,0
"GEVE25_CHIAVARI",2019,6,19,30.32,19.72,0
"GEVE25_CHIAVARI",2019,6,20,29.61,18.37,0
"GEVE25_CHIAVARI",2019,6,21,30.23,18.56,0
"GEVE25_CHIAVARI",2019,6,22,26.24,19.78,1.5
"GEVE25_CHIAVARI",2019,6,23,28.77,16.93,0
"GEVE25_CHIAVARI",2019,6,24,31.07,17.99,0
"GEVE25_CHIAVARI",2019,6,25,32.33,21.44,0
"GEVE25_CHIAVARI",2019,6,26,33.61,22.52,0
