"site","year","month","day","tmax","tmin","prec"
"MT002_Tricarico",2019,1,1,6.24,0.34,0
"MT002_Tricarico",2019,1,2,6.12,-2.29,2.6
"MT002_Tricarico",2019,1,3,-0.65,-4.25,0
"MT002_Tricarico",2019,1,4,-3.74,-6.45,0
"MT002_Tricarico",2019,1,5,1.35,-5.35,0
"MT002_Tricarico",2019,1,6,5.57,-0.79,0
"MT002_Tricarico",2019,1,7,1.83,-1.48,0
"MT002_Tricarico",2019,1,8,4.58,-2.82,2.6
"MT002_Tricarico",2019,1,9,3.52,-0.05,13.8
"MT002_Tricarico",2019,1,10,-0.31,-1.68,10.4
"MT002_Tricarico",2019,1,11,1.23,-3.72,0
"MT002_Tricarico",2019,1,12,2.66,-2.16,0
"MT002_Tricarico",2019,1,13,5.41,-0.09,0
"MT002_Tricarico",2019,1,14,3.61,0.48,5.2
"MT002_Tricarico",2019,1,15,3.56,-0.73,3
"MT002_Tricarico",2019,1,16,6.24,-1.28,0
"MT002_Tricarico",2019,1,17,6.87,-0.71,0
"MT002_Tricarico",2019,1,18,7.25,1.07,5.1
"MT002_Tricarico",2019,1,19,7.02,-0.28,0
"MT002_Tricarico",2019,1,20,7.02,-0.15,0
"MT002_Tricarico",2019,1,21,5.38,1.76,0
"MT002_Tricarico",2019,1,22,5.67,2.73,17.3
"MT002_Tricarico",2019,1,23,3.92,0.06,3.7
"MT002_Tricarico",2019,1,24,3.27,-1.01,12.6
"MT002_Tricarico",2019,1,25,0.12,-1.26,6.1
"MT002_Tricarico",2019,1,26,3.12,-1.47,0
"MT002_Tricarico",2019,1,27,7.48,0.19,0
"MT002_Tricarico",2019,1,28,6.65,1.12,9.8
"MT002_Tricarico",2019,1,29,6.25,0.44,4.3
"MT002_Tricarico",2019,1,30,3.91,-0.16,4.8
"MT002_Tricarico",2019,1,31,7.33,-1.06,5.6
"MT002_Tricarico",2019,2,1,11.05,3.63,0
"MT002_Tricarico",2019,2,2,13.83,8.16,0
"MT002_Tricarico",2019,2,3,8.72,3.59,0
"MT002_Tricarico",2019,2,4,5.09,1.51,12.8
"MT002_Tricarico",2019,2,5,6.4,3.26,0
"MT002_Tricarico",2019,2,6,5.52,2.21,0
"MT002_Tricarico",2019,2,7,8.15,2.89,0
"MT002_Tricarico",2019,2,8,8.1,1.32,0
"MT002_Tricarico",2019,2,9,8.7,0.48,0
"MT002_Tricarico",2019,2,10,9.48,2.09,0
"MT002_Tricarico",2019,2,11,8.22,0.44,3.6
"MT002_Tricarico",2019,2,12,3.4,-1.03,0
"MT002_Tricarico",2019,2,13,2.63,-1.15,0
"MT002_Tricarico",2019,2,14,9.05,-0.12,0
"MT002_Tricarico",2019,2,15,7.17,1.15,2.8
"MT002_Tricarico",2019,2,16,7.07,0.35,0
"MT002_Tricarico",2019,2,17,10.61,1.13,0
"MT002_Tricarico",2019,2,18,10.36,2.72,0
"MT002_Tricarico",2019,2,19,10.47,1.16,0
"MT002_Tricarico",2019,2,20,10.34,1.12,0
"MT002_Tricarico",2019,2,21,9.68,1.48,0
"MT002_Tricarico",2019,2,22,9.27,1.79,0
"MT002_Tricarico",2019,2,23,3.31,-2.44,2.7
"MT002_Tricarico",2019,2,24,3.06,-1.52,0
"MT002_Tricarico",2019,2,25,3.27,-1.74,1.5
"MT002_Tricarico",2019,2,26,10.61,-1.18,0
"MT002_Tricarico",2019,2,27,9.51,4,0
"MT002_Tricarico",2019,2,28,11.91,2.69,0
"MT002_Tricarico",2019,3,1,11.02,3.14,0
"MT002_Tricarico",2019,3,2,8.95,4.89,3.6
"MT002_Tricarico",2019,3,3,12.02,3.75,0
"MT002_Tricarico",2019,3,4,11.7,3.29,0
"MT002_Tricarico",2019,3,5,11.94,4.28,0
"MT002_Tricarico",2019,3,6,13.7,5.21,0
"MT002_Tricarico",2019,3,7,15.56,6.88,0
"MT002_Tricarico",2019,3,8,14.01,8.35,0
"MT002_Tricarico",2019,3,9,12,5.53,0
"MT002_Tricarico",2019,3,10,11.95,4.18,0
"MT002_Tricarico",2019,3,11,12.15,3.55,0
"MT002_Tricarico",2019,3,12,4.85,-1.05,6.7
"MT002_Tricarico",2019,3,13,8.97,-0.34,0
"MT002_Tricarico",2019,3,14,5.29,2.75,3
"MT002_Tricarico",2019,3,15,11.07,3.27,0
"MT002_Tricarico",2019,3,16,13.47,4.55,0
"MT002_Tricarico",2019,3,17,15.44,5.02,0
"MT002_Tricarico",2019,3,18,13.86,3.47,0
