"site","year","month","day","tmax","tmin","prec"
"PU002_Pesaro",2019,1,1,10.4,-0.43,0
"PU002_Pesaro",2019,1,2,6.81,-1.5,0
"PU002_Pesaro",2019,1,3,6.18,-2.71,0
"PU002_Pesaro",2019,1,4,5.18,-2.98,2.1
"PU002_Pesaro",2019,1,5,7.4,-2.76,0
"PU002_Pesaro",2019,1,6,8.92,-2.08,0
"PU002_Pesaro",2019,1,7,9.61,-2.27,0
"PU002_Pesaro",2019,1,8,8.3,-0.82,0
"PU002_Pesaro",2019,1,9,6.9,-0.53,0
"PU002_Pesaro",2019,1,10,7.59,-0.13,1.6
"PU002_Pesaro",2019,1,11,7.6,-2.45,0
"PU002_Pesaro",2019,1,12,10.09,-1.04,0
"PU002_Pesaro",2019,1,13,11.25,1.42,0
"PU002_Pesaro",2019,1,14,11.59,0.18,0
"PU002_Pesaro",2019,1,15,12.23,-0.46,0
"PU002_Pesaro",2019,1,16,14.69,1.65,0
"PU002_Pesaro",2019,1,17,11.84,2.99,0
"PU002_Pesaro",2019,1,18,7.86,3.08,19.8
"PU002_Pesaro",2019,1,19,6.71,3.85,1.7
"PU002_Pesaro",2019,1,20,6,2.75,7.4
"PU002_Pesaro",2019,1,21,3.2,1.94,6.2
"PU002_Pesaro",2019,1,22,1.75,0.65,5.7
"PU002_Pesaro",2019,1,23,4.96,1.37,10.5
"PU002_Pesaro",2019,1,24,6.92,3.18,0
"PU002_Pesaro",2019,1,25,5.46,-0.35,0
"PU002_Pesaro",2019,1,26,7.94,-1.54,0
"PU002_Pesaro",2019,1,27,13.26,0.23,5.1
"PU002_Pesaro",2019,1,28,5.24,1.06,4.1
"PU002_Pesaro",2019,1,29,6.27,0.08,2.2
"PU002_Pesaro",2019,1,30,7.08,-0.11,0
"PU002_Pesaro",2019,1,31,7.29,2.98,0
"PU002_Pesaro",2019,2,1,15.71,4.17,0
"PU002_Pesaro",2019,2,2,14.63,4.53,7
"PU002_Pesaro",2019,2,3,9.01,3.93,3.6
"PU002_Pesaro",2019,2,4,9.88,1.86,0
"PU002_Pesaro",2019,2,5,7.81,1.75,0
"PU002_Pesaro",2019,2,6,9.69,0.02,0
"PU002_Pesaro",2019,2,7,9.75,0.31,0
"PU002_Pesaro",2019,2,8,9.72,0.36,0
"PU002_Pesaro",2019,2,9,12.63,2.38,0
"PU002_Pesaro",2019,2,10,14.85,7.09,0
"PU002_Pesaro",2019,2,11,11.76,2.33,0
"PU002_Pesaro",2019,2,12,12.33,-0.94,0
"PU002_Pesaro",2019,2,13,10.68,-0.52,0
"PU002_Pesaro",2019,2,14,11.73,0.2,0
"PU002_Pesaro",2019,2,15,11.57,0.78,0
"PU002_Pesaro",2019,2,16,13.05,1.02,0
"PU002_Pesaro",2019,2,17,13.64,0.84,0
"PU002_Pesaro",2019,2,18,15.06,0.83,0
"PU002_Pesaro",2019,2,19,14.24,0.43,0
"PU002_Pesaro",2019,2,20,9.49,0.05,0
"PU002_Pesaro",2019,2,21,11.72,1.15,0
"PU002_Pesaro",2019,2,22,13.83,2.56,0
"PU002_Pesaro",2019,2,23,7.36,4.08,0
"PU002_Pesaro",2019,2,24,7.49,1.41,0
"PU002_Pesaro",2019,2,25,11.55,1.66,0
"PU002_Pesaro",2019,2,26,15.87,3.44,0
"PU002_Pesaro",2019,2,27,17.69,4.2,0
"PU002_Pesaro",2019,2,28,16.77,6,0
"PU002_Pesaro",2019,3,1,16.4,4.9,0
"PU002_Pesaro",2019,3,2,16.69,3.05,0
"PU002_Pesaro",2019,3,3,16.38,4.31,0
"PU002_Pesaro",2019,3,4,18.97,10.85,0
"PU002_Pesaro",2019,3,5,18.33,7.84,0
"PU002_Pesaro",2019,3,6,19.64,7.74,0
"PU002_Pesaro",2019,3,7,23.77,8.5,0
"PU002_Pesaro",2019,3,8,18.58,6.74,0
"PU002_Pesaro",2019,3,9,19.2,8.62,0
"PU002_Pesaro",2019,3,10,18.92,12.86,0
"PU002_Pesaro",2019,3,11,17.54,4.78,6.2
"PU002_Pesaro",2019,3,12,12.48,0.73,0
"PU002_Pesaro",2019,3,13,13.54,4.76,0
"PU002_Pesaro",2019,3,14,14.84,7.54,0
"PU002_Pesaro",2019,3,15,19.13,11.11,0
"PU002_Pesaro",2019,3,16,20.43,9.45,0
"PU002_Pesaro",2019,3,17,18.12,9.18,0
"PU002_Pesaro",2019,3,18,16.55,7.11,5
"PU002_Pesaro",2019,3,19,10.3,5.6,2
"PU002_Pesaro",2019,3,20,11.58,3.42,0
"PU002_Pesaro",2019,3,21,13.14,2.59,0
"PU002_Pesaro",2019,3,22,15.14,2.92,0
"PU002_Pesaro",2019,3,23,17.77,4.3,0
"PU002_Pesaro",2019,3,24,20.45,5.46,0
"PU002_Pesaro",2019,3,25,22.24,8.13,6.3
"PU002_Pesaro",2019,3,26,11.7,2.35,4.4
"PU002_Pesaro",2019,3,27,13.24,3.14,0
"PU002_Pesaro",2019,3,28,13.12,2.94,0
"PU002_Pesaro",2019,3,29,14.5,2.75,0
"PU002_Pesaro",2019,3,30,16.56,4,0
"PU002_Pesaro",2019,3,31,17.43,4.82,0
"PU002_Pesaro",2019,4,1,18.1,5.59,0
"PU002_Pesaro",2019,4,2,19.35,9.19,0
"PU002_Pesaro",2019,4,3,20.05,8.15,0
"PU002_Pesaro",2019,4,4,18.71,7.1,15.1
"PU002_Pesaro",2019,4,5,13.63,4.75,0
"PU002_Pesaro",2019,4,6,16.6,7.07,0
"PU002_Pesaro",2019,4,7,17.21,7.52,0
"PU002_Pesaro",2019,4,8,14.55,7.41,0
"PU002_Pesaro",2019,4,9,16.96,6.8,0
"PU002_Pesaro",2019,4,10,17.85,6.91,0
"PU002_Pesaro",2019,4,11,14.83,8.73,8.2
"PU002_Pesaro",2019,4,12,14.33,8.7,1
"PU002_Pesaro",2019,4,13,11.93,7.32,0
"PU002_Pesaro",2019,4,14,13.9,8.94,0.8
"PU002_Pesaro",2019,4,15,15.25,4.66,0
"PU002_Pesaro",2019,4,16,17.1,4.46,0
"PU002_Pesaro",2019,4,17,19.01,5.23,0
"PU002_Pesaro",2019,4,18,18.59,5.73,0
"PU002_Pesaro",2019,4,19,18.3,5.24,0
"PU002_Pesaro",2019,4,20,19.01,6.54,0
"PU002_Pesaro",2019,4,21,19.87,7.46,0
"PU002_Pesaro",2019,4,22,16.88,11.75,12.7
"PU002_Pesaro",2019,4,23,19.53,12.37,3.8
"PU002_Pesaro",2019,4,24,23.17,11.35,1.1
"PU002_Pesaro",2019,4,25,23.24,13.17,0
"PU002_Pesaro",2019,4,26,21.46,9.44,1.6
"PU002_Pesaro",2019,4,27,19.97,10.74,0
"PU002_Pesaro",2019,4,28,19.72,5.09,10.1
"PU002_Pesaro",2019,4,29,13.74,7.28,3.2
"PU002_Pesaro",2019,4,30,18.63,11,0
"PU002_Pesaro",2019,5,1,21.19,9.22,0
"PU002_Pesaro",2019,5,2,23.69,11.89,0
"PU002_Pesaro",2019,5,3,20.97,11.22,0
"PU002_Pesaro",2019,5,4,18.7,10.3,0
"PU002_Pesaro",2019,5,5,16.73,8.03,21.5
"PU002_Pesaro",2019,5,6,14.45,6.56,1.1
"PU002_Pesaro",2019,5,7,17.4,6.52,0
"PU002_Pesaro",2019,5,8,20.11,10.03,4.5
"PU002_Pesaro",2019,5,9,18.33,8.75,3.7
"PU002_Pesaro",2019,5,10,21.24,8.53,0
"PU002_Pesaro",2019,5,11,23.82,11.4,7.8
"PU002_Pesaro",2019,5,12,14.57,11.32,52.2
"PU002_Pesaro",2019,5,13,12.94,11.28,10.4
"PU002_Pesaro",2019,5,14,13.61,7.55,2.9
"PU002_Pesaro",2019,5,15,13.68,6.54,0
"PU002_Pesaro",2019,5,16,16.21,7.58,0
"PU002_Pesaro",2019,5,17,18.44,11.16,2
"PU002_Pesaro",2019,5,18,18.64,12.81,4.8
"PU002_Pesaro",2019,5,19,18.54,12.32,7.9
"PU002_Pesaro",2019,5,20,20.49,12,0
"PU002_Pesaro",2019,5,21,22.98,13.7,0
"PU002_Pesaro",2019,5,22,22.41,14.54,0
"PU002_Pesaro",2019,5,23,22.54,12.27,0
"PU002_Pesaro",2019,5,24,23.47,12.51,0
"PU002_Pesaro",2019,5,25,23.73,15.07,5.6
"PU002_Pesaro",2019,5,26,18.23,14.75,14.1
"PU002_Pesaro",2019,5,27,18.63,14.74,21.9
"PU002_Pesaro",2019,5,28,20.24,14.5,14.4
"PU002_Pesaro",2019,5,29,17.09,13.4,10.6
"PU002_Pesaro",2019,5,30,18.07,10.56,1.9
"PU002_Pesaro",2019,5,31,22.41,10.47,0
"PU002_Pesaro",2019,6,1,24.8,13.35,0
"PU002_Pesaro",2019,6,2,26.01,14.49,0
"PU002_Pesaro",2019,6,3,27.39,15.04,0
"PU002_Pesaro",2019,6,4,27.48,15.14,0
"PU002_Pesaro",2019,6,5,26.8,15.17,0
"PU002_Pesaro",2019,6,6,26.74,15.1,0
"PU002_Pesaro",2019,6,7,25.72,14.92,0
"PU002_Pesaro",2019,6,8,27.02,16.99,0
"PU002_Pesaro",2019,6,9,26.95,16.94,0
"PU002_Pesaro",2019,6,10,28.74,18.2,0
"PU002_Pesaro",2019,6,11,30.07,18.55,0
"PU002_Pesaro",2019,6,12,29.07,17.4,0
"PU002_Pesaro",2019,6,13,27.9,16.39,0
"PU002_Pesaro",2019,6,14,28.97,19.95,0
"PU002_Pesaro",2019,6,15,30.11,18.37,0
"PU002_Pesaro",2019,6,16,29.04,17.15,0
"PU002_Pesaro",2019,6,17,27.58,16.9,0
"PU002_Pesaro",2019,6,18,28.75,17.55,0
"PU002_Pesaro",2019,6,19,29.38,17.45,0
"PU002_Pesaro",2019,6,20,30.22,17.19,0
"PU002_Pesaro",2019,6,21,29.97,18.32,0
"PU002_Pesaro",2019,6,22,26.79,16.74,17.6
"PU002_Pesaro",2019,6,23,27.07,16.71,0
"PU002_Pesaro",2019,6,24,28.05,17.21,0
"PU002_Pesaro",2019,6,25,29.67,18.2,0
"PU002_Pesaro",2019,6,26,30.75,18.67,0
"PU002_Pesaro",2019,6,27,34.53,20.75,0
"PU002_Pesaro",2019,6,28,32.25,18.74,0
"PU002_Pesaro",2019,6,29,29.13,15.74,0
"PU002_Pesaro",2019,6,30,31,17.04,0
"PU002_Pesaro",2019,7,1,31.95,18.61,0
"PU002_Pesaro",2019,7,2,31.53,19.79,0
"PU002_Pesaro",2019,7,3,30.79,19.05,2.6
"PU002_Pesaro",2019,7,4,28.29,18.9,0
"PU002_Pesaro",2019,7,5,30.87,19.04,0
"PU002_Pesaro",2019,7,6,33.06,23.08,0
"PU002_Pesaro",2019,7,7,32.97,20.76,0
"PU002_Pesaro",2019,7,8,30.48,21.24,0
"PU002_Pesaro",2019,7,9,31.4,18.73,31
"PU002_Pesaro",2019,7,10,24.77,14.9,16.2
"PU002_Pesaro",2019,7,11,25.99,17.26,3.6
"PU002_Pesaro",2019,7,12,26.85,17.76,0
"PU002_Pesaro",2019,7,13,26.46,16.26,0
"PU002_Pesaro",2019,7,14,26.57,18.4,0
"PU002_Pesaro",2019,7,15,23.53,16.86,5.1
"PU002_Pesaro",2019,7,16,26.19,14.18,0
"PU002_Pesaro",2019,7,17,28.34,15.57,0
"PU002_Pesaro",2019,7,18,28.83,16.61,0
"PU002_Pesaro",2019,7,19,28.77,17.76,0
"PU002_Pesaro",2019,7,20,29.89,19.6,0
"PU002_Pesaro",2019,7,21,31.55,19.12,0
"PU002_Pesaro",2019,7,22,29.97,19.83,0
"PU002_Pesaro",2019,7,23,31.25,19.31,0
"PU002_Pesaro",2019,7,24,32.25,20.47,0
"PU002_Pesaro",2019,7,25,32.93,21.32,0
"PU002_Pesaro",2019,7,26,33.96,21.09,0
"PU002_Pesaro",2019,7,27,32.43,19.63,52.7
"PU002_Pesaro",2019,7,28,26.37,18.27,6
"PU002_Pesaro",2019,7,29,29.75,19.95,0
"PU002_Pesaro",2019,7,30,29.8,19.27,0
"PU002_Pesaro",2019,7,31,30.84,19.14,0
"PU002_Pesaro",2019,8,1,29.85,18.4,0
"PU002_Pesaro",2019,8,2,30.78,17.44,10.1
"PU002_Pesaro",2019,8,3,28.09,16.65,0
"PU002_Pesaro",2019,8,4,28.24,17.42,0
"PU002_Pesaro",2019,8,5,30.81,17.51,0
"PU002_Pesaro",2019,8,6,30.96,19.52,0
"PU002_Pesaro",2019,8,7,32.01,19.04,0
"PU002_Pesaro",2019,8,8,29.21,20.65,0
"PU002_Pesaro",2019,8,9,30.16,20.67,0
"PU002_Pesaro",2019,8,10,32.47,19.72,0
"PU002_Pesaro",2019,8,11,32,20.78,0
"PU002_Pesaro",2019,8,12,33.92,21.91,0
"PU002_Pesaro",2019,8,13,30.02,21.4,0
"PU002_Pesaro",2019,8,14,26.32,17.17,0
"PU002_Pesaro",2019,8,15,26.59,16.58,0
"PU002_Pesaro",2019,8,16,26.48,15.02,0
"PU002_Pesaro",2019,8,17,29.14,16.47,0
"PU002_Pesaro",2019,8,18,29.9,18.04,0
"PU002_Pesaro",2019,8,19,32.18,18.28,0
"PU002_Pesaro",2019,8,20,31.18,20.24,0
"PU002_Pesaro",2019,8,21,30.6,20.94,0
"PU002_Pesaro",2019,8,22,28.64,20.39,7.5
"PU002_Pesaro",2019,8,23,26.23,20,0.9
"PU002_Pesaro",2019,8,24,28.72,20.98,0
"PU002_Pesaro",2019,8,25,28.24,19.63,0
"PU002_Pesaro",2019,8,26,29.07,18.78,0
"PU002_Pesaro",2019,8,27,29.64,19.05,0
"PU002_Pesaro",2019,8,28,30.31,19.32,0
"PU002_Pesaro",2019,8,29,29.12,18.72,0
"PU002_Pesaro",2019,8,30,30.28,18.96,0
"PU002_Pesaro",2019,8,31,30.38,19.42,0
"PU002_Pesaro",2019,9,1,29.52,19.26,0
"PU002_Pesaro",2019,9,2,29.46,18.99,8.6
"PU002_Pesaro",2019,9,3,24.5,16.06,7.3
"PU002_Pesaro",2019,9,4,25.2,13.23,0
"PU002_Pesaro",2019,9,5,26.57,14.73,0
"PU002_Pesaro",2019,9,6,22.36,14.79,0
"PU002_Pesaro",2019,9,7,23.79,14.29,1.7
"PU002_Pesaro",2019,9,8,27.32,13.46,3.3
"PU002_Pesaro",2019,9,9,23.02,12.62,0
"PU002_Pesaro",2019,9,10,24.3,13.11,0
"PU002_Pesaro",2019,9,11,24.73,13.4,0
"PU002_Pesaro",2019,9,12,25.6,13.69,0
"PU002_Pesaro",2019,9,13,26.04,13.73,0
"PU002_Pesaro",2019,9,14,26.25,13.88,0
"PU002_Pesaro",2019,9,15,26.12,15.67,0
"PU002_Pesaro",2019,9,16,27.37,15.48,0
"PU002_Pesaro",2019,9,17,28.63,16.56,0
"PU002_Pesaro",2019,9,18,26.96,17.89,24.9
"PU002_Pesaro",2019,9,19,20.73,12.58,6.3
"PU002_Pesaro",2019,9,20,21.06,9.29,0
"PU002_Pesaro",2019,9,21,21.06,12.37,1.4
"PU002_Pesaro",2019,9,22,19.79,14.91,2
"PU002_Pesaro",2019,9,23,23.51,14.28,7.7
"PU002_Pesaro",2019,9,24,22.75,13.2,0
"PU002_Pesaro",2019,9,25,24.24,13.05,1.1
"PU002_Pesaro",2019,9,26,23.4,14.6,0
"PU002_Pesaro",2019,9,27,25.35,15.64,0
"PU002_Pesaro",2019,9,28,26.95,14.15,0
"PU002_Pesaro",2019,9,29,26.08,15.42,0
"PU002_Pesaro",2019,9,30,27.72,14.08,0
"PU002_Pesaro",2019,10,1,25.79,14.49,0
"PU002_Pesaro",2019,10,2,25.33,14.55,15.6
"PU002_Pesaro",2019,10,3,15.54,8.02,6.2
"PU002_Pesaro",2019,10,4,18.72,11.11,2.5
"PU002_Pesaro",2019,10,5,20.78,10.94,0
"PU002_Pesaro",2019,10,6,20.06,12.26,0
"PU002_Pesaro",2019,10,7,19.54,8.96,0
