"site","year","month","day","tmax","tmin","prec"
"SO003_Sondrio",2019,1,1,6.8,-4.62,0
"SO003_Sondrio",2019,1,2,6.47,-5.22,0
"SO003_Sondrio",2019,1,3,1.06,-8.8,0
"SO003_Sondrio",2019,1,4,3.32,-7.55,0
"SO003_Sondrio",2019,1,5,4.75,-5.75,0
"SO003_Sondrio",2019,1,6,6.46,-3.05,0
"SO003_Sondrio",2019,1,7,3.85,-5.11,0
"SO003_Sondrio",2019,1,8,4.64,-4.79,0
"SO003_Sondrio",2019,1,9,2.85,-5.27,0
"SO003_Sondrio",2019,1,10,0.86,-7.81,0
"SO003_Sondrio",2019,1,11,1.05,-9.31,0
"SO003_Sondrio",2019,1,12,4.42,-5.56,0
"SO003_Sondrio",2019,1,13,6.36,-2.72,10.9
"SO003_Sondrio",2019,1,14,7.06,-2.13,0
"SO003_Sondrio",2019,1,15,4.98,-5.54,0
"SO003_Sondrio",2019,1,16,4.85,-7.32,0
"SO003_Sondrio",2019,1,17,3.34,-1.07,1.9
"SO003_Sondrio",2019,1,18,1.91,-5.74,0
"SO003_Sondrio",2019,1,19,-1.07,-7.7,0
"SO003_Sondrio",2019,1,20,0.15,-9.29,0
"SO003_Sondrio",2019,1,21,-0.15,-9.16,0
"SO003_Sondrio",2019,1,22,-0.25,-10.16,0
"SO003_Sondrio",2019,1,23,-1.3,-10.35,0
"SO003_Sondrio",2019,1,24,-0.99,-9.27,0
"SO003_Sondrio",2019,1,25,0.72,-10.81,0
"SO003_Sondrio",2019,1,26,4.09,-9.19,0
"SO003_Sondrio",2019,1,27,0.1,-7.39,2.8
"SO003_Sondrio",2019,1,28,1.18,-3.94,0
"SO003_Sondrio",2019,1,29,1.41,-7.95,0
"SO003_Sondrio",2019,1,30,-0.34,-5.12,0
"SO003_Sondrio",2019,1,31,-0.73,-9.09,2.9
"SO003_Sondrio",2019,2,1,-0.16,-0.74,41.2
"SO003_Sondrio",2019,2,2,3.44,-0.65,11.3
"SO003_Sondrio",2019,2,3,2.18,-2.12,4.8
