"site","year","month","day","tmax","tmin","prec"
"SVGR13_FINALE LIGURE",2019,1,1,12.15,4.31,0
"SVGR13_FINALE LIGURE",2019,1,2,15.15,4.14,0
"SVGR13_FINALE LIGURE",2019,1,3,11.19,2.19,0
"SVGR13_FINALE LIGURE",2019,1,4,9.65,1.83,0
"SVGR13_FINALE LIGURE",2019,1,5,10.75,2.22,0
"SVGR13_FINALE LIGURE",2019,1,6,14.55,3.13,0
"SVGR13_FINALE LIGURE",2019,1,7,14.52,3.37,0
"SVGR13_FINALE LIGURE",2019,1,8,9.42,3.44,0
"SVGR13_FINALE LIGURE",2019,1,9,11.2,2.46,0
"SVGR13_FINALE LIGURE",2019,1,10,11.68,1.91,0
"SVGR13_FINALE LIGURE",2019,1,11,10.61,0.36,0
"SVGR13_FINALE LIGURE",2019,1,12,12.71,-0.07,0
"SVGR13_FINALE LIGURE",2019,1,13,14.44,3.13,0
"SVGR13_FINALE LIGURE",2019,1,14,16.23,5.49,0
"SVGR13_FINALE LIGURE",2019,1,15,14.18,4.41,0
"SVGR13_FINALE LIGURE",2019,1,16,11.03,3.62,0
"SVGR13_FINALE LIGURE",2019,1,17,11.41,5.16,0
"SVGR13_FINALE LIGURE",2019,1,18,11.35,3.84,0
"SVGR13_FINALE LIGURE",2019,1,19,9.31,3.85,0
"SVGR13_FINALE LIGURE",2019,1,20,8.94,3.1,0
"SVGR13_FINALE LIGURE",2019,1,21,9.96,1.33,0
"SVGR13_FINALE LIGURE",2019,1,22,9.84,1.24,0
"SVGR13_FINALE LIGURE",2019,1,23,7.05,-0.15,0
"SVGR13_FINALE LIGURE",2019,1,24,9.74,2.02,0
"SVGR13_FINALE LIGURE",2019,1,25,11.47,2.16,0
"SVGR13_FINALE LIGURE",2019,1,26,13.46,1.65,0
"SVGR13_FINALE LIGURE",2019,1,27,11.71,2.17,0
"SVGR13_FINALE LIGURE",2019,1,28,11.48,2.99,0
"SVGR13_FINALE LIGURE",2019,1,29,10.86,1.3,0
"SVGR13_FINALE LIGURE",2019,1,30,7.58,1.76,0
"SVGR13_FINALE LIGURE",2019,1,31,9.89,-0.96,6.5
"SVGR13_FINALE LIGURE",2019,2,1,6.74,4.35,65.1
"SVGR13_FINALE LIGURE",2019,2,2,8.69,3.96,14.3
"SVGR13_FINALE LIGURE",2019,2,3,10.42,3.87,0
"SVGR13_FINALE LIGURE",2019,2,4,12.55,5.41,0
"SVGR13_FINALE LIGURE",2019,2,5,13.59,2.95,0
"SVGR13_FINALE LIGURE",2019,2,6,15.05,3.99,0
"SVGR13_FINALE LIGURE",2019,2,7,12.39,1.37,0
"SVGR13_FINALE LIGURE",2019,2,8,13.87,2.83,0
"SVGR13_FINALE LIGURE",2019,2,9,12.99,2.83,0
"SVGR13_FINALE LIGURE",2019,2,10,12.6,5.72,0
"SVGR13_FINALE LIGURE",2019,2,11,13.07,4.94,0
"SVGR13_FINALE LIGURE",2019,2,12,16.82,4.12,0
"SVGR13_FINALE LIGURE",2019,2,13,14.51,3.09,0
"SVGR13_FINALE LIGURE",2019,2,14,16.2,3.67,0
"SVGR13_FINALE LIGURE",2019,2,15,17.84,4.14,0
"SVGR13_FINALE LIGURE",2019,2,16,17.28,4.41,0
"SVGR13_FINALE LIGURE",2019,2,17,15.57,4.45,0
"SVGR13_FINALE LIGURE",2019,2,18,13.64,3.86,0
"SVGR13_FINALE LIGURE",2019,2,19,13.46,2.15,0
"SVGR13_FINALE LIGURE",2019,2,20,13.78,3.03,0
"SVGR13_FINALE LIGURE",2019,2,21,15.26,3.72,0
"SVGR13_FINALE LIGURE",2019,2,22,18.8,4.82,0
"SVGR13_FINALE LIGURE",2019,2,23,15.15,5.68,0
"SVGR13_FINALE LIGURE",2019,2,24,14.92,3.32,0
"SVGR13_FINALE LIGURE",2019,2,25,16.14,3.13,0
"SVGR13_FINALE LIGURE",2019,2,26,18.81,5.37,0
"SVGR13_FINALE LIGURE",2019,2,27,20.13,8.45,0
"SVGR13_FINALE LIGURE",2019,2,28,18.42,6.77,0
"SVGR13_FINALE LIGURE",2019,3,1,15.44,6.92,0
"SVGR13_FINALE LIGURE",2019,3,2,18.23,5.87,0
"SVGR13_FINALE LIGURE",2019,3,3,17.6,5.49,0
"SVGR13_FINALE LIGURE",2019,3,4,16,6.4,0
"SVGR13_FINALE LIGURE",2019,3,5,16.59,7.31,0
"SVGR13_FINALE LIGURE",2019,3,6,14.93,5.41,0
"SVGR13_FINALE LIGURE",2019,3,7,17.35,10,0
"SVGR13_FINALE LIGURE",2019,3,8,17.12,6.7,0
"SVGR13_FINALE LIGURE",2019,3,9,16.22,7.42,0
"SVGR13_FINALE LIGURE",2019,3,10,16.43,8.64,0
"SVGR13_FINALE LIGURE",2019,3,11,18.44,7.64,0
"SVGR13_FINALE LIGURE",2019,3,12,15.19,4.48,0
"SVGR13_FINALE LIGURE",2019,3,13,14.86,4.54,0
"SVGR13_FINALE LIGURE",2019,3,14,16.58,5.15,0
"SVGR13_FINALE LIGURE",2019,3,15,18.99,7.78,0
"SVGR13_FINALE LIGURE",2019,3,16,19.15,8.14,0
"SVGR13_FINALE LIGURE",2019,3,17,13.86,7.69,0
"SVGR13_FINALE LIGURE",2019,3,18,15.85,7.79,0
"SVGR13_FINALE LIGURE",2019,3,19,14.01,5.36,0
"SVGR13_FINALE LIGURE",2019,3,20,14.55,5.5,0
"SVGR13_FINALE LIGURE",2019,3,21,16.66,6.48,0
"SVGR13_FINALE LIGURE",2019,3,22,20.74,8.11,0
"SVGR13_FINALE LIGURE",2019,3,23,23.19,9.17,0
"SVGR13_FINALE LIGURE",2019,3,24,22.12,9.71,0
"SVGR13_FINALE LIGURE",2019,3,25,19.86,8.91,0
"SVGR13_FINALE LIGURE",2019,3,26,14.91,7.86,0
"SVGR13_FINALE LIGURE",2019,3,27,16.76,7.5,0
"SVGR13_FINALE LIGURE",2019,3,28,16.19,6.39,0
"SVGR13_FINALE LIGURE",2019,3,29,17.48,8.32,0
"SVGR13_FINALE LIGURE",2019,3,30,18.86,6.2,0
"SVGR13_FINALE LIGURE",2019,3,31,19.12,6.38,0
"SVGR13_FINALE LIGURE",2019,4,1,20.93,6.93,0
"SVGR13_FINALE LIGURE",2019,4,2,19.49,8.49,3.9
"SVGR13_FINALE LIGURE",2019,4,3,11.67,8.21,47.5
"SVGR13_FINALE LIGURE",2019,4,4,13.06,6.08,27.2
"SVGR13_FINALE LIGURE",2019,4,5,15.87,4.53,0
"SVGR13_FINALE LIGURE",2019,4,6,14.81,8.23,10.3
"SVGR13_FINALE LIGURE",2019,4,7,12.4,6.85,0
"SVGR13_FINALE LIGURE",2019,4,8,16.09,5.31,0
"SVGR13_FINALE LIGURE",2019,4,9,18.15,6.52,0
"SVGR13_FINALE LIGURE",2019,4,10,17.52,7.72,2.1
"SVGR13_FINALE LIGURE",2019,4,11,14.39,8.52,5.2
"SVGR13_FINALE LIGURE",2019,4,12,18,10.25,2
"SVGR13_FINALE LIGURE",2019,4,13,16.89,8.2,2.1
"SVGR13_FINALE LIGURE",2019,4,14,14.2,7.37,3.1
"SVGR13_FINALE LIGURE",2019,4,15,17.29,7.21,0
"SVGR13_FINALE LIGURE",2019,4,16,16.86,7.93,0
"SVGR13_FINALE LIGURE",2019,4,17,18.49,6.89,0
"SVGR13_FINALE LIGURE",2019,4,18,20.47,8.67,0
"SVGR13_FINALE LIGURE",2019,4,19,20.79,12.54,0
"SVGR13_FINALE LIGURE",2019,4,20,21.6,10.69,0
"SVGR13_FINALE LIGURE",2019,4,21,21.01,14.04,0
"SVGR13_FINALE LIGURE",2019,4,22,20.67,13.19,10.5
"SVGR13_FINALE LIGURE",2019,4,23,14.28,11.02,42.2
"SVGR13_FINALE LIGURE",2019,4,24,14.46,11.76,22.4
"SVGR13_FINALE LIGURE",2019,4,25,17.72,9.57,6.3
