"site","year","month","day","tmax","tmin","prec"
"TV002_Onigo di Pederobba (TV)",2019,1,1,7.57,-1.65,0
"TV002_Onigo di Pederobba (TV)",2019,1,2,7.44,-2.04,0
"TV002_Onigo di Pederobba (TV)",2019,1,3,5.22,-4.3,0
"TV002_Onigo di Pederobba (TV)",2019,1,4,9.23,-6.03,0
"TV002_Onigo di Pederobba (TV)",2019,1,5,8.51,-4.76,0
"TV002_Onigo di Pederobba (TV)",2019,1,6,10.6,-3.21,0
"TV002_Onigo di Pederobba (TV)",2019,1,7,8.13,-2.54,0
"TV002_Onigo di Pederobba (TV)",2019,1,8,4.58,-2.9,0
"TV002_Onigo di Pederobba (TV)",2019,1,9,5.94,-2.75,0
"TV002_Onigo di Pederobba (TV)",2019,1,10,9.01,-3.68,0
"TV002_Onigo di Pederobba (TV)",2019,1,11,7.12,-3.5,0
"TV002_Onigo di Pederobba (TV)",2019,1,12,9.17,-3.09,0
"TV002_Onigo di Pederobba (TV)",2019,1,13,10.75,-1.77,0
"TV002_Onigo di Pederobba (TV)",2019,1,14,12.58,-0.5,0
"TV002_Onigo di Pederobba (TV)",2019,1,15,9.4,-1.71,0
"TV002_Onigo di Pederobba (TV)",2019,1,16,7.9,-1.56,0
"TV002_Onigo di Pederobba (TV)",2019,1,17,8.3,1.56,0
"TV002_Onigo di Pederobba (TV)",2019,1,18,7.15,2.19,2.4
"TV002_Onigo di Pederobba (TV)",2019,1,19,4.24,-0.87,0
"TV002_Onigo di Pederobba (TV)",2019,1,20,5.46,-2.86,0
"TV002_Onigo di Pederobba (TV)",2019,1,21,4.93,-3.33,0
"TV002_Onigo di Pederobba (TV)",2019,1,22,4.42,-3.41,0
"TV002_Onigo di Pederobba (TV)",2019,1,23,3.26,-2.47,0.7
"TV002_Onigo di Pederobba (TV)",2019,1,24,6.21,-3.21,0
"TV002_Onigo di Pederobba (TV)",2019,1,25,7.07,-3.88,0
"TV002_Onigo di Pederobba (TV)",2019,1,26,6.38,-3.81,0
"TV002_Onigo di Pederobba (TV)",2019,1,27,5.12,-4.66,5.2
"TV002_Onigo di Pederobba (TV)",2019,1,28,6.34,-3.35,4.5
"TV002_Onigo di Pederobba (TV)",2019,1,29,7.07,-3.51,0
"TV002_Onigo di Pederobba (TV)",2019,1,30,5.76,-3.25,0
"TV002_Onigo di Pederobba (TV)",2019,1,31,4.32,-0.33,2.4
"TV002_Onigo di Pederobba (TV)",2019,2,1,6.15,0.8,14.3
"TV002_Onigo di Pederobba (TV)",2019,2,2,6.77,0.95,36.8
"TV002_Onigo di Pederobba (TV)",2019,2,3,6.35,0.46,9.3
"TV002_Onigo di Pederobba (TV)",2019,2,4,7.16,-1.3,0
"TV002_Onigo di Pederobba (TV)",2019,2,5,8.08,-1.81,0
"TV002_Onigo di Pederobba (TV)",2019,2,6,9.96,-1.27,0
"TV002_Onigo di Pederobba (TV)",2019,2,7,10.4,-2.36,0
"TV002_Onigo di Pederobba (TV)",2019,2,8,10.92,-0.43,0
"TV002_Onigo di Pederobba (TV)",2019,2,9,10.56,-0.58,0
"TV002_Onigo di Pederobba (TV)",2019,2,10,10.17,2.57,2.5
"TV002_Onigo di Pederobba (TV)",2019,2,11,12.66,1.4,2.3
"TV002_Onigo di Pederobba (TV)",2019,2,12,12.9,-0.28,0
"TV002_Onigo di Pederobba (TV)",2019,2,13,12.24,-1.76,0
"TV002_Onigo di Pederobba (TV)",2019,2,14,13.93,-0.82,0
"TV002_Onigo di Pederobba (TV)",2019,2,15,14.19,-0.75,0
"TV002_Onigo di Pederobba (TV)",2019,2,16,14.54,-0.76,0
"TV002_Onigo di Pederobba (TV)",2019,2,17,15.62,-0.25,0
"TV002_Onigo di Pederobba (TV)",2019,2,18,15.61,-0.18,0
"TV002_Onigo di Pederobba (TV)",2019,2,19,12.93,-0.07,0
"TV002_Onigo di Pederobba (TV)",2019,2,20,13.14,0.92,0
"TV002_Onigo di Pederobba (TV)",2019,2,21,15.85,0.21,0
"TV002_Onigo di Pederobba (TV)",2019,2,22,17.18,-0.97,0
"TV002_Onigo di Pederobba (TV)",2019,2,23,8.8,-1.36,0
"TV002_Onigo di Pederobba (TV)",2019,2,24,13.37,-2.91,0
"TV002_Onigo di Pederobba (TV)",2019,2,25,16.36,-0.86,0
"TV002_Onigo di Pederobba (TV)",2019,2,26,17.66,2.25,0
"TV002_Onigo di Pederobba (TV)",2019,2,27,19.48,3.75,0
"TV002_Onigo di Pederobba (TV)",2019,2,28,17.92,2.73,0
"TV002_Onigo di Pederobba (TV)",2019,3,1,16.13,3.16,0
"TV002_Onigo di Pederobba (TV)",2019,3,2,17.45,2.32,0
"TV002_Onigo di Pederobba (TV)",2019,3,3,16.22,1.25,0
"TV002_Onigo di Pederobba (TV)",2019,3,4,14.43,2.17,2
"TV002_Onigo di Pederobba (TV)",2019,3,5,15.39,2.51,0
"TV002_Onigo di Pederobba (TV)",2019,3,6,13.53,1.63,0
"TV002_Onigo di Pederobba (TV)",2019,3,7,16.55,6.9,4.2
"TV002_Onigo di Pederobba (TV)",2019,3,8,17.2,5.8,5.4
"TV002_Onigo di Pederobba (TV)",2019,3,9,17.11,4.74,0
"TV002_Onigo di Pederobba (TV)",2019,3,10,15.17,4.08,0
"TV002_Onigo di Pederobba (TV)",2019,3,11,16.61,3.37,0
"TV002_Onigo di Pederobba (TV)",2019,3,12,14.12,0.66,0
"TV002_Onigo di Pederobba (TV)",2019,3,13,13.43,0.53,0
"TV002_Onigo di Pederobba (TV)",2019,3,14,17.95,-0.12,0
"TV002_Onigo di Pederobba (TV)",2019,3,15,20.65,3.48,0
"TV002_Onigo di Pederobba (TV)",2019,3,16,20.68,5.8,0
"TV002_Onigo di Pederobba (TV)",2019,3,17,14.81,3.24,0
"TV002_Onigo di Pederobba (TV)",2019,3,18,12.41,2.48,3
"TV002_Onigo di Pederobba (TV)",2019,3,19,12.47,1.74,0
"TV002_Onigo di Pederobba (TV)",2019,3,20,15.75,0.78,0
"TV002_Onigo di Pederobba (TV)",2019,3,21,18.82,-0.33,0
"TV002_Onigo di Pederobba (TV)",2019,3,22,21.62,0.96,0
"TV002_Onigo di Pederobba (TV)",2019,3,23,22.51,3.23,0
"TV002_Onigo di Pederobba (TV)",2019,3,24,23.43,4.68,0
"TV002_Onigo di Pederobba (TV)",2019,3,25,22.15,4.44,0
"TV002_Onigo di Pederobba (TV)",2019,3,26,16.26,2.06,0
"TV002_Onigo di Pederobba (TV)",2019,3,27,16.47,0.68,0
"TV002_Onigo di Pederobba (TV)",2019,3,28,17.76,1.4,0
"TV002_Onigo di Pederobba (TV)",2019,3,29,20.33,2.17,0
"TV002_Onigo di Pederobba (TV)",2019,3,30,20.93,1.99,0
"TV002_Onigo di Pederobba (TV)",2019,3,31,22.24,3.17,0
"TV002_Onigo di Pederobba (TV)",2019,4,1,22.14,5.96,0
"TV002_Onigo di Pederobba (TV)",2019,4,2,20.45,7.87,0
"TV002_Onigo di Pederobba (TV)",2019,4,3,15.72,7.45,8.4
"TV002_Onigo di Pederobba (TV)",2019,4,4,13.59,5.98,33.6
"TV002_Onigo di Pederobba (TV)",2019,4,5,13,5.54,35.4
"TV002_Onigo di Pederobba (TV)",2019,4,6,14.5,7.39,0
"TV002_Onigo di Pederobba (TV)",2019,4,7,15.94,6.84,0
"TV002_Onigo di Pederobba (TV)",2019,4,8,16.03,6.96,0
"TV002_Onigo di Pederobba (TV)",2019,4,9,17.5,9.31,3.7
"TV002_Onigo di Pederobba (TV)",2019,4,10,18.29,8.55,11.2
"TV002_Onigo di Pederobba (TV)",2019,4,11,14.44,10.06,4.8
"TV002_Onigo di Pederobba (TV)",2019,4,12,14.47,9.12,4.6
"TV002_Onigo di Pederobba (TV)",2019,4,13,10.99,7.19,0
"TV002_Onigo di Pederobba (TV)",2019,4,14,15.87,6.18,1.9
"TV002_Onigo di Pederobba (TV)",2019,4,15,18.21,6.17,0
"TV002_Onigo di Pederobba (TV)",2019,4,16,20.81,5.76,0
"TV002_Onigo di Pederobba (TV)",2019,4,17,21.31,6.67,0
"TV002_Onigo di Pederobba (TV)",2019,4,18,21.07,7.78,0
"TV002_Onigo di Pederobba (TV)",2019,4,19,23.12,7.64,0
"TV002_Onigo di Pederobba (TV)",2019,4,20,24.07,7.42,0
"TV002_Onigo di Pederobba (TV)",2019,4,21,23.28,8.84,0
"TV002_Onigo di Pederobba (TV)",2019,4,22,20.09,9.42,4.1
"TV002_Onigo di Pederobba (TV)",2019,4,23,15.7,11.34,11.9
"TV002_Onigo di Pederobba (TV)",2019,4,24,20.2,11.2,11.6
"TV002_Onigo di Pederobba (TV)",2019,4,25,19.7,9.99,7.1
"TV002_Onigo di Pederobba (TV)",2019,4,26,21.32,8.89,5.2
"TV002_Onigo di Pederobba (TV)",2019,4,27,21.3,6.93,0
"TV002_Onigo di Pederobba (TV)",2019,4,28,14.51,5.82,25.7
"TV002_Onigo di Pederobba (TV)",2019,4,29,19.55,5.46,8.2
"TV002_Onigo di Pederobba (TV)",2019,4,30,21.69,6.75,0
"TV002_Onigo di Pederobba (TV)",2019,5,1,22.08,8.44,0
"TV002_Onigo di Pederobba (TV)",2019,5,2,21.97,9.28,0
"TV002_Onigo di Pederobba (TV)",2019,5,3,18.42,10.75,9.8
"TV002_Onigo di Pederobba (TV)",2019,5,4,16.71,7,15.3
