"site","year","month","day","tmax","tmin","prec"
"VI001_Breganze (VI)",2019,1,1,7.01,-1.78,0
"VI001_Breganze (VI)",2019,1,2,7.35,-1.94,0
"VI001_Breganze (VI)",2019,1,3,5.92,-4.82,0
"VI001_Breganze (VI)",2019,1,4,7.9,-5.73,0
"VI001_Breganze (VI)",2019,1,5,8.93,-3.73,0
"VI001_Breganze (VI)",2019,1,6,11.17,-1.84,0
"VI001_Breganze (VI)",2019,1,7,8.51,-2.6,0
"VI001_Breganze (VI)",2019,1,8,4.65,-2.61,0
"VI001_Breganze (VI)",2019,1,9,5.75,-2.45,0
"VI001_Breganze (VI)",2019,1,10,8.21,-3.78,0
"VI001_Breganze (VI)",2019,1,11,6.08,-3.32,0
"VI001_Breganze (VI)",2019,1,12,8.73,-2.9,0
"VI001_Breganze (VI)",2019,1,13,10.43,-2.33,0
"VI001_Breganze (VI)",2019,1,14,12.6,-0.21,0
"VI001_Breganze (VI)",2019,1,15,9.59,-1.58,0
"VI001_Breganze (VI)",2019,1,16,9.15,-3,0
"VI001_Breganze (VI)",2019,1,17,7.77,0.92,0
"VI001_Breganze (VI)",2019,1,18,7.23,1.07,2
"VI001_Breganze (VI)",2019,1,19,4.25,-1.91,0
"VI001_Breganze (VI)",2019,1,20,4.59,-4.01,0
"VI001_Breganze (VI)",2019,1,21,5,-3.7,0
"VI001_Breganze (VI)",2019,1,22,5.37,-4.5,0
"VI001_Breganze (VI)",2019,1,23,2.81,-3.47,0
"VI001_Breganze (VI)",2019,1,24,6.71,-4.1,0
"VI001_Breganze (VI)",2019,1,25,7.08,-3.87,0
"VI001_Breganze (VI)",2019,1,26,7.15,-3.2,0
"VI001_Breganze (VI)",2019,1,27,4.07,-4.24,4
"VI001_Breganze (VI)",2019,1,28,4.94,-3.37,5.7
"VI001_Breganze (VI)",2019,1,29,7.21,-3.67,0
"VI001_Breganze (VI)",2019,1,30,4.95,-3.33,0
"VI001_Breganze (VI)",2019,1,31,4.61,-1.77,2.1
"VI001_Breganze (VI)",2019,2,1,6.09,0.02,12.2
"VI001_Breganze (VI)",2019,2,2,6.4,1.45,41.2
"VI001_Breganze (VI)",2019,2,3,6.34,0.88,11.9
"VI001_Breganze (VI)",2019,2,4,7.9,-1.45,0
"VI001_Breganze (VI)",2019,2,5,9.45,-2.42,0
"VI001_Breganze (VI)",2019,2,6,12.68,-1.78,0
"VI001_Breganze (VI)",2019,2,7,10.49,-1.7,0
"VI001_Breganze (VI)",2019,2,8,11.36,0.04,0
"VI001_Breganze (VI)",2019,2,9,10.46,-0.84,0
"VI001_Breganze (VI)",2019,2,10,9.32,2.69,3.1
"VI001_Breganze (VI)",2019,2,11,11.67,1.7,3.6
"VI001_Breganze (VI)",2019,2,12,12.92,0,0
"VI001_Breganze (VI)",2019,2,13,11.82,-1.49,0
"VI001_Breganze (VI)",2019,2,14,14.35,-0.62,0
"VI001_Breganze (VI)",2019,2,15,15.43,-0.62,0
"VI001_Breganze (VI)",2019,2,16,15.11,-0.01,0
"VI001_Breganze (VI)",2019,2,17,16.43,1.1,0
"VI001_Breganze (VI)",2019,2,18,15.78,0.98,0
"VI001_Breganze (VI)",2019,2,19,12.49,0.59,0
"VI001_Breganze (VI)",2019,2,20,13.34,0.52,0
"VI001_Breganze (VI)",2019,2,21,16.08,0.95,0
"VI001_Breganze (VI)",2019,2,22,18.24,2.07,0
"VI001_Breganze (VI)",2019,2,23,8.66,-2.15,0
"VI001_Breganze (VI)",2019,2,24,12.86,-3.13,0
"VI001_Breganze (VI)",2019,2,25,16.54,-0.86,0
"VI001_Breganze (VI)",2019,2,26,18.67,2.77,0
"VI001_Breganze (VI)",2019,2,27,20.26,5.24,0
"VI001_Breganze (VI)",2019,2,28,18.33,3.96,0
"VI001_Breganze (VI)",2019,3,1,16.08,3.39,0
"VI001_Breganze (VI)",2019,3,2,17.21,2.12,0
"VI001_Breganze (VI)",2019,3,3,16.2,1.27,0
