"site","year","month","day","tmax","tmin","prec"
"VR001_S.Pietro in Cariano (VR)",2019,1,1,6.13,-0.46,0
"VR001_S.Pietro in Cariano (VR)",2019,1,2,7.01,-0.63,0
"VR001_S.Pietro in Cariano (VR)",2019,1,3,6.35,-3.64,0
"VR001_S.Pietro in Cariano (VR)",2019,1,4,5.73,-4.17,0
"VR001_S.Pietro in Cariano (VR)",2019,1,5,7.83,-2.36,0
"VR001_S.Pietro in Cariano (VR)",2019,1,6,11.51,0.23,0
"VR001_S.Pietro in Cariano (VR)",2019,1,7,8.24,-1.43,0
"VR001_S.Pietro in Cariano (VR)",2019,1,8,3.88,-1.39,0
"VR001_S.Pietro in Cariano (VR)",2019,1,9,6.57,-1.78,0
"VR001_S.Pietro in Cariano (VR)",2019,1,10,7.91,-1.53,0
"VR001_S.Pietro in Cariano (VR)",2019,1,11,6.68,-2.73,0
"VR001_S.Pietro in Cariano (VR)",2019,1,12,7.19,-1.75,0
"VR001_S.Pietro in Cariano (VR)",2019,1,13,9.94,-1.61,0
"VR001_S.Pietro in Cariano (VR)",2019,1,14,13.24,0.38,0
"VR001_S.Pietro in Cariano (VR)",2019,1,15,11.17,-0.15,0
"VR001_S.Pietro in Cariano (VR)",2019,1,16,10.37,-1.16,0
"VR001_S.Pietro in Cariano (VR)",2019,1,17,7.66,2.47,0
"VR001_S.Pietro in Cariano (VR)",2019,1,18,8.57,1.99,2.1
"VR001_S.Pietro in Cariano (VR)",2019,1,19,4.65,0.18,0
"VR001_S.Pietro in Cariano (VR)",2019,1,20,5.65,-1.62,0
"VR001_S.Pietro in Cariano (VR)",2019,1,21,4.32,-2.42,0
"VR001_S.Pietro in Cariano (VR)",2019,1,22,6.43,-2.83,0
"VR001_S.Pietro in Cariano (VR)",2019,1,23,3.34,-1.25,0
"VR001_S.Pietro in Cariano (VR)",2019,1,24,7.24,-1.68,0
"VR001_S.Pietro in Cariano (VR)",2019,1,25,7.63,-3.06,0
"VR001_S.Pietro in Cariano (VR)",2019,1,26,5.94,-3.1,0
"VR001_S.Pietro in Cariano (VR)",2019,1,27,4.56,-2.25,4.1
"VR001_S.Pietro in Cariano (VR)",2019,1,28,5.06,-0.93,6.2
"VR001_S.Pietro in Cariano (VR)",2019,1,29,7.77,-2.7,0
"VR001_S.Pietro in Cariano (VR)",2019,1,30,4.62,-0.53,3.4
"VR001_S.Pietro in Cariano (VR)",2019,1,31,5.53,-0.77,2.2
"VR001_S.Pietro in Cariano (VR)",2019,2,1,3.16,0.19,4.9
