site,year,month,day,tmax,tmin,prec
Ancona,2007,1,1,12.75,6.6,0
Ancona,2007,1,2,15.61,7.56,0
Ancona,2007,1,3,9.51,3.46,6
Ancona,2007,1,4,13.61,2.5,0
Ancona,2007,1,5,12.63,4.44,0
Ancona,2007,1,6,13.21,2.37,0
Ancona,2007,1,7,13.56,2.69,0
Ancona,2007,1,8,14.65,7.2,0
Ancona,2007,1,9,15.82,5.65,0
Ancona,2007,1,10,10.67,4.51,0
Ancona,2007,1,11,14.69,5.81,0
Ancona,2007,1,12,17.81,9.15,0
Ancona,2007,1,13,16.86,4.75,0
Ancona,2007,1,14,12.42,3.83,0
Ancona,2007,1,15,11.2,5.04,0
Ancona,2007,1,16,8.41,2.98,0
Ancona,2007,1,17,13.25,3.67,0
Ancona,2007,1,18,9.36,5.83,10.8
Ancona,2007,1,19,17.06,8.12,0
Ancona,2007,1,20,17.79,8.79,0
Ancona,2007,1,21,14.98,6.83,0
Ancona,2007,1,22,17.84,9.4,0
Ancona,2007,1,23,18.63,8.77,0
Ancona,2007,1,24,16.38,6.67,2.3
Ancona,2007,1,25,9.75,3.25,0
Ancona,2007,1,26,12,2.55,0
Ancona,2007,1,27,6.16,1.9,7.5
Ancona,2007,1,28,10.17,0.66,0
Ancona,2007,1,29,14.21,3.79,0
Ancona,2007,1,30,14.77,2.17,0
Ancona,2007,1,31,13.08,1.58,0
Ancona,2007,2,1,12.18,2.63,0
Ancona,2007,2,2,14.01,4.64,0
Ancona,2007,2,3,12.88,2.94,0
Ancona,2007,2,4,12.29,2.36,0
Ancona,2007,2,5,12.48,1.06,0
Ancona,2007,2,6,16.44,4.96,0
Ancona,2007,2,7,15.91,6.49,0
Ancona,2007,2,8,15.74,6.98,0
Ancona,2007,2,9,17.15,8.96,4.3
Ancona,2007,2,10,12.2,7.97,9
Ancona,2007,2,11,11.26,8.07,1
Ancona,2007,2,12,14.94,7.7,0
Ancona,2007,2,13,15.39,6.25,16.1
Ancona,2007,2,14,17.6,5.07,1.4
Ancona,2007,2,15,16.2,7.86,0
Ancona,2007,2,16,10.99,4.65,2.2
Ancona,2007,2,17,14.19,4.71,0
Ancona,2007,2,18,11.48,4.5,0
Ancona,2007,2,19,10.02,5.79,2.8
Ancona,2007,2,20,8.92,6.05,0
Ancona,2007,2,21,10.01,7.42,0
Ancona,2007,2,22,12.44,8.52,0
Ancona,2007,2,23,15.95,8.12,0
Ancona,2007,2,24,15.04,5.79,0
Ancona,2007,2,25,14,7.84,0.9
Ancona,2007,2,26,17.18,6.56,5.3
Ancona,2007,2,27,13.93,4.75,0
Ancona,2007,2,28,16.59,6.47,0
Ancona,2007,3,1,19.25,10.84,0
Ancona,2007,3,2,19.49,12.46,0
Ancona,2007,3,3,20.27,12.97,0
Ancona,2007,3,4,21.08,10.59,0
Ancona,2007,3,5,19.47,7.03,0
Ancona,2007,3,6,20.38,8.94,0
Ancona,2007,3,7,16.14,8.12,0
Ancona,2007,3,8,14.31,8.14,2.5
Ancona,2007,3,9,14.68,7.67,2
Ancona,2007,3,10,14.61,8.24,0
Ancona,2007,3,11,14.51,6.52,0
Ancona,2007,3,12,16.27,5.5,0
Ancona,2007,3,13,17.32,6.03,0
