site,year,month,day,tmax,tmin,prec
Arezzo,2007,1,1,11.57,7.91,0.9
Arezzo,2007,1,2,13.38,8.59,0
Arezzo,2007,1,3,14.51,-1.25,0
Arezzo,2007,1,4,12.85,-1.48,0
Arezzo,2007,1,5,6.14,0.36,0
Arezzo,2007,1,6,14.21,-0.52,0
Arezzo,2007,1,7,12.49,1.2,0
Arezzo,2007,1,8,10.25,7.12,1.5
Arezzo,2007,1,9,11.36,7.33,9.1
Arezzo,2007,1,10,10.48,2.34,0
Arezzo,2007,1,11,8.69,3.26,0
Arezzo,2007,1,12,12.27,7.22,0
Arezzo,2007,1,13,15.59,3.89,0
Arezzo,2007,1,14,8.49,4.47,0
Arezzo,2007,1,15,8.99,4.81,0
Arezzo,2007,1,16,15.43,2.54,0
Arezzo,2007,1,17,8.97,5.3,0
Arezzo,2007,1,18,13.03,8.39,0
Arezzo,2007,1,19,13.8,9.27,0
Arezzo,2007,1,20,18.08,5.07,0
Arezzo,2007,1,21,14.08,8.02,0
Arezzo,2007,1,22,15.97,9.77,0
Arezzo,2007,1,23,15.89,11.17,0
Arezzo,2007,1,24,14.64,3.13,10.6
Arezzo,2007,1,25,6.85,1.2,5.8
Arezzo,2007,1,26,8.37,-1.25,0
Arezzo,2007,1,27,4.62,-1.99,1.7
Arezzo,2007,1,28,8.94,-3.4,0
Arezzo,2007,1,29,10.76,-0.5,0
Arezzo,2007,1,30,9.13,-0.6,0
Arezzo,2007,1,31,9.68,-0.7,0
Arezzo,2007,2,1,9.98,-0.29,0
Arezzo,2007,2,2,14.21,2.48,0
Arezzo,2007,2,3,15.82,-1.24,0
Arezzo,2007,2,4,14.22,2.67,0
Arezzo,2007,2,5,13.66,-2.96,0
Arezzo,2007,2,6,14.77,1.49,0
Arezzo,2007,2,7,12.27,3.4,1.1
Arezzo,2007,2,8,10.8,5.86,9.2
Arezzo,2007,2,9,14.22,7.36,13.6
Arezzo,2007,2,10,11.68,6.32,2
Arezzo,2007,2,11,14.55,5.08,0
Arezzo,2007,2,12,14.3,7.22,0
Arezzo,2007,2,13,13.15,6.54,14.1
Arezzo,2007,2,14,16.22,1.51,0
Arezzo,2007,2,15,14.1,5.35,3.5
Arezzo,2007,2,16,12.53,1.47,3.1
Arezzo,2007,2,17,16.12,3.89,0
Arezzo,2007,2,18,13.63,2.16,0
Arezzo,2007,2,19,10.29,5.57,0
Arezzo,2007,2,20,11.38,4.8,0
Arezzo,2007,2,21,16.42,4.33,0
Arezzo,2007,2,22,13.39,6.69,4.9
Arezzo,2007,2,23,15.56,2.16,0
Arezzo,2007,2,24,14.18,5.42,0
Arezzo,2007,2,25,13.51,7.7,0.8
Arezzo,2007,2,26,13.04,8.45,10
Arezzo,2007,2,27,17.13,0.95,0
Arezzo,2007,2,28,18.11,2.37,0
Arezzo,2007,3,1,14.14,7.31,0
Arezzo,2007,3,2,16.05,9.19,0
Arezzo,2007,3,3,15.65,8.52,0
Arezzo,2007,3,4,15.74,7.84,0
Arezzo,2007,3,5,20.43,5.86,0
Arezzo,2007,3,6,19.08,6.99,0
Arezzo,2007,3,7,16.58,9.89,2.4
Arezzo,2007,3,8,13.82,7.85,9.9
Arezzo,2007,3,9,17.89,7.93,0
Arezzo,2007,3,10,16.61,5.77,0
Arezzo,2007,3,11,14.96,8.27,0
Arezzo,2007,3,12,13.39,6.28,0
Arezzo,2007,3,13,17.71,2.89,0
Arezzo,2007,3,14,20.69,3.81,0
Arezzo,2007,3,15,20.82,4.79,0
Arezzo,2007,3,16,21.13,4.91,0
Arezzo,2007,3,17,22.19,4.15,0
Arezzo,2007,3,18,21.07,3.87,0
Arezzo,2007,3,19,18.16,9.08,0
Arezzo,2007,3,20,13.67,0.87,26.8
Arezzo,2007,3,21,7.97,2.21,4.5
Arezzo,2007,3,22,10.25,4.08,0
Arezzo,2007,3,23,11.72,-0.83,0
Arezzo,2007,3,24,13.64,-0.6,0
