site,year,month,day,tmax,tmin,prec
Castel Boglione,2007,1,1,9.01,4.06,0
Castel Boglione,2007,1,2,12.04,3.13,0
Castel Boglione,2007,1,3,12.47,1.64,0
Castel Boglione,2007,1,4,9.1,1.11,0
Castel Boglione,2007,1,5,10.88,0.48,0
Castel Boglione,2007,1,6,10.07,1.03,0
Castel Boglione,2007,1,7,10.21,4.25,0
Castel Boglione,2007,1,8,9.44,4.46,0
Castel Boglione,2007,1,9,11.62,4.63,0
Castel Boglione,2007,1,10,9.72,5.56,0
Castel Boglione,2007,1,11,13.29,3.67,0
Castel Boglione,2007,1,12,16.36,3.69,0
Castel Boglione,2007,1,13,11.48,2.97,0
Castel Boglione,2007,1,14,10.6,3.27,0
Castel Boglione,2007,1,15,9.97,3.4,0
Castel Boglione,2007,1,16,8.32,3.79,0
Castel Boglione,2007,1,17,8.02,4.53,1.8
Castel Boglione,2007,1,18,9.02,3.19,0
Castel Boglione,2007,1,19,20.92,4.68,0
Castel Boglione,2007,1,20,15.01,5.3,0
Castel Boglione,2007,1,21,10.89,5.85,0
Castel Boglione,2007,1,22,9.86,6.36,0
Castel Boglione,2007,1,23,9.47,6.19,17.1
Castel Boglione,2007,1,24,7.63,0.77,6.7
Castel Boglione,2007,1,25,4.11,0.15,0
Castel Boglione,2007,1,26,4.22,-2.6,0
Castel Boglione,2007,1,27,9.85,-3.38,0
Castel Boglione,2007,1,28,12.25,-0.62,0
Castel Boglione,2007,1,29,12.73,0,0
Castel Boglione,2007,1,30,9.08,-0.34,0
Castel Boglione,2007,1,31,8.61,-0.45,0
Castel Boglione,2007,2,1,11.51,0.43,0
Castel Boglione,2007,2,2,11.48,2.21,0
Castel Boglione,2007,2,3,14.91,0.82,0
Castel Boglione,2007,2,4,10.08,0.58,0
Castel Boglione,2007,2,5,10.35,-1.24,0
Castel Boglione,2007,2,6,9.92,1.66,0
Castel Boglione,2007,2,7,9.02,3.03,0
Castel Boglione,2007,2,8,9.11,4.17,0
Castel Boglione,2007,2,9,12.5,3.71,0
Castel Boglione,2007,2,10,11.13,2.85,0
