site,year,month,day,tmax,tmin,prec
Pianella,2007,1,1,14.45,3.82,0
Pianella,2007,1,2,14.12,4.79,5.4
Pianella,2007,1,3,12.58,0.08,0
Pianella,2007,1,4,12.5,-0.93,0
Pianella,2007,1,5,14.27,2.49,0
Pianella,2007,1,6,14.63,1.21,0
Pianella,2007,1,7,13.29,2.93,0
Pianella,2007,1,8,13.55,5.87,0
Pianella,2007,1,9,15.21,3.52,0
Pianella,2007,1,10,16.89,3.13,0
Pianella,2007,1,11,15.05,2.89,0
Pianella,2007,1,12,16.31,4.87,0
Pianella,2007,1,13,17.1,3.68,0
Pianella,2007,1,14,16.27,2.98,0
Pianella,2007,1,15,16.27,4.46,0
Pianella,2007,1,16,13.83,3.15,0
Pianella,2007,1,17,15.46,6.37,0
Pianella,2007,1,18,17.49,5.77,7.7
Pianella,2007,1,19,17.69,7.65,0
Pianella,2007,1,20,17.21,4.77,0
Pianella,2007,1,21,16.51,7.2,0
Pianella,2007,1,22,17.56,6.12,0
Pianella,2007,1,23,14.19,6.91,0
Pianella,2007,1,24,13.4,5.53,9.6
Pianella,2007,1,25,10.39,2.67,6.7
Pianella,2007,1,26,11.44,1.18,0
Pianella,2007,1,27,9.02,1.08,2.3
Pianella,2007,1,28,12.37,-1.27,0
Pianella,2007,1,29,14.67,1.15,0
Pianella,2007,1,30,15.78,0.41,0
Pianella,2007,1,31,15.13,1.26,0
Pianella,2007,2,1,16.54,4.19,0
Pianella,2007,2,2,16.59,3.73,0
Pianella,2007,2,3,15.35,0.96,0
Pianella,2007,2,4,15.16,1.95,0
Pianella,2007,2,5,13.96,0.07,0
Pianella,2007,2,6,14.4,1.5,0
Pianella,2007,2,7,14.96,5.26,0
Pianella,2007,2,8,16.64,6.27,0
Pianella,2007,2,9,14.61,7.96,6.6
Pianella,2007,2,10,12.52,8.63,8.2
Pianella,2007,2,11,15.43,7.23,2.5
Pianella,2007,2,12,14.09,4.92,0
Pianella,2007,2,13,16.04,6.13,8.3
Pianella,2007,2,14,17.79,3.4,0
Pianella,2007,2,15,13.59,6.65,4.2
Pianella,2007,2,16,15.32,3.24,0
Pianella,2007,2,17,15.86,3.34,0
Pianella,2007,2,18,13.93,3.92,0
Pianella,2007,2,19,15.04,6.77,5.2
Pianella,2007,2,20,13.47,7.73,1.8
Pianella,2007,2,21,14.96,9.11,1.9
Pianella,2007,2,22,15.43,7.05,0
Pianella,2007,2,23,16.61,6.33,0
Pianella,2007,2,24,17.11,6.04,0
Pianella,2007,2,25,15.53,6.67,0
Pianella,2007,2,26,15.79,6.78,3.7
Pianella,2007,2,27,17.33,3.56,0
Pianella,2007,2,28,16.3,4.6,0
Pianella,2007,3,1,18.46,10.27,0
Pianella,2007,3,2,18.25,10.77,0
Pianella,2007,3,3,18.65,8.41,0
Pianella,2007,3,4,20.78,8.65,0
Pianella,2007,3,5,21.42,7.02,0
Pianella,2007,3,6,21.48,8.02,0
Pianella,2007,3,7,17.36,8.5,7.8
Pianella,2007,3,8,18.24,7.09,1.3
Pianella,2007,3,9,19.82,7.89,0
Pianella,2007,3,10,16.94,6.84,0
Pianella,2007,3,11,16.67,9.02,0
Pianella,2007,3,12,18.25,6.78,0
Pianella,2007,3,13,19.69,5.07,0
Pianella,2007,3,14,20.95,6.24,0
Pianella,2007,3,15,20.9,6.5,0
Pianella,2007,3,16,21.01,6.12,0
Pianella,2007,3,17,20.75,6.31,0
Pianella,2007,3,18,20.06,7.48,0
Pianella,2007,3,19,18.46,8.41,0
Pianella,2007,3,20,14.06,4.4,8.9
Pianella,2007,3,21,11.6,3.11,3.7
Pianella,2007,3,22,13.91,4.1,7.6
Pianella,2007,3,23,13.01,3.22,0
Pianella,2007,3,24,13.6,3.8,0
Pianella,2007,3,25,14.43,5.65,0
Pianella,2007,3,26,15.25,4.32,3.7
Pianella,2007,3,27,15.67,5.62,10.5
Pianella,2007,3,28,16.33,4.68,0
Pianella,2007,3,29,17.48,7.87,0
Pianella,2007,3,30,13.59,8.47,3.2
Pianella,2007,3,31,16.72,7.01,4.4
Pianella,2007,4,1,20.1,6.74,0
Pianella,2007,4,2,21.78,7.18,0
Pianella,2007,4,3,19.97,7.02,0
Pianella,2007,4,4,17.62,9.66,5.5
Pianella,2007,4,5,16.98,8.34,14.1
Pianella,2007,4,6,20.28,5.37,0
Pianella,2007,4,7,20.62,6.36,0
Pianella,2007,4,8,21.69,7.22,0
Pianella,2007,4,9,21.28,6.24,0
Pianella,2007,4,10,22.78,7.13,0
Pianella,2007,4,11,24.28,8.9,0
Pianella,2007,4,12,25.33,8.96,0
Pianella,2007,4,13,25.26,8.71,0
Pianella,2007,4,14,23.01,8.25,0
Pianella,2007,4,15,25.07,10.28,0
Pianella,2007,4,16,25.22,10.31,0
Pianella,2007,4,17,24.05,8.36,0
Pianella,2007,4,18,22.88,6.9,0
Pianella,2007,4,19,23.68,9.24,0
Pianella,2007,4,20,25.31,9.11,0
Pianella,2007,4,21,25.6,9.79,0
Pianella,2007,4,22,26.6,11.68,0
Pianella,2007,4,23,27.4,10.8,0
Pianella,2007,4,24,26.97,11.1,0
Pianella,2007,4,25,27.09,12.2,2.7
Pianella,2007,4,26,23.48,9.54,0
Pianella,2007,4,27,22.27,8.58,0
Pianella,2007,4,28,24.44,8.44,0
Pianella,2007,4,29,24.21,9.59,0
Pianella,2007,4,30,21.79,11.49,0
Pianella,2007,5,1,22.89,12.19,5.7
Pianella,2007,5,2,23.44,10.92,0
Pianella,2007,5,3,21.81,13.6,10
Pianella,2007,5,4,22.12,13.75,5.7
Pianella,2007,5,5,22.33,11.6,3.6
Pianella,2007,5,6,21.96,10.54,3.9
Pianella,2007,5,7,22.26,12.05,5.8
Pianella,2007,5,8,25.26,10.71,0
Pianella,2007,5,9,27.05,12.98,0
Pianella,2007,5,10,28.71,13.61,0
Pianella,2007,5,11,28.62,13.82,0
Pianella,2007,5,12,28.76,14.66,0
Pianella,2007,5,13,29.41,14.04,0
Pianella,2007,5,14,30.98,15.45,0
Pianella,2007,5,15,29.28,15.56,0
Pianella,2007,5,16,24.42,11.78,0
Pianella,2007,5,17,23.53,10.71,6.6
Pianella,2007,5,18,23.76,11.67,3.3
Pianella,2007,5,19,23.01,9.58,0
Pianella,2007,5,20,25.3,10.74,0
Pianella,2007,5,21,27.95,13.15,0
Pianella,2007,5,22,29.47,14.25,0
Pianella,2007,5,23,31.54,16.33,0
Pianella,2007,5,24,31.94,16.04,0
Pianella,2007,5,25,32.27,16.65,0
Pianella,2007,5,26,30.89,16.06,0
Pianella,2007,5,27,30.01,15.64,4.9
Pianella,2007,5,28,27.93,14.26,10.3
Pianella,2007,5,29,21.75,12.12,11.4
Pianella,2007,5,30,21.16,11.18,4.8
Pianella,2007,5,31,23.17,10.79,0
Pianella,2007,6,1,25.85,13.04,0
