site,year,month,day,tmax,tmin,prec
San Vendemiano,2007,1,1,5.43,0.75,0
San Vendemiano,2007,1,2,9.92,1.44,3.4
San Vendemiano,2007,1,3,11.43,-0.62,0
San Vendemiano,2007,1,4,7.82,-0.73,0
San Vendemiano,2007,1,5,10.21,-0.06,0
San Vendemiano,2007,1,6,10.48,0.89,0
San Vendemiano,2007,1,7,9.31,1.94,0
San Vendemiano,2007,1,8,9.7,2.9,1.9
San Vendemiano,2007,1,9,10.59,2.75,0
San Vendemiano,2007,1,10,9.7,3.16,0
San Vendemiano,2007,1,11,11.28,4.01,0
San Vendemiano,2007,1,12,11.68,2.24,0
San Vendemiano,2007,1,13,9,2.39,0
San Vendemiano,2007,1,14,9.69,1.79,0
San Vendemiano,2007,1,15,9.39,1.78,0
San Vendemiano,2007,1,16,7.78,0.29,0
San Vendemiano,2007,1,17,9.55,3.01,0
San Vendemiano,2007,1,18,11.55,2.22,0
San Vendemiano,2007,1,19,15.52,2.1,0
San Vendemiano,2007,1,20,12.53,3.26,0
San Vendemiano,2007,1,21,9.19,4.19,0
San Vendemiano,2007,1,22,8.51,5.32,0
San Vendemiano,2007,1,23,9.4,5.29,40.3
San Vendemiano,2007,1,24,9.84,2.8,12.1
San Vendemiano,2007,1,25,4.27,-0.38,0
San Vendemiano,2007,1,26,4.31,-2.18,0
San Vendemiano,2007,1,27,8.1,-2.87,0
San Vendemiano,2007,1,28,8.7,-1.49,0
San Vendemiano,2007,1,29,10.8,-0.17,0
San Vendemiano,2007,1,30,10.23,-0.53,0
San Vendemiano,2007,1,31,8.31,-0.65,0
San Vendemiano,2007,2,1,9.58,0.09,0
San Vendemiano,2007,2,2,11.83,-0.08,0
San Vendemiano,2007,2,3,10.73,-1.17,0
San Vendemiano,2007,2,4,10.99,-2.37,0
San Vendemiano,2007,2,5,10.55,-4,0
San Vendemiano,2007,2,6,8.15,-1.21,7.6
San Vendemiano,2007,2,7,8.11,3.81,2.8
San Vendemiano,2007,2,8,11.02,4.55,5.2
San Vendemiano,2007,2,9,12.23,5.24,2.4
San Vendemiano,2007,2,10,12.43,4.46,0
San Vendemiano,2007,2,11,12.71,1.46,0
San Vendemiano,2007,2,12,11.58,1.59,18.1
San Vendemiano,2007,2,13,15.49,3.82,5.5
San Vendemiano,2007,2,14,13.69,0.47,0
San Vendemiano,2007,2,15,13.94,2.41,0
San Vendemiano,2007,2,16,13.2,-0.93,0
San Vendemiano,2007,2,17,13.29,-0.21,0
San Vendemiano,2007,2,18,11.69,-0.24,0
San Vendemiano,2007,2,19,13.91,-0.97,0
San Vendemiano,2007,2,20,14.21,-1.18,0
San Vendemiano,2007,2,21,14.52,5.14,0
San Vendemiano,2007,2,22,13.5,5.34,0
San Vendemiano,2007,2,23,13.23,4.29,0
San Vendemiano,2007,2,24,12.4,4.53,1.6
San Vendemiano,2007,2,25,12.91,5.23,8.3
San Vendemiano,2007,2,26,15.5,3.72,0
San Vendemiano,2007,2,27,16.12,1.36,0
San Vendemiano,2007,2,28,14.52,2.13,0
San Vendemiano,2007,3,1,17.08,3.5,0
San Vendemiano,2007,3,2,18.48,5.44,0
San Vendemiano,2007,3,3,18.07,5.45,0
San Vendemiano,2007,3,4,19.11,4.77,0
San Vendemiano,2007,3,5,18.6,4.26,0
San Vendemiano,2007,3,6,15.02,7.78,0
San Vendemiano,2007,3,7,13.63,7.47,10.2
San Vendemiano,2007,3,8,15.31,7.13,3.9
San Vendemiano,2007,3,9,18.08,5.75,0
San Vendemiano,2007,3,10,18.16,4.22,0
San Vendemiano,2007,3,11,18.12,3.59,0
San Vendemiano,2007,3,12,18.37,1.4,0
San Vendemiano,2007,3,13,20.56,2.38,0
San Vendemiano,2007,3,14,21.76,3.86,0
San Vendemiano,2007,3,15,19.27,4.39,0
San Vendemiano,2007,3,16,19.45,3.57,0
San Vendemiano,2007,3,17,19.76,4.75,0
San Vendemiano,2007,3,18,17.75,4.92,0
San Vendemiano,2007,3,19,15.58,2.2,13.1
San Vendemiano,2007,3,20,11.27,0.97,9.9
San Vendemiano,2007,3,21,13.29,0.85,0
San Vendemiano,2007,3,22,14.73,-0.81,0
San Vendemiano,2007,3,23,14.92,0.84,0
San Vendemiano,2007,3,24,10.79,2.08,0
San Vendemiano,2007,3,25,12.62,6.26,11
San Vendemiano,2007,3,26,15.4,6.69,4.8
San Vendemiano,2007,3,27,13.54,6.03,0
San Vendemiano,2007,3,28,14.98,3.18,0
