site,year,month,day,tmax,tmin,prec
Atripalda,2007,1,1,13.95,9.41,0
Atripalda,2007,1,2,13.74,7.01,7.8
Atripalda,2007,1,3,8.99,3.91,0
Atripalda,2007,1,4,11.12,3.21,0
Atripalda,2007,1,5,12,7.19,2.2
Atripalda,2007,1,6,13.45,6.98,0
Atripalda,2007,1,7,11.51,6.67,0
Atripalda,2007,1,8,12.89,7.92,2.6
Atripalda,2007,1,9,15.13,7.44,0
Atripalda,2007,1,10,15.42,6.55,0
Atripalda,2007,1,11,13.07,8.1,0
Atripalda,2007,1,12,16.05,9.51,0
Atripalda,2007,1,13,17.97,7.53,0
Atripalda,2007,1,14,16.18,7.55,0
Atripalda,2007,1,15,14.56,6.84,0
Atripalda,2007,1,16,12.89,6,0
Atripalda,2007,1,17,14.38,9.69,0
Atripalda,2007,1,18,15.96,10.59,0
Atripalda,2007,1,19,15.68,11.2,0
Atripalda,2007,1,20,18.02,10.18,0
Atripalda,2007,1,21,16.01,11.12,0
Atripalda,2007,1,22,17.38,10.09,0
Atripalda,2007,1,23,13.51,8.89,7.7
Atripalda,2007,1,24,10.17,6.37,14.5
Atripalda,2007,1,25,9.9,4.39,6.6
Atripalda,2007,1,26,9.48,4.15,0
Atripalda,2007,1,27,10.14,3.19,0
Atripalda,2007,1,28,10.41,1.21,0
Atripalda,2007,1,29,11.11,3.99,0
Atripalda,2007,1,30,14.31,5.14,0
Atripalda,2007,1,31,15.27,5.44,0
Atripalda,2007,2,1,13.65,6.05,0
Atripalda,2007,2,2,12.94,5.51,0
Atripalda,2007,2,3,12.92,4.46,0
Atripalda,2007,2,4,11.05,4.23,0
Atripalda,2007,2,5,12.01,2.35,0
Atripalda,2007,2,6,12.01,3.47,0
Atripalda,2007,2,7,14.06,6.8,5.9
Atripalda,2007,2,8,14.11,8.11,4.9
Atripalda,2007,2,9,12.57,8.77,10.9
Atripalda,2007,2,10,12.86,9.25,10.4
Atripalda,2007,2,11,14.67,9.35,2.7
Atripalda,2007,2,12,13.85,7.57,7.6
Atripalda,2007,2,13,13.72,7.85,9.7
Atripalda,2007,2,14,15.34,5.52,0
Atripalda,2007,2,15,13.85,7.2,14
Atripalda,2007,2,16,14.2,6.91,0
Atripalda,2007,2,17,14.34,5.89,0
Atripalda,2007,2,18,12.61,5.23,5.6
Atripalda,2007,2,19,14.76,8.65,6.3
Atripalda,2007,2,20,13.27,10.22,5.5
Atripalda,2007,2,21,15.25,8.26,2.3
Atripalda,2007,2,22,15.2,7.62,0
Atripalda,2007,2,23,15.6,7.52,0
Atripalda,2007,2,24,15.82,7.18,0
Atripalda,2007,2,25,15.04,7.36,0.6
Atripalda,2007,2,26,14.95,7.63,6.9
Atripalda,2007,2,27,14.69,5.25,0
Atripalda,2007,2,28,14.1,5.78,0
Atripalda,2007,3,1,16.08,11.66,0
Atripalda,2007,3,2,15.09,11.44,0
Atripalda,2007,3,3,15.72,9.94,0
Atripalda,2007,3,4,18.72,10.08,0
Atripalda,2007,3,5,17.73,8.13,0
Atripalda,2007,3,6,18.36,8.31,0
Atripalda,2007,3,7,13.76,8.88,7.9
Atripalda,2007,3,8,16.2,8.29,4.8
Atripalda,2007,3,9,16.16,9.47,0
Atripalda,2007,3,10,11.83,9.31,0
Atripalda,2007,3,11,13.96,10.31,0
Atripalda,2007,3,12,16.16,9.2,0
Atripalda,2007,3,13,16.79,7.77,0
Atripalda,2007,3,14,17.23,8.71,0
Atripalda,2007,3,15,18,8.64,0
Atripalda,2007,3,16,17.62,8.54,0
Atripalda,2007,3,17,17.1,7.99,0
Atripalda,2007,3,18,17.25,8.27,0
Atripalda,2007,3,19,13.32,8.3,9.1
Atripalda,2007,3,20,11.47,4.26,17.5
Atripalda,2007,3,21,7.88,2.8,9.5
Atripalda,2007,3,22,10.09,4.15,7.6
Atripalda,2007,3,23,12.13,3.18,0
Atripalda,2007,3,24,10.31,4.58,11.8
Atripalda,2007,3,25,12.91,5.68,14.5
Atripalda,2007,3,26,14.39,5.83,0
Atripalda,2007,3,27,13.24,7.55,6
Atripalda,2007,3,28,14.26,6.5,0
Atripalda,2007,3,29,14.49,10.18,0
Atripalda,2007,3,30,14.36,8.1,3.6
Atripalda,2007,3,31,15.85,7.08,0
Atripalda,2007,4,1,17.59,6.97,0
Atripalda,2007,4,2,18.37,9.64,0
Atripalda,2007,4,3,16.69,9.1,2.7
Atripalda,2007,4,4,12.17,8.92,12.3
Atripalda,2007,4,5,14.87,8.84,0
Atripalda,2007,4,6,17.68,8.14,0
Atripalda,2007,4,7,17,9.07,0
Atripalda,2007,4,8,17.27,9.28,0
Atripalda,2007,4,9,18.18,9.04,0
Atripalda,2007,4,10,18.61,8.75,0
Atripalda,2007,4,11,20.47,11.39,0
Atripalda,2007,4,12,22.5,11.76,0
Atripalda,2007,4,13,22.85,11.83,0
Atripalda,2007,4,14,17.72,11.85,3
Atripalda,2007,4,15,21.21,12.63,0
Atripalda,2007,4,16,21.24,12.99,0
Atripalda,2007,4,17,19.63,10.83,0
Atripalda,2007,4,18,17.93,9.3,0
Atripalda,2007,4,19,21.88,10.45,0
Atripalda,2007,4,20,22.01,11.41,0
Atripalda,2007,4,21,23.93,11.61,0
Atripalda,2007,4,22,23.04,13.34,0
Atripalda,2007,4,23,23.1,13.19,0
Atripalda,2007,4,24,22.38,13.66,0
Atripalda,2007,4,25,22.02,13.34,3.6
Atripalda,2007,4,26,19.59,11.73,0
Atripalda,2007,4,27,19.52,12.82,0
Atripalda,2007,4,28,20.26,11.53,0
Atripalda,2007,4,29,20.61,12.2,0
Atripalda,2007,4,30,18.17,12.61,2.9
Atripalda,2007,5,1,18.74,11.79,10
Atripalda,2007,5,2,20.31,12.63,3.7
Atripalda,2007,5,3,19.19,13.1,17
Atripalda,2007,5,4,21.9,13.63,6.3
Atripalda,2007,5,5,19.73,13.02,0
Atripalda,2007,5,6,19.27,12.32,0
Atripalda,2007,5,7,18.88,11.97,0
Atripalda,2007,5,8,21.33,11.4,0
Atripalda,2007,5,9,21.35,13.45,0
Atripalda,2007,5,10,23.6,14,0
Atripalda,2007,5,11,23.55,13.95,0
Atripalda,2007,5,12,23.01,15.02,0
Atripalda,2007,5,13,25.82,15.51,0
Atripalda,2007,5,14,25.97,15.31,0
Atripalda,2007,5,15,24.28,14.98,0
Atripalda,2007,5,16,19.51,12.75,0
Atripalda,2007,5,17,18.91,11.38,7.8
Atripalda,2007,5,18,19.54,11.84,4.6
Atripalda,2007,5,19,20.52,12.21,0
Atripalda,2007,5,20,21.74,12.21,0
Atripalda,2007,5,21,23.93,13.66,0
Atripalda,2007,5,22,25.79,15.65,0
Atripalda,2007,5,23,26.16,17.48,0
Atripalda,2007,5,24,27.09,17.41,0
Atripalda,2007,5,25,26.47,17.25,0
Atripalda,2007,5,26,26.22,17.41,0
Atripalda,2007,5,27,25.19,16.75,3.3
Atripalda,2007,5,28,21.76,13.67,12
Atripalda,2007,5,29,16.03,11.24,9.1
Atripalda,2007,5,30,16.33,10.74,3.4
Atripalda,2007,5,31,20.47,11.52,0
Atripalda,2007,6,1,21.97,12.57,0
Atripalda,2007,6,2,21.8,13.26,0
Atripalda,2007,6,3,19.59,14.03,8
Atripalda,2007,6,4,23.15,14.1,3.5
Atripalda,2007,6,5,22.63,14.83,0
Atripalda,2007,6,6,23.48,14.18,0
Atripalda,2007,6,7,25.93,13.43,0
Atripalda,2007,6,8,23.42,14.95,6
Atripalda,2007,6,9,24.57,14.11,0
Atripalda,2007,6,10,25.25,16.09,0
Atripalda,2007,6,11,25.06,16.46,0
Atripalda,2007,6,12,24.45,16.95,0
Atripalda,2007,6,13,25.79,16.81,0
Atripalda,2007,6,14,25.96,16.85,0
Atripalda,2007,6,15,26.24,17.92,0
Atripalda,2007,6,16,26.54,18.7,0
Atripalda,2007,6,17,25.94,18.17,0
Atripalda,2007,6,18,29.29,17.53,0
Atripalda,2007,6,19,32.11,19.58,0
Atripalda,2007,6,20,31.97,20.11,0
Atripalda,2007,6,21,29.78,19.09,0
Atripalda,2007,6,22,31.43,19.04,0
Atripalda,2007,6,23,30.77,20.64,0
Atripalda,2007,6,24,32.84,20.33,0
Atripalda,2007,6,25,34.98,22.85,0
Atripalda,2007,6,26,33.82,21.65,0
Atripalda,2007,6,27,25.6,18.05,0
Atripalda,2007,6,28,25.43,16.53,0
Atripalda,2007,6,29,26.68,15.39,0
Atripalda,2007,6,30,27.62,15.92,0
Atripalda,2007,7,1,27.55,17.45,0
Atripalda,2007,7,2,28.67,17.45,0
Atripalda,2007,7,3,27.13,18.51,0
Atripalda,2007,7,4,26.53,17.58,0
Atripalda,2007,7,5,26.1,15.61,0
Atripalda,2007,7,6,26.12,15.57,0
Atripalda,2007,7,7,27.67,15.95,0
Atripalda,2007,7,8,28.62,16.85,0
Atripalda,2007,7,9,28.76,17.28,0
Atripalda,2007,7,10,27.81,17.75,0
Atripalda,2007,7,11,24.44,16.13,0
Atripalda,2007,7,12,25.3,14.75,0
Atripalda,2007,7,13,27.76,16.37,0
Atripalda,2007,7,14,29.28,17.04,0
Atripalda,2007,7,15,31.49,18.94,0
Atripalda,2007,7,16,30.93,19.42,0
Atripalda,2007,7,17,32.34,21.68,0
Atripalda,2007,7,18,33.7,21.46,0
Atripalda,2007,7,19,33.49,22.41,0
Atripalda,2007,7,20,34.26,21.36,0
Atripalda,2007,7,21,33.39,21.84,0
Atripalda,2007,7,22,34.41,22.51,0
Atripalda,2007,7,23,34.76,23.65,0
Atripalda,2007,7,24,35.57,23.08,0
Atripalda,2007,7,25,31.92,21.03,0
Atripalda,2007,7,26,30.65,20.58,0
Atripalda,2007,7,27,31.13,21.32,0
Atripalda,2007,7,28,31.71,21.61,0
Atripalda,2007,7,29,30.83,20.69,0
Atripalda,2007,7,30,29.35,18.9,0
Atripalda,2007,7,31,28.89,20.35,0
Atripalda,2007,8,1,28.65,18.65,0
Atripalda,2007,8,2,29.74,18.88,0
Atripalda,2007,8,3,30.35,19.21,0
Atripalda,2007,8,4,29.16,19.47,0
Atripalda,2007,8,5,28.4,18.76,0
Atripalda,2007,8,6,28.52,16.91,0
Atripalda,2007,8,7,27.84,17.77,0
Atripalda,2007,8,8,30.12,18.74,0
Atripalda,2007,8,9,28.22,18.67,0
Atripalda,2007,8,10,26.32,15.78,4.8
Atripalda,2007,8,11,24.56,15.81,0
Atripalda,2007,8,12,26.61,17.02,0
Atripalda,2007,8,13,28.03,17.26,0
Atripalda,2007,8,14,29.75,18.49,0
Atripalda,2007,8,15,29.42,18.83,0
Atripalda,2007,8,16,30.04,18.88,0
Atripalda,2007,8,17,30.64,19.41,0
Atripalda,2007,8,18,29.66,19.13,0
Atripalda,2007,8,19,28.01,17.48,0
Atripalda,2007,8,20,28.39,17.25,0
Atripalda,2007,8,21,30.9,18.84,0
Atripalda,2007,8,22,33.71,20.93,0
Atripalda,2007,8,23,33.84,23.46,0
Atripalda,2007,8,24,33.77,22.14,0
Atripalda,2007,8,25,33.69,22.73,0
Atripalda,2007,8,26,34,23.52,0
Atripalda,2007,8,27,32.99,21.37,0
Atripalda,2007,8,28,31.91,20.11,0
Atripalda,2007,8,29,32.15,20.3,0
Atripalda,2007,8,30,33.58,22.52,0
Atripalda,2007,8,31,30.54,20.25,0
Atripalda,2007,9,1,26.96,18.88,0
Atripalda,2007,9,2,27.93,18.66,0
Atripalda,2007,9,3,27.06,17.65,0
Atripalda,2007,9,4,26.05,15.78,10.4
Atripalda,2007,9,5,21.73,11.82,7.7
Atripalda,2007,9,6,20.51,9.58,0
Atripalda,2007,9,7,20.94,10.18,2.1
Atripalda,2007,9,8,24.12,13.24,0
Atripalda,2007,9,9,25.02,14.89,0
Atripalda,2007,9,10,25.65,15.19,0
Atripalda,2007,9,11,26.03,15.22,0
Atripalda,2007,9,12,25.6,16.34,0
Atripalda,2007,9,13,25.52,13.88,0
Atripalda,2007,9,14,25.79,15.02,0
Atripalda,2007,9,15,28.31,16.21,0
Atripalda,2007,9,16,27.83,17.08,0
Atripalda,2007,9,17,28.1,18.22,0
Atripalda,2007,9,18,28.46,19.33,0
Atripalda,2007,9,19,25.25,17.51,0
Atripalda,2007,9,20,23.66,15.13,0
Atripalda,2007,9,21,24.18,12.91,0
Atripalda,2007,9,22,24.92,12.22,0
Atripalda,2007,9,23,25.2,14.08,0
Atripalda,2007,9,24,24.38,14.13,0
Atripalda,2007,9,25,22.13,14.27,5.2
Atripalda,2007,9,26,23.23,14.18,6
Atripalda,2007,9,27,20.81,13.1,10.2
Atripalda,2007,9,28,21.63,13.85,0
Atripalda,2007,9,29,20.96,11.82,0
Atripalda,2007,9,30,24.82,12.89,0
Atripalda,2007,10,1,25.82,14.06,0
Atripalda,2007,10,2,26.72,14.29,0
Atripalda,2007,10,3,26.16,14.4,0
Atripalda,2007,10,4,26.87,15.03,0
Atripalda,2007,10,5,26.56,16.44,0
Atripalda,2007,10,6,26.75,15.98,10.4
Atripalda,2007,10,7,22.64,15.39,27.7
Atripalda,2007,10,8,23.82,16.19,0
Atripalda,2007,10,9,22.56,14.6,0
Atripalda,2007,10,10,19.38,15.38,4.2
Atripalda,2007,10,11,21.66,14.19,0
Atripalda,2007,10,12,21.47,12.41,0
Atripalda,2007,10,13,22.86,13.06,0
Atripalda,2007,10,14,20.22,10.84,0
Atripalda,2007,10,15,21.28,8.62,0
Atripalda,2007,10,16,20.97,10.14,0
Atripalda,2007,10,17,22.08,11.54,0
Atripalda,2007,10,18,20.76,12.76,0
Atripalda,2007,10,19,17.19,10.49,0
Atripalda,2007,10,20,13.86,7.96,0
Atripalda,2007,10,21,10.99,7.3,0
Atripalda,2007,10,22,10.83,7.37,0
Atripalda,2007,10,23,14.81,5.9,2.8
Atripalda,2007,10,24,15.93,8.07,2.6
Atripalda,2007,10,25,17.53,8.48,5.8
Atripalda,2007,10,26,22.53,13.73,0
Atripalda,2007,10,27,22.61,13.03,0
Atripalda,2007,10,28,21.16,13.12,0
Atripalda,2007,10,29,20.69,11.65,0
Atripalda,2007,10,30,20.45,13.16,0
Atripalda,2007,10,31,19.89,14.66,12.4
Atripalda,2007,11,1,16.4,12.3,7.2
Atripalda,2007,11,2,17.85,11.19,0
Atripalda,2007,11,3,20.41,10.98,0
Atripalda,2007,11,4,19.73,8.81,0
Atripalda,2007,11,5,18.69,8.75,0
Atripalda,2007,11,6,14.65,5.98,0
Atripalda,2007,11,7,15.41,6.74,0
Atripalda,2007,11,8,16.46,5.86,0
Atripalda,2007,11,9,15.39,6.9,4.4
Atripalda,2007,11,10,14.34,5.07,0
Atripalda,2007,11,11,15.17,7.34,0
Atripalda,2007,11,12,16.94,8.29,3.1
Atripalda,2007,11,13,14.26,6.52,0
Atripalda,2007,11,14,11.22,5.44,17.2
Atripalda,2007,11,15,11.83,5.38,0
Atripalda,2007,11,16,9.17,5.48,6
