site,year,month,day,tmax,tmin,prec
Calosso,2007,1,1,9.7,3.42,0
Calosso,2007,1,2,12.09,3.32,0
Calosso,2007,1,3,12.59,1.98,0
Calosso,2007,1,4,9.43,1.07,0
Calosso,2007,1,5,10.88,0.36,0
Calosso,2007,1,6,10.33,0.71,0
Calosso,2007,1,7,10.59,3.83,0
Calosso,2007,1,8,9.63,4.15,0
Calosso,2007,1,9,11.72,4.47,0
Calosso,2007,1,10,9.94,5.15,0
Calosso,2007,1,11,13.01,3.36,0
Calosso,2007,1,12,16.69,3.52,0
Calosso,2007,1,13,11.97,3.1,0
Calosso,2007,1,14,10.89,3.16,0
Calosso,2007,1,15,10.11,3.34,0
Calosso,2007,1,16,8.68,3.36,0
Calosso,2007,1,17,8.23,4.31,0
Calosso,2007,1,18,9.57,3,0
Calosso,2007,1,19,21.17,4.2,0
Calosso,2007,1,20,15.68,4.9,0
Calosso,2007,1,21,11.5,5.75,0
Calosso,2007,1,22,9.99,6.4,0
Calosso,2007,1,23,9.3,6.27,17.1
Calosso,2007,1,24,7.38,1.02,5.6
Calosso,2007,1,25,4.71,0.07,0
Calosso,2007,1,26,4.41,-2.22,0
Calosso,2007,1,27,9.9,-3.58,0
Calosso,2007,1,28,11.93,-0.69,0
Calosso,2007,1,29,12.95,-0.14,0
Calosso,2007,1,30,9.74,-0.72,0
Calosso,2007,1,31,8.51,-0.44,0
Calosso,2007,2,1,11.73,0.15,0
Calosso,2007,2,2,11.73,2.01,0
Calosso,2007,2,3,15.02,1.04,0
Calosso,2007,2,4,10.84,0.51,0
Calosso,2007,2,5,10.99,-0.72,0
Calosso,2007,2,6,10.02,1.86,0
Calosso,2007,2,7,9.19,3.22,0
Calosso,2007,2,8,9.37,3.97,0
Calosso,2007,2,9,12.84,3.78,0
Calosso,2007,2,10,11.15,2.76,0
Calosso,2007,2,11,13.84,1.26,0
Calosso,2007,2,12,10.66,3.97,4.4
Calosso,2007,2,13,17.1,3.27,0
Calosso,2007,2,14,10.78,2.25,2.9
Calosso,2007,2,15,16.47,4.93,0
Calosso,2007,2,16,15.21,1.65,0
Calosso,2007,2,17,12.65,3.01,0
Calosso,2007,2,18,9.08,2.85,0
Calosso,2007,2,19,11.6,-0.09,0
Calosso,2007,2,20,14.25,0.25,0
Calosso,2007,2,21,11.99,2.8,0
Calosso,2007,2,22,14.03,4.71,0
Calosso,2007,2,23,14.28,3.35,0
Calosso,2007,2,24,12.61,4.07,0
Calosso,2007,2,25,11.2,6.11,0
Calosso,2007,2,26,15.96,4.11,0
Calosso,2007,2,27,18.76,4.47,0
Calosso,2007,2,28,16.86,5.06,0
Calosso,2007,3,1,13.9,4.66,0
Calosso,2007,3,2,20.61,7.88,0
Calosso,2007,3,3,19.53,8.06,0
Calosso,2007,3,4,20.12,6.5,0
Calosso,2007,3,5,17.49,6.15,0
Calosso,2007,3,6,13.59,6.67,7.2
Calosso,2007,3,7,12.87,8.31,4.7
Calosso,2007,3,8,19.06,7.94,0
Calosso,2007,3,9,19.72,6.38,0
Calosso,2007,3,10,17.87,8.27,0
Calosso,2007,3,11,15.03,4.11,0
Calosso,2007,3,12,17.92,3.43,0
Calosso,2007,3,13,21.37,3.93,0
Calosso,2007,3,14,21.85,5.54,0
Calosso,2007,3,15,21.04,7.19,0
Calosso,2007,3,16,20.73,6.6,0
Calosso,2007,3,17,20.93,5.6,0
Calosso,2007,3,18,17.91,6.57,0
Calosso,2007,3,19,15.41,6.38,0
Calosso,2007,3,20,9.74,2.71,0
Calosso,2007,3,21,14.11,3.59,0
Calosso,2007,3,22,13.46,1.21,0
Calosso,2007,3,23,12.62,1.79,0
Calosso,2007,3,24,13.77,1.5,0
Calosso,2007,3,25,9.55,4.33,7.1
Calosso,2007,3,26,12.09,5.35,0
Calosso,2007,3,27,13.88,6.22,0
Calosso,2007,3,28,15.76,4.8,0
Calosso,2007,3,29,15.65,5.11,0
Calosso,2007,3,30,13.9,5.57,0
Calosso,2007,3,31,12.46,4.76,4.2
Calosso,2007,4,1,12.89,7.1,4.3
Calosso,2007,4,2,17.92,6.74,0
Calosso,2007,4,3,19.63,6.92,0
Calosso,2007,4,4,15.38,8.29,0
Calosso,2007,4,5,19.67,8.25,0
