site,year,month,day,tmax,tmin,prec
Faenza,2007,1,1,13.83,3.28,0
Faenza,2007,1,2,13.36,5.47,1.3
Faenza,2007,1,3,12.58,2.15,0
Faenza,2007,1,4,12.26,0.71,0
Faenza,2007,1,5,11.23,2.79,0
Faenza,2007,1,6,11.27,0.64,0
Faenza,2007,1,7,11.22,2.97,0
Faenza,2007,1,8,11.21,4.92,0
Faenza,2007,1,9,10.86,4.39,0
Faenza,2007,1,10,10.29,2.6,0
Faenza,2007,1,11,12.7,4.49,0
Faenza,2007,1,12,15.3,4.61,0
Faenza,2007,1,13,11.18,0.93,0
Faenza,2007,1,14,8.72,0.22,0
Faenza,2007,1,15,9.86,3.64,0
Faenza,2007,1,16,7.08,1.36,0
Faenza,2007,1,17,6.5,3.21,0
Faenza,2007,1,18,11.86,4.8,0
Faenza,2007,1,19,17.92,8.19,0
Faenza,2007,1,20,14.2,4.18,0
Faenza,2007,1,21,14.55,3.92,0
Faenza,2007,1,22,15.29,5.18,0
Faenza,2007,1,23,16.96,8.1,1.6
Faenza,2007,1,24,13.42,4.03,2.9
Faenza,2007,1,25,8.74,2.88,7.3
Faenza,2007,1,26,6.65,0.89,0
Faenza,2007,1,27,7.08,-1.19,0
Faenza,2007,1,28,12.14,0.21,0
Faenza,2007,1,29,13.69,2.04,0
Faenza,2007,1,30,12.64,0.61,0
Faenza,2007,1,31,11.39,0.1,0
Faenza,2007,2,1,10.04,-1.83,0
Faenza,2007,2,2,7.08,-0.15,0
Faenza,2007,2,3,9.71,-0.42,0
Faenza,2007,2,4,11.55,-0.35,0
Faenza,2007,2,5,11.02,1.79,0
Faenza,2007,2,6,14.08,1.29,0
Faenza,2007,2,7,10.9,4.8,0
Faenza,2007,2,8,11.26,5.08,0
Faenza,2007,2,9,12.43,6.6,1.1
Faenza,2007,2,10,8.31,6.87,1.3
Faenza,2007,2,11,12.27,5.66,0
Faenza,2007,2,12,13.88,5.68,12.1
Faenza,2007,2,13,15.73,6.07,3.7
Faenza,2007,2,14,16.37,4.58,0
Faenza,2007,2,15,12.74,5.85,7
Faenza,2007,2,16,11.35,2.06,0
Faenza,2007,2,17,12.87,0.86,0
Faenza,2007,2,18,10,2.13,0
Faenza,2007,2,19,10.08,4.44,0
Faenza,2007,2,20,10.46,5.02,0
Faenza,2007,2,21,12.65,5.92,0
Faenza,2007,2,22,13.88,6.58,0
Faenza,2007,2,23,13.61,3.91,0
Faenza,2007,2,24,14.12,6.2,0
Faenza,2007,2,25,15.02,7.4,0.8
Faenza,2007,2,26,14.96,5.96,0
Faenza,2007,2,27,16.63,2.81,0
Faenza,2007,2,28,17.34,6.41,0
Faenza,2007,3,1,16.8,8.99,0
Faenza,2007,3,2,18.31,13.63,0
Faenza,2007,3,3,18.29,13.29,0
Faenza,2007,3,4,17.89,8.2,0
Faenza,2007,3,5,18.12,6.19,0
Faenza,2007,3,6,16.98,8,0
Faenza,2007,3,7,16.71,9.21,1.1
Faenza,2007,3,8,14.11,8.21,1.5
Faenza,2007,3,9,13.59,7.41,1.8
Faenza,2007,3,10,15.01,3.91,0
Faenza,2007,3,11,13.47,4.32,0
Faenza,2007,3,12,13.35,1.93,0
Faenza,2007,3,13,16.66,3.35,0
Faenza,2007,3,14,18.57,4.59,0
Faenza,2007,3,15,19.6,4.91,0
Faenza,2007,3,16,19.55,5.39,0
Faenza,2007,3,17,21.06,6.72,0
Faenza,2007,3,18,21.34,11.31,0
Faenza,2007,3,19,17.32,8.47,0
Faenza,2007,3,20,10.17,1.11,11.6
Faenza,2007,3,21,8.3,1.18,15.8
Faenza,2007,3,22,9.9,1.01,0
Faenza,2007,3,23,11.09,-0.37,0
Faenza,2007,3,24,13.02,1.67,4.2
Faenza,2007,3,25,9.9,4.12,29.2
Faenza,2007,3,26,7.94,5.76,23
Faenza,2007,3,27,8.8,6.39,21.3
Faenza,2007,3,28,10.24,5.12,0
Faenza,2007,3,29,10.46,3.01,6
Faenza,2007,3,30,8.95,6.17,12.1
Faenza,2007,3,31,13.82,3.34,0
Faenza,2007,4,1,15.5,8.06,0
Faenza,2007,4,2,16.75,6.25,0
Faenza,2007,4,3,17.82,6.25,0
Faenza,2007,4,4,14.78,6.14,13.2
Faenza,2007,4,5,14.93,6.41,0
Faenza,2007,4,6,17.28,3.03,0
Faenza,2007,4,7,20.45,5.06,0
Faenza,2007,4,8,20.5,8.27,0
Faenza,2007,4,9,21.27,7.54,0
Faenza,2007,4,10,22.29,9.54,0
Faenza,2007,4,11,23.27,8.33,0
Faenza,2007,4,12,23.08,8.37,0
Faenza,2007,4,13,22.7,8.29,0
Faenza,2007,4,14,21.8,6.98,0
Faenza,2007,4,15,22.91,8.03,0
Faenza,2007,4,16,23.73,7.73,0
Faenza,2007,4,17,23.19,6.81,0
