site,year,month,day,tmax,tmin,prec
Lugo,2007,1,1,6,0.48,0
Lugo,2007,1,2,8.54,2.11,1.9
Lugo,2007,1,3,11.82,-0.75,0
Lugo,2007,1,4,7.78,-1.56,0
Lugo,2007,1,5,8.33,0.24,0
Lugo,2007,1,6,7.73,-1.51,0
Lugo,2007,1,7,9.78,-1.89,0
Lugo,2007,1,8,8.59,3.55,0
Lugo,2007,1,9,9.33,2.08,0
Lugo,2007,1,10,8.13,4.35,0
Lugo,2007,1,11,7.28,3.43,0
Lugo,2007,1,12,9.67,0,0
Lugo,2007,1,13,6.04,3.72,0
Lugo,2007,1,14,6.38,3.67,0
Lugo,2007,1,15,6.14,5.07,0
Lugo,2007,1,16,5.53,4.02,0
Lugo,2007,1,17,7.29,5.23,0
Lugo,2007,1,18,7.2,4.84,0
Lugo,2007,1,19,15.23,1.38,0
Lugo,2007,1,20,8.49,2.56,0
Lugo,2007,1,21,8.05,5.16,0
Lugo,2007,1,22,8.55,5.24,0
Lugo,2007,1,23,17.59,6.5,1.6
Lugo,2007,1,24,10.93,1.26,0
Lugo,2007,1,25,10.11,1.56,9.8
Lugo,2007,1,26,5.04,1.97,0
Lugo,2007,1,27,7.8,-1.45,0
Lugo,2007,1,28,10.97,-4,0
Lugo,2007,1,29,12.51,-1.44,0
Lugo,2007,1,30,10.78,-1.77,0
Lugo,2007,1,31,9.48,-3.28,0
Lugo,2007,2,1,4.73,-0.65,0
Lugo,2007,2,2,5.54,2.4,0
Lugo,2007,2,3,10.13,-1.22,0
Lugo,2007,2,4,9.76,-1.71,0
Lugo,2007,2,5,12.16,-4.23,0
Lugo,2007,2,6,13.96,-2.62,0
Lugo,2007,2,7,8.24,4.38,1.5
Lugo,2007,2,8,8.31,3.73,0
Lugo,2007,2,9,8.63,6.67,1.6
Lugo,2007,2,10,9.04,7.78,0
Lugo,2007,2,11,13.17,2.64,0
Lugo,2007,2,12,10.01,2.06,6.7
Lugo,2007,2,13,14.72,2.24,4.8
Lugo,2007,2,14,12.66,-0.91,0
Lugo,2007,2,15,11.39,1.29,9.7
Lugo,2007,2,16,12.84,-0.51,0
Lugo,2007,2,17,12.13,-0.41,0
Lugo,2007,2,18,10.82,0.46,0
Lugo,2007,2,19,12.04,0.6,0
Lugo,2007,2,20,11.79,2.6,0
Lugo,2007,2,21,14.59,5.81,0
Lugo,2007,2,22,15.06,5.42,0
Lugo,2007,2,23,13.74,1.84,0
Lugo,2007,2,24,14.34,3.79,0
Lugo,2007,2,25,15.25,7.36,0.7
Lugo,2007,2,26,14.06,1.81,0
