site,year,month,day,tmax,tmin,prec
Ronco all'Adige,2007,1,1,6.02,3.42,0
Ronco all'Adige,2007,1,2,8.25,2.67,2.1
Ronco all'Adige,2007,1,3,10.76,0.62,0
Ronco all'Adige,2007,1,4,7.14,1.36,0
Ronco all'Adige,2007,1,5,9.61,0.3,0
Ronco all'Adige,2007,1,6,10.29,1.23,0
Ronco all'Adige,2007,1,7,8.53,4.37,0
Ronco all'Adige,2007,1,8,8.62,5.04,0.8
Ronco all'Adige,2007,1,9,9.71,4.2,0
Ronco all'Adige,2007,1,10,8.52,4.47,0
Ronco all'Adige,2007,1,11,9.37,5.87,0
Ronco all'Adige,2007,1,12,9.48,4.38,0
Ronco all'Adige,2007,1,13,7.82,4.72,0
Ronco all'Adige,2007,1,14,7.4,3.57,0
Ronco all'Adige,2007,1,15,8.62,2.69,0
Ronco all'Adige,2007,1,16,5.05,2.1,0
Ronco all'Adige,2007,1,17,7.76,4,0
Ronco all'Adige,2007,1,18,7.08,3.64,0
Ronco all'Adige,2007,1,19,13.64,2.96,0
Ronco all'Adige,2007,1,20,9.51,2.24,0
Ronco all'Adige,2007,1,21,8.93,5.38,0
Ronco all'Adige,2007,1,22,9.6,7.88,0
Ronco all'Adige,2007,1,23,13.44,7.42,18.2
Ronco all'Adige,2007,1,24,8.26,2.94,0
Ronco all'Adige,2007,1,25,3.84,0.74,2.5
Ronco all'Adige,2007,1,26,4.2,-0.57,0
Ronco all'Adige,2007,1,27,6.76,-1.59,0
Ronco all'Adige,2007,1,28,8.79,-2.23,0
Ronco all'Adige,2007,1,29,11.95,0.3,0
Ronco all'Adige,2007,1,30,9.75,-0.14,0
Ronco all'Adige,2007,1,31,5.25,-2.15,0
Ronco all'Adige,2007,2,1,6.58,0.52,0
Ronco all'Adige,2007,2,2,10.03,1.02,0
Ronco all'Adige,2007,2,3,6.42,1.47,0
Ronco all'Adige,2007,2,4,8.56,-1.18,0
Ronco all'Adige,2007,2,5,6.5,-1.9,0
Ronco all'Adige,2007,2,6,5.89,-0.8,5
Ronco all'Adige,2007,2,7,7.95,3.95,3.8
Ronco all'Adige,2007,2,8,7.63,5.52,4.1
Ronco all'Adige,2007,2,9,11.42,5.44,0
Ronco all'Adige,2007,2,10,11.94,5.94,0
Ronco all'Adige,2007,2,11,12.83,2.62,0
Ronco all'Adige,2007,2,12,9.95,2.57,12.9
Ronco all'Adige,2007,2,13,16.86,4.33,4.7
Ronco all'Adige,2007,2,14,10.42,2.89,0
Ronco all'Adige,2007,2,15,13.36,5.46,0
Ronco all'Adige,2007,2,16,13.23,0.96,0
Ronco all'Adige,2007,2,17,12.4,0.18,0
Ronco all'Adige,2007,2,18,11.53,1.96,0
Ronco all'Adige,2007,2,19,12.22,-0.63,0
Ronco all'Adige,2007,2,20,14.04,0.11,0
Ronco all'Adige,2007,2,21,14.86,6.66,0
Ronco all'Adige,2007,2,22,14.62,7,0
Ronco all'Adige,2007,2,23,14.49,4.41,0
Ronco all'Adige,2007,2,24,14.61,7.76,3.3
Ronco all'Adige,2007,2,25,11,6.56,3.3
Ronco all'Adige,2007,2,26,14.93,5.6,0
Ronco all'Adige,2007,2,27,16.95,2.59,0
Ronco all'Adige,2007,2,28,13.43,2.88,0
Ronco all'Adige,2007,3,1,15.59,3.94,0
Ronco all'Adige,2007,3,2,18.79,6.51,0
Ronco all'Adige,2007,3,3,18.22,6.98,0
Ronco all'Adige,2007,3,4,19,5.14,0
Ronco all'Adige,2007,3,5,18.98,5.52,0
Ronco all'Adige,2007,3,6,15.86,8.92,0
Ronco all'Adige,2007,3,7,13.82,9.7,4.5
Ronco all'Adige,2007,3,8,16.03,9.01,4.2
Ronco all'Adige,2007,3,9,17.62,8.27,0
Ronco all'Adige,2007,3,10,16.36,6.91,0
Ronco all'Adige,2007,3,11,16.2,4.69,0
Ronco all'Adige,2007,3,12,17.75,3.63,0
Ronco all'Adige,2007,3,13,20.73,4.78,0
Ronco all'Adige,2007,3,14,21.47,6.59,0
Ronco all'Adige,2007,3,15,20.33,6.24,0
Ronco all'Adige,2007,3,16,20.62,6.58,0
Ronco all'Adige,2007,3,17,20.47,7.1,0
Ronco all'Adige,2007,3,18,18.86,8.09,0
Ronco all'Adige,2007,3,19,15.99,4.01,2.1
Ronco all'Adige,2007,3,20,8.15,1.64,9.7
Ronco all'Adige,2007,3,21,13.03,1.88,0
Ronco all'Adige,2007,3,22,12.84,1.83,0
Ronco all'Adige,2007,3,23,11.86,3.27,0
Ronco all'Adige,2007,3,24,11.98,1.6,4.3
Ronco all'Adige,2007,3,25,9.95,5.82,23.8
Ronco all'Adige,2007,3,26,14.58,6.83,6.4
Ronco all'Adige,2007,3,27,13,7.07,0
Ronco all'Adige,2007,3,28,13.91,5.34,0
Ronco all'Adige,2007,3,29,14.96,4.66,0
Ronco all'Adige,2007,3,30,8.85,6.71,14.7
Ronco all'Adige,2007,3,31,13.61,6.68,0
Ronco all'Adige,2007,4,1,14.47,8.35,0
Ronco all'Adige,2007,4,2,19.85,7.82,0
Ronco all'Adige,2007,4,3,20.23,6.7,0
Ronco all'Adige,2007,4,4,18.05,9.44,0
Ronco all'Adige,2007,4,5,18.38,7.49,0
Ronco all'Adige,2007,4,6,21.28,5.99,0
Ronco all'Adige,2007,4,7,22.74,7.51,0
Ronco all'Adige,2007,4,8,21.05,10.13,0
Ronco all'Adige,2007,4,9,22.32,8.4,0
Ronco all'Adige,2007,4,10,23.15,8.38,0
Ronco all'Adige,2007,4,11,24.85,8.59,0
Ronco all'Adige,2007,4,12,24.29,10.35,0
Ronco all'Adige,2007,4,13,24.3,11.34,0
Ronco all'Adige,2007,4,14,25.22,10.38,0
Ronco all'Adige,2007,4,15,26.25,10.97,0
Ronco all'Adige,2007,4,16,25.2,11.82,0
Ronco all'Adige,2007,4,17,23.74,11.86,0
Ronco all'Adige,2007,4,18,26.53,10.59,0
Ronco all'Adige,2007,4,19,20.96,11.47,0
Ronco all'Adige,2007,4,20,23.91,9.4,0
Ronco all'Adige,2007,4,21,24.11,11.73,0
Ronco all'Adige,2007,4,22,26.57,12.09,0
Ronco all'Adige,2007,4,23,28.12,12.14,0
Ronco all'Adige,2007,4,24,28.69,14.49,0
Ronco all'Adige,2007,4,25,25.09,16.44,0
Ronco all'Adige,2007,4,26,23.76,14.03,0
Ronco all'Adige,2007,4,27,25.63,11.26,0
Ronco all'Adige,2007,4,28,26.82,11.17,0
Ronco all'Adige,2007,4,29,27.51,9.34,0
Ronco all'Adige,2007,4,30,24.13,13.53,0
Ronco all'Adige,2007,5,1,23.54,13.92,0
Ronco all'Adige,2007,5,2,17.72,11.36,10.4
Ronco all'Adige,2007,5,3,19.84,11.35,2.8
Ronco all'Adige,2007,5,4,16.3,11.32,14.4
Ronco all'Adige,2007,5,5,20.57,11.34,6.8
Ronco all'Adige,2007,5,6,24.7,10.67,0
Ronco all'Adige,2007,5,7,26.76,12.3,0
Ronco all'Adige,2007,5,8,29.06,13.64,0
Ronco all'Adige,2007,5,9,29.65,15.75,0
Ronco all'Adige,2007,5,10,29.62,15.27,0
Ronco all'Adige,2007,5,11,27.38,15.66,0
Ronco all'Adige,2007,5,12,28.5,15.86,0
