site,year,month,day,tmax,tmin,prec
Torrecuso,2007,1,1,13.76,8.31,1.8
Torrecuso,2007,1,2,13.24,6.68,8.1
Torrecuso,2007,1,3,10.08,3.62,0
Torrecuso,2007,1,4,11.62,2.32,0
Torrecuso,2007,1,5,11.75,7.18,2
Torrecuso,2007,1,6,13.75,6.33,0
Torrecuso,2007,1,7,11.01,6.62,0
Torrecuso,2007,1,8,12.67,7.75,2.5
Torrecuso,2007,1,9,14.43,7.48,0
Torrecuso,2007,1,10,14.65,6.2,0
Torrecuso,2007,1,11,13.27,8.33,0
Torrecuso,2007,1,12,15.82,9.18,0
Torrecuso,2007,1,13,17.98,6.75,0
Torrecuso,2007,1,14,15.68,6.51,0
Torrecuso,2007,1,15,15.11,6.95,0
Torrecuso,2007,1,16,12.23,5.33,0
Torrecuso,2007,1,17,13.72,9.33,7.5
Torrecuso,2007,1,18,15.39,9.36,0
Torrecuso,2007,1,19,15.14,11.44,0
Torrecuso,2007,1,20,17.59,10.4,0
Torrecuso,2007,1,21,14.99,10.85,0
Torrecuso,2007,1,22,16.87,10.51,0
Torrecuso,2007,1,23,13.7,8.26,7
Torrecuso,2007,1,24,9.79,5.89,12.6
Torrecuso,2007,1,25,10.2,3.83,6.3
Torrecuso,2007,1,26,8.96,3.5,0
Torrecuso,2007,1,27,9.67,3,0
Torrecuso,2007,1,28,10.95,1.65,0
Torrecuso,2007,1,29,11.14,4.05,0
Torrecuso,2007,1,30,15.01,4.01,0
Torrecuso,2007,1,31,15.04,4.39,0
Torrecuso,2007,2,1,13.8,5.61,0
Torrecuso,2007,2,2,12.82,5.34,0
Torrecuso,2007,2,3,13.51,3.99,0
Torrecuso,2007,2,4,11.92,3.94,0
Torrecuso,2007,2,5,11.98,2.05,0
Torrecuso,2007,2,6,12.06,3.51,6.7
Torrecuso,2007,2,7,13.11,6.81,5.9
Torrecuso,2007,2,8,13.95,7.57,4.8
Torrecuso,2007,2,9,11.7,8.53,13.1
Torrecuso,2007,2,10,12.74,8.98,10.2
Torrecuso,2007,2,11,14.94,9.46,2.3
Torrecuso,2007,2,12,13.48,7.11,9.8
Torrecuso,2007,2,13,14.07,7.36,8.7
Torrecuso,2007,2,14,15.58,6.23,0
Torrecuso,2007,2,15,12.92,7.14,13.2
Torrecuso,2007,2,16,14.31,6.18,0
Torrecuso,2007,2,17,14.41,5.68,0
Torrecuso,2007,2,18,11.78,5.41,9
Torrecuso,2007,2,19,14.39,8.56,5.8
Torrecuso,2007,2,20,13.05,9.56,5.1
Torrecuso,2007,2,21,14.95,8.88,2.2
