site,year,month,day,tmax,tmin,prec
Tufo,2007,1,1,14.31,8.74,0
Tufo,2007,1,2,14.14,7.45,7.4
Tufo,2007,1,3,9.53,4.61,0
Tufo,2007,1,4,11.48,2.48,0
Tufo,2007,1,5,12.47,7.14,2.2
Tufo,2007,1,6,14.03,6.59,0
Tufo,2007,1,7,11.55,6.7,0
Tufo,2007,1,8,13.13,8.05,2.3
Tufo,2007,1,9,15.3,7.72,0
Tufo,2007,1,10,15.31,6.95,0
Tufo,2007,1,11,13.11,8.22,0
Tufo,2007,1,12,16.02,9.23,0
Tufo,2007,1,13,18.13,7.56,0
Tufo,2007,1,14,16.35,7.45,0
Tufo,2007,1,15,14.83,6.97,0
Tufo,2007,1,16,13.27,5.82,0
Tufo,2007,1,17,14.66,9.42,0
Tufo,2007,1,18,15.95,10,0
Tufo,2007,1,19,15.56,11.39,0
Tufo,2007,1,20,17.49,10.19,0
Tufo,2007,1,21,16.28,10.72,0
Tufo,2007,1,22,17.49,10.37,0
Tufo,2007,1,23,13.7,9.23,6.8
Tufo,2007,1,24,10.34,6.35,14.1
Tufo,2007,1,25,10.21,4.37,6.4
Tufo,2007,1,26,9.77,4.12,0
Tufo,2007,1,27,10.02,3.12,0
Tufo,2007,1,28,11.06,1.97,0
Tufo,2007,1,29,11.74,4.07,0
Tufo,2007,1,30,14.82,5.34,0
Tufo,2007,1,31,15.28,5.07,0
Tufo,2007,2,1,13.67,5.56,0
Tufo,2007,2,2,13.33,5.89,0
Tufo,2007,2,3,13.52,4.48,0
Tufo,2007,2,4,11.35,4.41,0
Tufo,2007,2,5,12.37,2.39,0
Tufo,2007,2,6,12.51,3.41,0
Tufo,2007,2,7,13.99,7.14,6
Tufo,2007,2,8,14.76,8.29,4.8
Tufo,2007,2,9,12.74,9.15,11
Tufo,2007,2,10,13.18,9.43,10.3
Tufo,2007,2,11,14.91,9.53,2.3
Tufo,2007,2,12,14.12,7.44,7.6
Tufo,2007,2,13,14.2,8.42,9.7
Tufo,2007,2,14,16.14,6.21,0
Tufo,2007,2,15,13.51,7.06,12.6
Tufo,2007,2,16,14.03,6.95,0
Tufo,2007,2,17,14.67,5.87,0
Tufo,2007,2,18,12.5,5.52,6.8
Tufo,2007,2,19,14.87,8.54,8
Tufo,2007,2,20,13.62,10.07,5.2
Tufo,2007,2,21,15.21,8.72,2
Tufo,2007,2,22,15.37,8.02,0
Tufo,2007,2,23,15.9,7.32,0
Tufo,2007,2,24,16.04,7.28,0
Tufo,2007,2,25,15.05,7.49,0.4
Tufo,2007,2,26,15.03,8.02,7.8
Tufo,2007,2,27,14.88,5.22,0
Tufo,2007,2,28,14.22,5.88,0
Tufo,2007,3,1,16.22,11.91,0
Tufo,2007,3,2,15.29,11.83,0
Tufo,2007,3,3,16.31,10.31,0
Tufo,2007,3,4,19.22,9.83,0
Tufo,2007,3,5,17.86,8.22,0
Tufo,2007,3,6,18.72,8.73,0
Tufo,2007,3,7,13.68,8.94,8.4
Tufo,2007,3,8,16.78,8.81,4.1
Tufo,2007,3,9,16.3,9.56,0
Tufo,2007,3,10,12.17,9.68,0
Tufo,2007,3,11,13.91,10.46,0
Tufo,2007,3,12,16.59,9.55,0
Tufo,2007,3,13,17.49,8.04,0
Tufo,2007,3,14,17.61,8.08,0
Tufo,2007,3,15,18.58,8.76,0
Tufo,2007,3,16,17.71,8.09,0
Tufo,2007,3,17,17.5,8.19,0
Tufo,2007,3,18,17.55,8.59,0
Tufo,2007,3,19,13.73,8.45,7.7
Tufo,2007,3,20,11.67,4.44,17.6
Tufo,2007,3,21,8.4,2.82,9.6
Tufo,2007,3,22,10.48,4.18,8.2
Tufo,2007,3,23,12.61,3.59,0
Tufo,2007,3,24,10.89,5.3,11.7
Tufo,2007,3,25,13.26,5.75,13.3
Tufo,2007,3,26,15.12,5.94,0
Tufo,2007,3,27,13.52,7.57,6.6
Tufo,2007,3,28,14.67,6.29,0
Tufo,2007,3,29,14.92,10.52,0
Tufo,2007,3,30,14.38,8.16,2.7
Tufo,2007,3,31,16.3,6.79,0
Tufo,2007,4,1,18.09,7.41,0
Tufo,2007,4,2,18.6,9.57,0
Tufo,2007,4,3,16.74,8.92,3.1
Tufo,2007,4,4,12.61,8.76,14.2
Tufo,2007,4,5,15.15,8.56,0
Tufo,2007,4,6,18.06,7.77,0
Tufo,2007,4,7,17.36,8.85,0
Tufo,2007,4,8,17.72,9.35,0
Tufo,2007,4,9,18.59,9.26,0
Tufo,2007,4,10,19.2,9.06,0
Tufo,2007,4,11,21.02,11.07,0
Tufo,2007,4,12,22.81,11.92,0
Tufo,2007,4,13,23.15,11.6,0
Tufo,2007,4,14,18.35,12.04,2.9
Tufo,2007,4,15,22.04,13.13,0
Tufo,2007,4,16,21.55,13.6,0
Tufo,2007,4,17,19.84,10.78,0
Tufo,2007,4,18,18.4,9.31,0
Tufo,2007,4,19,22.13,10.74,0
Tufo,2007,4,20,22.47,11.64,0
Tufo,2007,4,21,24.35,12.03,0
Tufo,2007,4,22,23.42,13,0
Tufo,2007,4,23,23.4,12.99,0
Tufo,2007,4,24,22.86,13.61,0
Tufo,2007,4,25,23.01,12.82,2.8
Tufo,2007,4,26,19.93,12.12,0
Tufo,2007,4,27,20.18,13.27,0
Tufo,2007,4,28,20.63,11.03,0
Tufo,2007,4,29,21.1,12.1,0
Tufo,2007,4,30,18.51,12.81,3.4
Tufo,2007,5,1,19.57,12.24,8.5
Tufo,2007,5,2,20.65,12.73,4.2
Tufo,2007,5,3,19.38,12.99,18.5
Tufo,2007,5,4,21.88,13.88,6
Tufo,2007,5,5,20.01,12.9,0
Tufo,2007,5,6,19.66,12.31,0
Tufo,2007,5,7,19.48,12.04,0
Tufo,2007,5,8,21.96,11.86,0
Tufo,2007,5,9,22.57,13.61,0
Tufo,2007,5,10,23.9,14.58,0
Tufo,2007,5,11,24.12,14.45,0
Tufo,2007,5,12,23.54,15.57,0
Tufo,2007,5,13,26.32,15.5,0
Tufo,2007,5,14,26.55,15.74,0
Tufo,2007,5,15,24.83,15.57,0
Tufo,2007,5,16,19.95,13.13,0
Tufo,2007,5,17,19.45,11.68,8.1
Tufo,2007,5,18,19.91,12.17,5
Tufo,2007,5,19,20.55,11.72,0
Tufo,2007,5,20,22.04,12.17,0
Tufo,2007,5,21,24.49,14.21,0
Tufo,2007,5,22,26.15,15.88,0
Tufo,2007,5,23,26.51,17.47,0
Tufo,2007,5,24,27.34,17.85,0
Tufo,2007,5,25,26.89,17.7,0
Tufo,2007,5,26,26.82,17.7,0
Tufo,2007,5,27,25.26,16.73,3.7
