site,year,month,day,tmax,tmin,prec
Verduno,2007,1,1,10.67,3.07,0
Verduno,2007,1,2,11.74,2.92,0
Verduno,2007,1,3,12.62,1.87,0
Verduno,2007,1,4,10.22,0.91,0
Verduno,2007,1,5,11.2,0.35,0
Verduno,2007,1,6,10.84,0.8,0
Verduno,2007,1,7,10.88,2.34,0
Verduno,2007,1,8,10.61,2.89,0
Verduno,2007,1,9,12.45,3.44,0
Verduno,2007,1,10,10.74,4.25,0
Verduno,2007,1,11,13.67,2.75,0
Verduno,2007,1,12,17.28,3.49,0
Verduno,2007,1,13,12.68,3.14,0
Verduno,2007,1,14,11.56,2.64,0
Verduno,2007,1,15,10.36,2.42,0
Verduno,2007,1,16,8.73,2.17,0
Verduno,2007,1,17,9.07,3.54,0
Verduno,2007,1,18,11.05,2.01,0
Verduno,2007,1,19,20.94,4.52,0
Verduno,2007,1,20,17.04,4.52,0
Verduno,2007,1,21,11.86,4.5,0
Verduno,2007,1,22,10.08,5.65,3
Verduno,2007,1,23,8.27,5.55,17.1
Verduno,2007,1,24,7.19,0.04,4.6
Verduno,2007,1,25,4.67,-0.05,0
Verduno,2007,1,26,4.91,-3.33,0
Verduno,2007,1,27,9.99,-4.14,0
Verduno,2007,1,28,11.85,-1.14,0
Verduno,2007,1,29,12.72,-0.33,0
Verduno,2007,1,30,10.65,-1.2,0
Verduno,2007,1,31,9.24,-0.8,0
Verduno,2007,2,1,13.38,-0.05,0
Verduno,2007,2,2,12.93,1.49,0
Verduno,2007,2,3,15.64,1.35,0
Verduno,2007,2,4,12.19,0.54,0
Verduno,2007,2,5,12.2,-1.08,0
Verduno,2007,2,6,10.28,1.74,0
Verduno,2007,2,7,9.89,2.94,0
Verduno,2007,2,8,10.02,3.44,0
Verduno,2007,2,9,13.13,2.49,0
Verduno,2007,2,10,11.1,1.44,0
Verduno,2007,2,11,14.2,1.04,0
Verduno,2007,2,12,11.18,3.87,3.3
Verduno,2007,2,13,16.51,3.2,0
Verduno,2007,2,14,11.23,1.64,3.4
Verduno,2007,2,15,16.52,4.73,0
