site,year,month,day,tmax,tmin,prec
Vesime,2007,1,1,9.27,4.09,0
Vesime,2007,1,2,11.53,3.08,0
Vesime,2007,1,3,11.87,1.46,0
Vesime,2007,1,4,8.95,1.27,0
Vesime,2007,1,5,10.47,0.64,0
Vesime,2007,1,6,10,1.21,0
Vesime,2007,1,7,10.07,4.16,0
Vesime,2007,1,8,9.53,3.38,0
Vesime,2007,1,9,11.42,4.25,0
Vesime,2007,1,10,9.96,4.78,0
Vesime,2007,1,11,13.16,3.4,0
Vesime,2007,1,12,16.54,3.59,0
Vesime,2007,1,13,13.12,3.25,0
Vesime,2007,1,14,10.93,3.32,0
Vesime,2007,1,15,10.14,2.84,0
Vesime,2007,1,16,8.79,2.96,0
Vesime,2007,1,17,8.06,4.2,1.6
Vesime,2007,1,18,9.68,3.19,0
Vesime,2007,1,19,20.97,4.6,0
Vesime,2007,1,20,16.03,5.21,0
Vesime,2007,1,21,11.21,5.82,0
Vesime,2007,1,22,9.66,6.16,3.7
Vesime,2007,1,23,8.01,5.05,18.5
Vesime,2007,1,24,6.33,0.22,7.6
Vesime,2007,1,25,3.76,-0.28,0
Vesime,2007,1,26,3.44,-3.29,0
Vesime,2007,1,27,9.49,-4.46,0
Vesime,2007,1,28,11.14,-0.78,0
Vesime,2007,1,29,12.03,-0.4,0
Vesime,2007,1,30,9.63,-0.92,0
Vesime,2007,1,31,8.67,-0.32,0
Vesime,2007,2,1,11.86,0.21,0
Vesime,2007,2,2,11.7,1.9,0
Vesime,2007,2,3,15.08,1.09,0
Vesime,2007,2,4,10.64,0.75,0
Vesime,2007,2,5,10.79,-0.71,0
Vesime,2007,2,6,9.72,1.62,0
Vesime,2007,2,7,8.63,2.73,0
Vesime,2007,2,8,8.9,3.34,0
Vesime,2007,2,9,12.15,2.94,0
Vesime,2007,2,10,10.21,1.63,0
Vesime,2007,2,11,13.38,1.25,0
Vesime,2007,2,12,10.02,3.53,4
Vesime,2007,2,13,16.69,2.99,0
Vesime,2007,2,14,10.48,1.63,3.3
Vesime,2007,2,15,16.19,4.68,0
Vesime,2007,2,16,14.93,1.72,0
Vesime,2007,2,17,11.7,2.83,0
Vesime,2007,2,18,8.36,2.76,0
Vesime,2007,2,19,11.26,0.15,0
Vesime,2007,2,20,13.92,0.15,0
Vesime,2007,2,21,11.33,2.7,0
Vesime,2007,2,22,13.16,4.28,0
Vesime,2007,2,23,13.44,3.09,0
Vesime,2007,2,24,11.78,3.46,0
Vesime,2007,2,25,10.98,5.49,0
Vesime,2007,2,26,15.46,3.23,0
Vesime,2007,2,27,17.9,4.28,0
Vesime,2007,2,28,16.2,5,0
Vesime,2007,3,1,13.17,4.63,0
Vesime,2007,3,2,19.9,7.66,0
Vesime,2007,3,3,18.56,7.65,0
Vesime,2007,3,4,19.19,6.84,0
Vesime,2007,3,5,16.28,5.85,0
Vesime,2007,3,6,13.17,6.27,8.5
Vesime,2007,3,7,12.05,7.97,5
Vesime,2007,3,8,18.13,7.19,0
Vesime,2007,3,9,18.65,6.16,0
Vesime,2007,3,10,16.85,7.64,0
Vesime,2007,3,11,13.48,4.17,0
Vesime,2007,3,12,16.82,3.56,0
Vesime,2007,3,13,20.66,4.25,0
Vesime,2007,3,14,20.9,6.24,0
Vesime,2007,3,15,20.03,7.27,0
Vesime,2007,3,16,19.89,7.01,0
Vesime,2007,3,17,20.44,5.97,0
Vesime,2007,3,18,17.03,6.18,0
Vesime,2007,3,19,13.89,5.15,0
Vesime,2007,3,20,7.8,2.11,0
Vesime,2007,3,21,13.08,2.86,0
Vesime,2007,3,22,12.52,0.55,0
Vesime,2007,3,23,12.05,1.06,0
Vesime,2007,3,24,12.39,1.03,0
Vesime,2007,3,25,8.7,3.41,7.6
Vesime,2007,3,26,11.14,4.5,0
Vesime,2007,3,27,12.29,6.29,0
Vesime,2007,3,28,14.78,4.89,0
Vesime,2007,3,29,14.85,5.06,0
Vesime,2007,3,30,13.57,4.69,0
Vesime,2007,3,31,11.61,4.34,3.8
Vesime,2007,4,1,11.87,6.17,4.6
Vesime,2007,4,2,16.69,6.29,0
Vesime,2007,4,3,18.67,6.37,0
Vesime,2007,4,4,14.27,7.19,0
Vesime,2007,4,5,18.51,7.94,0
Vesime,2007,4,6,18.97,5.51,0
Vesime,2007,4,7,19.84,6.62,0
Vesime,2007,4,8,18.11,7.71,0
Vesime,2007,4,9,20.61,6.53,0
Vesime,2007,4,10,20.66,7.76,0
Vesime,2007,4,11,22.14,8.25,0
Vesime,2007,4,12,21.86,10.12,0
Vesime,2007,4,13,20.59,11.31,0
Vesime,2007,4,14,23.03,11.91,0
Vesime,2007,4,15,24.52,10.4,0
Vesime,2007,4,16,25.45,10.64,0
Vesime,2007,4,17,24.45,11.66,0
Vesime,2007,4,18,25.19,10.33,0
Vesime,2007,4,19,20.97,10.75,0
Vesime,2007,4,20,23.64,9.91,0
Vesime,2007,4,21,23.52,10.86,0
Vesime,2007,4,22,24.45,11.72,0
Vesime,2007,4,23,26.01,11.87,0
Vesime,2007,4,24,26.28,12.43,0
Vesime,2007,4,25,25.07,13.22,0
Vesime,2007,4,26,22.7,13.23,0
Vesime,2007,4,27,22.93,11.05,0
Vesime,2007,4,28,24.54,10.2,0
Vesime,2007,4,29,24.12,10.32,0
Vesime,2007,4,30,22.06,10.4,0
Vesime,2007,5,1,20.19,10.59,0
Vesime,2007,5,2,16.38,8.65,12.4
Vesime,2007,5,3,15.69,8.89,0
Vesime,2007,5,4,13.5,9.61,20.1
Vesime,2007,5,5,18,9.04,9.1
Vesime,2007,5,6,22.47,10.39,0
Vesime,2007,5,7,24.8,10.33,0
Vesime,2007,5,8,26.21,12.79,0
Vesime,2007,5,9,26.82,13.89,0
Vesime,2007,5,10,26.59,11.09,0
Vesime,2007,5,11,23.66,12.51,0
Vesime,2007,5,12,25.19,12.77,0
Vesime,2007,5,13,24.3,12.46,0
Vesime,2007,5,14,22.4,12.15,0
Vesime,2007,5,15,19.69,8.75,0
Vesime,2007,5,16,21.7,7.56,0
Vesime,2007,5,17,22.54,10.61,0
Vesime,2007,5,18,25.86,11.63,0
Vesime,2007,5,19,25.04,10.78,0
Vesime,2007,5,20,25.68,12.65,0
Vesime,2007,5,21,27.47,13.46,0
Vesime,2007,5,22,30.82,15.01,0
Vesime,2007,5,23,30.78,16.2,0
Vesime,2007,5,24,29.8,16.03,0
Vesime,2007,5,25,29.1,16.43,0
Vesime,2007,5,26,21.51,15.21,4.9
Vesime,2007,5,27,21.67,13.18,11.3
Vesime,2007,5,28,16.46,9.5,0
Vesime,2007,5,29,18.91,9.5,2.7
Vesime,2007,5,30,21.92,7.67,0
Vesime,2007,5,31,18.48,10.9,0
Vesime,2007,6,1,17.86,10.68,19.2
Vesime,2007,6,2,18.1,10.64,3.3
Vesime,2007,6,3,22.18,11.7,0
Vesime,2007,6,4,25.66,14.78,0
Vesime,2007,6,5,24.31,14.68,8.5
Vesime,2007,6,6,21.28,15.17,8.7
Vesime,2007,6,7,20.68,14.55,9.8
Vesime,2007,6,8,26.25,13.32,0
Vesime,2007,6,9,27.19,16.08,0
Vesime,2007,6,10,27.55,16.92,0
Vesime,2007,6,11,25.73,16.11,0
Vesime,2007,6,12,25.85,15.13,0
Vesime,2007,6,13,25.66,15.61,0
Vesime,2007,6,14,26.68,16.16,0
Vesime,2007,6,15,23.9,15.72,11.5
Vesime,2007,6,16,26.61,13.8,0
Vesime,2007,6,17,24.38,14.51,0
Vesime,2007,6,18,25.62,16.48,0
Vesime,2007,6,19,29.48,16.97,0
Vesime,2007,6,20,29.82,18.71,0
Vesime,2007,6,21,26.5,18.67,0
Vesime,2007,6,22,26.94,16.55,0
Vesime,2007,6,23,27.7,15.02,0
Vesime,2007,6,24,27.8,13.63,0
Vesime,2007,6,25,28.03,16.61,0
Vesime,2007,6,26,26.66,15.05,0
Vesime,2007,6,27,25.77,13.41,0
Vesime,2007,6,28,25.34,12.25,0
Vesime,2007,6,29,26.35,12.63,0
Vesime,2007,6,30,27.17,14.7,0
Vesime,2007,7,1,28.27,16.13,0
Vesime,2007,7,2,25.66,16.62,0
Vesime,2007,7,3,25.09,15.66,0
Vesime,2007,7,4,26.06,14.72,0
Vesime,2007,7,5,26.28,11.89,0
Vesime,2007,7,6,28.26,13.8,0
Vesime,2007,7,7,29.19,14.29,0
Vesime,2007,7,8,29.02,15.93,0
Vesime,2007,7,9,25.21,17.37,0
Vesime,2007,7,10,25.11,12.82,0
Vesime,2007,7,11,24.67,10.83,0
Vesime,2007,7,12,26.8,12.31,0
Vesime,2007,7,13,27.89,13.09,0
Vesime,2007,7,14,29.75,14.68,0
Vesime,2007,7,15,30.85,15.49,0
Vesime,2007,7,16,32.13,16.99,0
Vesime,2007,7,17,31.86,18.63,0
Vesime,2007,7,18,32.81,18.86,0
Vesime,2007,7,19,33.09,18.33,0
Vesime,2007,7,20,32.67,17.91,0
Vesime,2007,7,21,30.83,17.67,0
Vesime,2007,7,22,29.95,17.42,0
Vesime,2007,7,23,29.11,16.68,0
Vesime,2007,7,24,29.06,17.94,0
Vesime,2007,7,25,29.86,16.1,0
Vesime,2007,7,26,30.98,16.55,0
Vesime,2007,7,27,32.47,17.43,0
Vesime,2007,7,28,32.39,18,0
Vesime,2007,7,29,32.18,19.51,0
Vesime,2007,7,30,31.42,17.53,0
Vesime,2007,7,31,27.2,15.58,0
Vesime,2007,8,1,27.11,14.09,0
Vesime,2007,8,2,28.3,16.36,0
Vesime,2007,8,3,29.27,16.51,0
Vesime,2007,8,4,28.99,15.91,0
Vesime,2007,8,5,28.98,16.3,0
Vesime,2007,8,6,29.48,16.52,0
Vesime,2007,8,7,28.34,18.18,0
Vesime,2007,8,8,24.86,14.93,19.8
Vesime,2007,8,9,24.11,12.62,4.3
Vesime,2007,8,10,25.82,13.59,0
Vesime,2007,8,11,28.25,13.4,0
