site,year,month,day,T2M_MAX,T2M_MIN,PRECTOTCORR
Rome,2000,1,1,7.9,-1.65,0
Rome,2000,1,2,9.24,0.15,0
Rome,2000,1,3,10.66,-0.22,0.01
Rome,2000,1,4,9.58,1.51,0
Rome,2000,1,5,11.37,1.83,0
Rome,2000,1,6,12.42,3.14,0.01
Rome,2000,1,7,11.94,1.47,0.04
Rome,2000,1,8,10.99,5.27,0
Rome,2000,1,9,11.7,3.92,0.03
Rome,2000,1,10,12.87,4.23,0.07
Rome,2000,1,11,11.46,3.01,0.66
Rome,2000,1,12,10.73,4.5,0.86
Rome,2000,1,13,10.96,4.46,3.18
Rome,2000,1,14,11.48,6.28,1.64
Rome,2000,1,15,13.15,3.87,0.07
Rome,2000,1,16,12.11,4.04,0.61
Rome,2000,1,17,9.03,-1.53,0.52
Rome,2000,1,18,11.36,1.05,0
Rome,2000,1,19,10.75,0.34,0
Rome,2000,1,20,9.91,0.25,1.22
Rome,2000,1,21,9.46,4.39,8.22
Rome,2000,1,22,9.55,3.51,2.9
Rome,2000,1,23,8.18,-0.16,5.19
Rome,2000,1,24,8.98,-2.17,0.05
Rome,2000,1,25,6.33,-3.96,0.01
Rome,2000,1,26,7.08,-2.82,0
Rome,2000,1,27,7.61,-0.65,0
Rome,2000,1,28,9.23,1.55,1.69
Rome,2000,1,29,11.1,5.48,7.25
Rome,2000,1,30,14.41,6.54,0.01
Rome,2000,1,31,14.21,5.08,0.08
Rome,2000,2,1,14.23,7.12,0.02
Rome,2000,2,2,12.01,5.8,1.39
Rome,2000,2,3,14.69,5.08,2.72
Rome,2000,2,4,12.65,1.34,0.01
Rome,2000,2,5,12.68,0.89,0
Rome,2000,2,6,13.77,4.22,0
Rome,2000,2,7,12.19,2.86,0.01
Rome,2000,2,8,11.54,5.9,0.02
Rome,2000,2,9,13.94,6.62,2.64
Rome,2000,2,10,11.53,1.42,0.09
Rome,2000,2,11,12.6,0.47,0.02
Rome,2000,2,12,11.14,4.69,3
Rome,2000,2,13,13.44,1.31,0.58
Rome,2000,2,14,14.66,4.1,0
Rome,2000,2,15,12.42,4.3,0.03
Rome,2000,2,16,12.95,6.94,4.69
Rome,2000,2,17,9.36,0.73,5.4
Rome,2000,2,18,10.38,-1.06,0.1
Rome,2000,2,19,13.95,5.04,3.08
Rome,2000,2,20,13.72,2.55,1.46
Rome,2000,2,21,12.1,2.02,0.01
