"site","year","month","day","tmax","tmin","prec"
"AL002",2003,1,1,10.86,3.84,0
"AL002",2003,1,2,8.64,5.82,0
"AL002",2003,1,3,12.06,5.21,0
"AL002",2003,1,4,9.48,3.34,0
"AL002",2003,1,5,6.48,1.09,0
"AL002",2003,1,6,3.76,0.3,0
"AL002",2003,1,7,5.97,-0.36,0
"AL002",2003,1,8,1.21,0.09,0
"AL002",2003,1,9,5.89,-0.41,0
"AL002",2003,1,10,4.91,0.55,0
"AL002",2003,1,11,4.3,1.1,0
"AL002",2003,1,12,3.46,-1.51,0
"AL002",2003,1,13,5.08,-2.51,0
"AL002",2003,1,14,9.93,1.34,0
"AL002",2003,1,15,8.13,1.04,0
"AL002",2003,1,16,7.58,1.65,0
"AL002",2003,1,17,5.65,1.24,0
"AL002",2003,1,18,7.4,0.65,0
"AL002",2003,1,19,7.03,0.39,0
"AL002",2003,1,20,5.84,2.33,0
"AL002",2003,1,21,5.49,2.64,23.5
"AL002",2003,1,22,8.29,1.25,0
"AL002",2003,1,23,6.69,2.06,0
"AL002",2003,1,24,10.67,2.32,0
"AL002",2003,1,25,9.53,4.19,0
"AL002",2003,1,26,8.26,2.22,0
"AL002",2003,1,27,11.69,1.66,0
"AL002",2003,1,28,15.98,3.89,0
"AL002",2003,1,29,10.47,1.5,0
"AL002",2003,1,30,9.01,-0.27,0
"AL002",2003,1,31,5.04,-0.78,0
"AL002",2003,2,1,5.95,-1.26,0
"AL002",2003,2,2,7.13,-1.84,0
"AL002",2003,2,3,7.08,-0.79,0
"AL002",2003,2,4,7.84,2.01,0
"AL002",2003,2,5,9.38,1.63,0
"AL002",2003,2,6,9.22,0.25,0
"AL002",2003,2,7,9.78,-1.95,0
"AL002",2003,2,8,10.08,0.19,0
"AL002",2003,2,9,5.61,-0.69,0
"AL002",2003,2,10,6.04,-1.69,0
"AL002",2003,2,11,6.62,-2.17,0
"AL002",2003,2,12,4.32,-2.24,0
"AL002",2003,2,13,2.75,-1.94,0
"AL002",2003,2,14,4.16,-2.12,0
"AL002",2003,2,15,8.54,-3.22,0
"AL002",2003,2,16,3.89,-1.19,0
"AL002",2003,2,17,3,-0.82,0
"AL002",2003,2,18,6.6,-2.4,0
"AL002",2003,2,19,8.33,-3.44,0
"AL002",2003,2,20,9.6,-0.74,0
"AL002",2003,2,21,11.17,-0.22,0
"AL002",2003,2,22,9.31,-0.64,0
"AL002",2003,2,23,8.33,0,0
"AL002",2003,2,24,10.32,-0.3,0
"AL002",2003,2,25,12.69,-0.82,0
"AL002",2003,2,26,10.67,0.83,0
"AL002",2003,2,27,7.38,2.77,0
"AL002",2003,2,28,13.53,3.61,0
"AL002",2003,3,1,13.33,3.88,0
"AL002",2003,3,2,10.32,5.68,3.9
"AL002",2003,3,3,14.93,3.97,0
"AL002",2003,3,4,14.59,2.21,0
"AL002",2003,3,5,14.31,1.52,0
