"site","year","month","day","tmax","tmin","prec"
"AT001",2003,1,1,9.98,4.57,0
"AT001",2003,1,2,8.98,4.32,0
"AT001",2003,1,3,12.33,2.94,0
"AT001",2003,1,4,7.87,2.69,0
"AT001",2003,1,5,7.46,0.27,0
"AT001",2003,1,6,4.13,-1.35,0
"AT001",2003,1,7,5.72,-0.72,0
"AT001",2003,1,8,2.69,0.58,0
"AT001",2003,1,9,6.28,1.39,0
"AT001",2003,1,10,5.42,-0.59,0
"AT001",2003,1,11,4.62,2,0
"AT001",2003,1,12,4.93,-1.9,0
"AT001",2003,1,13,5.44,-2.63,0
"AT001",2003,1,14,9.48,-0.38,0
"AT001",2003,1,15,8.27,-0.75,0
"AT001",2003,1,16,9.4,1.28,0
"AT001",2003,1,17,6.31,1.19,0
"AT001",2003,1,18,8.15,0.4,0
"AT001",2003,1,19,7.82,-0.3,0
"AT001",2003,1,20,7.23,1.44,1.3
"AT001",2003,1,21,4.66,2.48,17.2
"AT001",2003,1,22,7.14,0.5,0
"AT001",2003,1,23,7.85,0.57,0
"AT001",2003,1,24,12.29,1.06,0
"AT001",2003,1,25,10.68,2.36,0
"AT001",2003,1,26,9.74,0.23,0
"AT001",2003,1,27,11.17,0.35,0
"AT001",2003,1,28,16.82,2.31,0
"AT001",2003,1,29,11.01,1.93,0
"AT001",2003,1,30,10.34,-0.64,0
"AT001",2003,1,31,5.43,-0.74,0
"AT001",2003,2,1,7.37,-2.11,0
"AT001",2003,2,2,6.97,-3.22,0
"AT001",2003,2,3,6.98,-2.11,0
"AT001",2003,2,4,8.43,1.54,0
"AT001",2003,2,5,9.54,1.53,0
"AT001",2003,2,6,9.44,-0.42,0
"AT001",2003,2,7,9.73,-2.62,0
"AT001",2003,2,8,9.96,-2.02,0
"AT001",2003,2,9,5.57,-0.39,0
"AT001",2003,2,10,6.45,-1.99,0
"AT001",2003,2,11,7.34,-2.6,0
"AT001",2003,2,12,4.89,-1.86,0
"AT001",2003,2,13,3.82,-2.87,0
"AT001",2003,2,14,4.88,-1.56,0
"AT001",2003,2,15,9.15,-3.01,0
"AT001",2003,2,16,3.8,-0.07,0
"AT001",2003,2,17,3.5,-0.89,0
"AT001",2003,2,18,8.01,-2.91,0
"AT001",2003,2,19,8.22,-3.55,0
"AT001",2003,2,20,9.7,-0.9,0
"AT001",2003,2,21,11.18,-0.78,0
"AT001",2003,2,22,10.22,-0.84,0
"AT001",2003,2,23,8.94,0.23,0
"AT001",2003,2,24,11.59,-0.18,0
"AT001",2003,2,25,13.39,-0.54,0
"AT001",2003,2,26,12.05,0.6,0
"AT001",2003,2,27,7.86,3.23,0
"AT001",2003,2,28,14.13,2.23,0
"AT001",2003,3,1,13.06,2.45,0
"AT001",2003,3,2,10.93,5.02,3
"AT001",2003,3,3,15.19,2.82,0
"AT001",2003,3,4,15.25,1.75,0
"AT001",2003,3,5,14.48,1.06,0
"AT001",2003,3,6,12.43,3.92,0
"AT001",2003,3,7,14.35,3.37,0
"AT001",2003,3,8,13.79,3.25,0
"AT001",2003,3,9,14.29,4.9,0
"AT001",2003,3,10,21.19,4.18,0
"AT001",2003,3,11,15.28,4.97,0
"AT001",2003,3,12,16.94,6.42,0
"AT001",2003,3,13,17.78,6.28,0
"AT001",2003,3,14,11.9,5.23,0
"AT001",2003,3,15,7.86,3.76,1.5
"AT001",2003,3,16,13.34,0.83,0
"AT001",2003,3,17,15.23,1.63,0
"AT001",2003,3,18,15.78,3.3,0
"AT001",2003,3,19,15.69,1.99,0
"AT001",2003,3,20,18.17,3.26,0
"AT001",2003,3,21,15.81,4.38,0
"AT001",2003,3,22,13.88,6.04,0
"AT001",2003,3,23,13.85,3.05,0
"AT001",2003,3,24,18.01,2.54,0
"AT001",2003,3,25,17.8,4.87,0
"AT001",2003,3,26,16.63,4.76,0
"AT001",2003,3,27,17.59,5.79,0
"AT001",2003,3,28,17.61,7.35,0
"AT001",2003,3,29,18.01,8.6,0
"AT001",2003,3,30,18.87,6.6,0
"AT001",2003,3,31,19.51,7.33,0
"AT001",2003,4,1,18.57,10.81,0
"AT001",2003,4,2,15.06,8.89,0
"AT001",2003,4,3,11.04,5.79,0
"AT001",2003,4,4,11.14,6.38,0
"AT001",2003,4,5,18.8,3.2,0
"AT001",2003,4,6,19.58,6.21,0
"AT001",2003,4,7,9.27,2.85,0
"AT001",2003,4,8,10.36,-0.69,0
"AT001",2003,4,9,10,1.42,0
"AT001",2003,4,10,6.98,3.57,9.6
"AT001",2003,4,11,11.76,3.77,9.9
"AT001",2003,4,12,13.16,6.15,7.5
"AT001",2003,4,13,17.8,4.98,0
"AT001",2003,4,14,18.65,7.73,0
"AT001",2003,4,15,17.64,11.2,0
"AT001",2003,4,16,19.6,10.55,0
"AT001",2003,4,17,21.29,10.9,0
"AT001",2003,4,18,21.31,11.93,0
"AT001",2003,4,19,14.64,9.03,0
"AT001",2003,4,20,11.74,7.78,5.8
"AT001",2003,4,21,17.85,8.35,0
"AT001",2003,4,22,19.64,7.5,0
"AT001",2003,4,23,20.97,9.46,0
"AT001",2003,4,24,23.39,10.71,0
"AT001",2003,4,25,20.42,10.6,0
"AT001",2003,4,26,18.2,11.27,4.7
"AT001",2003,4,27,21.62,10.48,0
"AT001",2003,4,28,19.18,11.02,0
"AT001",2003,4,29,22.16,12.83,0
"AT001",2003,4,30,18.4,13.99,0
"AT001",2003,5,1,21.96,12.76,0
"AT001",2003,5,2,17.02,13.46,4.1
"AT001",2003,5,3,24.19,13.41,0
"AT001",2003,5,4,25.22,12.08,0
"AT001",2003,5,5,25.94,14.22,0
"AT001",2003,5,6,25.94,15.52,0
"AT001",2003,5,7,27.45,16.32,0
"AT001",2003,5,8,27.33,16.07,0
"AT001",2003,5,9,25.17,14.43,0
"AT001",2003,5,10,20.47,13.83,4.2
"AT001",2003,5,11,24.55,13.04,0
"AT001",2003,5,12,24.53,14.89,0
"AT001",2003,5,13,25.23,14.38,0
"AT001",2003,5,14,23.59,11.63,0
"AT001",2003,5,15,21.44,10.47,0
"AT001",2003,5,16,19.85,11.51,0
"AT001",2003,5,17,20.37,11.36,0
"AT001",2003,5,18,23.4,11.79,0
"AT001",2003,5,19,23,13.32,0
"AT001",2003,5,20,22.34,12.72,5.4
"AT001",2003,5,21,24.56,9.92,0
"AT001",2003,5,22,25.11,10.03,0
"AT001",2003,5,23,26.29,12.88,0
"AT001",2003,5,24,25.91,13.87,0
"AT001",2003,5,25,26.21,14.94,0
"AT001",2003,5,26,20.95,15.3,5
"AT001",2003,5,27,24.65,14.42,2.7
"AT001",2003,5,28,28.36,16.28,0
"AT001",2003,5,29,27.8,17.02,4.1
"AT001",2003,5,30,25.7,15.3,0
"AT001",2003,5,31,28.41,16.17,0
"AT001",2003,6,1,27.38,17.52,0
"AT001",2003,6,2,26.4,16.41,0
"AT001",2003,6,3,26.05,17.37,0
"AT001",2003,6,4,26.85,17.43,0
"AT001",2003,6,5,28.27,18.22,0
"AT001",2003,6,6,29.35,17.83,0
"AT001",2003,6,7,29.35,17.78,0
"AT001",2003,6,8,28.94,18.94,0
"AT001",2003,6,9,29.68,18.84,0
"AT001",2003,6,10,30.41,18.43,0
"AT001",2003,6,11,32.17,19.29,0
"AT001",2003,6,12,32.26,20.6,0
"AT001",2003,6,13,33.11,21.56,0
"AT001",2003,6,14,32.52,21.09,0
"AT001",2003,6,15,31.14,20.27,0
"AT001",2003,6,16,32.28,20.25,0
"AT001",2003,6,17,26.83,19.28,0
"AT001",2003,6,18,29.49,17.77,0
"AT001",2003,6,19,30.29,19.16,0
"AT001",2003,6,20,32.93,19.18,0
"AT001",2003,6,21,33.12,19.18,0
"AT001",2003,6,22,30.76,19.74,0
"AT001",2003,6,23,30.48,20.45,0
"AT001",2003,6,24,31.85,21.29,0
"AT001",2003,6,25,32.34,21.1,0
"AT001",2003,6,26,32.02,22.1,0
"AT001",2003,6,27,30.65,20.73,0
"AT001",2003,6,28,27.8,19.38,0
"AT001",2003,6,29,28.26,18.28,0
