"site","year","month","day","tmax","tmin","prec"
"GEBI19",2003,1,1,12.19,4.27,0
"GEBI19",2003,1,2,9.11,6.93,0
"GEBI19",2003,1,3,12.58,5.62,0
"GEBI19",2003,1,4,11.81,4.23,0
"GEBI19",2003,1,5,7.45,2.75,0
"GEBI19",2003,1,6,4.12,0.73,1.8
"GEBI19",2003,1,7,7.51,0.59,2.7
"GEBI19",2003,1,8,1.96,0.24,0
"GEBI19",2003,1,9,5.72,-0.74,0
"GEBI19",2003,1,10,7.22,0.46,0
"GEBI19",2003,1,11,4.5,1.31,0
"GEBI19",2003,1,12,4.43,-0.56,0
"GEBI19",2003,1,13,6.22,-2.94,0
"GEBI19",2003,1,14,9.72,1.17,0
"GEBI19",2003,1,15,7.42,2.66,0
"GEBI19",2003,1,16,7.12,1.73,0
"GEBI19",2003,1,17,6.54,2.14,0
"GEBI19",2003,1,18,8.01,0.85,0
"GEBI19",2003,1,19,8.07,0.09,0
"GEBI19",2003,1,20,6.95,3.85,0
"GEBI19",2003,1,21,7.8,3.73,41.8
"GEBI19",2003,1,22,9.83,2.84,37.6
"GEBI19",2003,1,23,8.7,2.04,0
"GEBI19",2003,1,24,10.56,3.83,0
"GEBI19",2003,1,25,9.68,4.79,0
"GEBI19",2003,1,26,8.36,3.77,0
"GEBI19",2003,1,27,12.2,1.87,0
"GEBI19",2003,1,28,14.27,3.68,0
"GEBI19",2003,1,29,10.17,1.02,0
"GEBI19",2003,1,30,8.95,-0.16,0
"GEBI19",2003,1,31,5.9,-0.82,0
"GEBI19",2003,2,1,6.07,-1.27,0
"GEBI19",2003,2,2,8,-2.6,0
"GEBI19",2003,2,3,8.38,-0.54,0
"GEBI19",2003,2,4,8.92,2.57,0
"GEBI19",2003,2,5,8.89,3.05,0
"GEBI19",2003,2,6,8.94,0.19,0
"GEBI19",2003,2,7,10.64,-1.78,0
"GEBI19",2003,2,8,9.79,1.61,0
"GEBI19",2003,2,9,6.23,-0.78,0
"GEBI19",2003,2,10,6.84,-2.47,0
"GEBI19",2003,2,11,8.43,-1.99,0
"GEBI19",2003,2,12,4.78,-2.28,0
"GEBI19",2003,2,13,2.79,-0.48,0
"GEBI19",2003,2,14,3.47,-2.42,0
"GEBI19",2003,2,15,8.28,-3.76,0
"GEBI19",2003,2,16,4.1,-1.78,0
"GEBI19",2003,2,17,2.31,-0.48,0
"GEBI19",2003,2,18,6.23,-0.74,0
"GEBI19",2003,2,19,8.72,-3.3,0
"GEBI19",2003,2,20,10.55,-1.34,0
"GEBI19",2003,2,21,12.28,-0.33,0
"GEBI19",2003,2,22,9.71,-0.9,0
"GEBI19",2003,2,23,8.53,-0.78,0
"GEBI19",2003,2,24,12.01,-2.38,0
"GEBI19",2003,2,25,13.34,-1.76,0
"GEBI19",2003,2,26,11.37,-0.16,0
"GEBI19",2003,2,27,8.37,2.49,0
"GEBI19",2003,2,28,12.83,3.21,0
"GEBI19",2003,3,1,12.6,5.52,0
"GEBI19",2003,3,2,10.99,6.38,5.3
"GEBI19",2003,3,3,14.95,4.4,5.1
"GEBI19",2003,3,4,15.18,2.5,0
"GEBI19",2003,3,5,15.06,1.41,0
"GEBI19",2003,3,6,12.34,5.01,0
"GEBI19",2003,3,7,13.43,4.7,1.8
"GEBI19",2003,3,8,14.24,4.06,0
"GEBI19",2003,3,9,14.69,4.1,0
"GEBI19",2003,3,10,18.79,3.68,0
"GEBI19",2003,3,11,13.4,5.42,0
"GEBI19",2003,3,12,13.09,7.66,0
"GEBI19",2003,3,13,17.27,5.92,0
"GEBI19",2003,3,14,12.31,4.12,0
"GEBI19",2003,3,15,7.49,3.82,0
"GEBI19",2003,3,16,11.77,3.24,0
"GEBI19",2003,3,17,15.79,2.76,0
"GEBI19",2003,3,18,15.73,3.27,0
"GEBI19",2003,3,19,16.55,2.54,0
"GEBI19",2003,3,20,17.47,3.06,0
"GEBI19",2003,3,21,16.28,3.49,0
"GEBI19",2003,3,22,13.9,5.76,0
"GEBI19",2003,3,23,14.05,3.08,0
"GEBI19",2003,3,24,17.76,2.1,0
"GEBI19",2003,3,25,15.35,3.55,0
"GEBI19",2003,3,26,14.95,4.18,0
"GEBI19",2003,3,27,16.78,4.62,0
"GEBI19",2003,3,28,17.38,4.89,0
"GEBI19",2003,3,29,17.71,6.42,0
"GEBI19",2003,3,30,18.68,5.59,0
"GEBI19",2003,3,31,18.67,7.54,0
"GEBI19",2003,4,1,18.06,10.26,0
"GEBI19",2003,4,2,14.35,7.21,0
"GEBI19",2003,4,3,9.99,5.56,10.6
"GEBI19",2003,4,4,9.52,5.65,13.3
"GEBI19",2003,4,5,19.07,6.2,0
"GEBI19",2003,4,6,19.72,4.56,0
"GEBI19",2003,4,7,9.42,1.92,0
"GEBI19",2003,4,8,9.08,-0.89,0
"GEBI19",2003,4,9,8.49,1.47,0
"GEBI19",2003,4,10,7.69,4.12,9.8
"GEBI19",2003,4,11,10.6,5.26,32.8
"GEBI19",2003,4,12,13.16,4.84,17
"GEBI19",2003,4,13,17.8,4.01,3.1
"GEBI19",2003,4,14,18.31,5.78,0
"GEBI19",2003,4,15,17.88,11.04,0
"GEBI19",2003,4,16,18.79,10.74,0
"GEBI19",2003,4,17,21.1,10.82,0
"GEBI19",2003,4,18,22.2,11.22,0
"GEBI19",2003,4,19,16.18,8.82,0
"GEBI19",2003,4,20,13.55,8.83,0
"GEBI19",2003,4,21,16.12,7.42,12.3
"GEBI19",2003,4,22,19.85,7.03,0
"GEBI19",2003,4,23,20.54,7.83,0
"GEBI19",2003,4,24,22.08,9.58,0
"GEBI19",2003,4,25,20.24,9.97,0
"GEBI19",2003,4,26,18.84,10.33,0
"GEBI19",2003,4,27,20.08,11.25,4.1
"GEBI19",2003,4,28,17.63,10.54,0
"GEBI19",2003,4,29,22.35,9.81,0
"GEBI19",2003,4,30,20.67,12.15,0
"GEBI19",2003,5,1,21.88,14.96,0
"GEBI19",2003,5,2,18.7,13.14,0
"GEBI19",2003,5,3,24.49,12.97,0
"GEBI19",2003,5,4,25.97,11.59,0
"GEBI19",2003,5,5,26.52,14.01,0
"GEBI19",2003,5,6,27.52,13.37,0
"GEBI19",2003,5,7,27.28,15.55,0
"GEBI19",2003,5,8,26.14,13.49,0
"GEBI19",2003,5,9,24.95,14.35,0
"GEBI19",2003,5,10,22.17,13.18,0
"GEBI19",2003,5,11,25.93,12.33,0
"GEBI19",2003,5,12,25.46,13.53,0
"GEBI19",2003,5,13,24.31,14.17,0
"GEBI19",2003,5,14,24.21,12.38,0
"GEBI19",2003,5,15,21.98,10.61,0
"GEBI19",2003,5,16,19.16,10.03,0
"GEBI19",2003,5,17,20.65,9.92,0
"GEBI19",2003,5,18,22.23,11.08,0
"GEBI19",2003,5,19,19.02,12.49,0
"GEBI19",2003,5,20,22.17,10.96,10.9
"GEBI19",2003,5,21,23.57,9.14,13.5
"GEBI19",2003,5,22,25.43,9.31,0
"GEBI19",2003,5,23,25.44,12.07,0
"GEBI19",2003,5,24,25.49,13.31,0
"GEBI19",2003,5,25,26.35,13.44,0
"GEBI19",2003,5,26,22.18,13.9,0
"GEBI19",2003,5,27,25.85,14.59,0
"GEBI19",2003,5,28,27.61,16.06,0
"GEBI19",2003,5,29,27.76,16.12,0
"GEBI19",2003,5,30,24.49,16.2,4.9
"GEBI19",2003,5,31,26.2,15.81,0
"GEBI19",2003,6,1,27.4,16.79,0
"GEBI19",2003,6,2,26.42,16.55,0
"GEBI19",2003,6,3,26.12,17.33,0
"GEBI19",2003,6,4,27.87,17.54,0
"GEBI19",2003,6,5,29.46,17.63,0
"GEBI19",2003,6,6,29.03,17,0
"GEBI19",2003,6,7,30.63,16.68,0
"GEBI19",2003,6,8,30.56,16.73,0
"GEBI19",2003,6,9,30.11,18.26,0
"GEBI19",2003,6,10,30.93,16.74,0
"GEBI19",2003,6,11,32.12,17.37,0
"GEBI19",2003,6,12,33.13,19.81,0
"GEBI19",2003,6,13,33.56,20.03,0
"GEBI19",2003,6,14,33.38,19.02,0
"GEBI19",2003,6,15,32.86,20.33,0
"GEBI19",2003,6,16,32.59,20.06,0
"GEBI19",2003,6,17,29.18,18.84,0
"GEBI19",2003,6,18,30.23,17.91,2.6
"GEBI19",2003,6,19,31.56,19.02,0
"GEBI19",2003,6,20,32.09,18.08,0
"GEBI19",2003,6,21,32.74,19.1,0
"GEBI19",2003,6,22,31.53,19.86,0
"GEBI19",2003,6,23,29.98,18.97,0
"GEBI19",2003,6,24,31.21,20.73,0
"GEBI19",2003,6,25,31.23,20.3,0
"GEBI19",2003,6,26,32.1,19.81,0
"GEBI19",2003,6,27,31.05,21.2,0
"GEBI19",2003,6,28,28.23,18.08,0
"GEBI19",2003,6,29,29.07,17.67,16.8
"GEBI19",2003,6,30,28.67,19.42,0
"GEBI19",2003,7,1,26.21,19.42,0
"GEBI19",2003,7,2,27.91,16.11,0
"GEBI19",2003,7,3,27.08,18.52,0
"GEBI19",2003,7,4,27.68,14.89,0
"GEBI19",2003,7,5,28.11,14.2,0
"GEBI19",2003,7,6,28.68,14.98,0
"GEBI19",2003,7,7,29.04,16.3,0
"GEBI19",2003,7,8,30.84,16.73,0
"GEBI19",2003,7,9,29.8,17.79,0
"GEBI19",2003,7,10,30.58,18.34,0
"GEBI19",2003,7,11,30.93,18.43,0
"GEBI19",2003,7,12,31.03,19.96,0
"GEBI19",2003,7,13,30.24,18.86,0
"GEBI19",2003,7,14,28.97,18.83,0
"GEBI19",2003,7,15,29.39,20.75,0
"GEBI19",2003,7,16,30.18,19.55,0
"GEBI19",2003,7,17,30.24,20.87,0
"GEBI19",2003,7,18,32.65,19.5,0
"GEBI19",2003,7,19,32.04,20.59,0
"GEBI19",2003,7,20,32.12,21.57,0
"GEBI19",2003,7,21,31.93,20.11,0
"GEBI19",2003,7,22,32.41,19.83,0
"GEBI19",2003,7,23,32.53,21.51,0
"GEBI19",2003,7,24,26.98,19.26,0
"GEBI19",2003,7,25,30.13,18.48,8
"GEBI19",2003,7,26,30.68,19.3,0
"GEBI19",2003,7,27,31.47,19.95,0
"GEBI19",2003,7,28,30.99,19.25,0
"GEBI19",2003,7,29,32.01,19.7,0
"GEBI19",2003,7,30,30.93,19.32,0
"GEBI19",2003,7,31,26.72,17.12,0
"GEBI19",2003,8,1,32.01,17.28,0
"GEBI19",2003,8,2,32.42,19,0
"GEBI19",2003,8,3,34.39,20.37,0
"GEBI19",2003,8,4,35.66,21.33,0
"GEBI19",2003,8,5,36.7,21.53,0
"GEBI19",2003,8,6,36.14,22.7,0
"GEBI19",2003,8,7,35.73,22,0
"GEBI19",2003,8,8,33.57,22.04,0
"GEBI19",2003,8,9,34.75,21.33,0
"GEBI19",2003,8,10,34.36,21.44,0
"GEBI19",2003,8,11,35.05,21.01,0
"GEBI19",2003,8,12,34.71,22.11,0
"GEBI19",2003,8,13,34.17,22.23,0
"GEBI19",2003,8,14,32.79,21.41,0
"GEBI19",2003,8,15,31.16,20.65,0
"GEBI19",2003,8,16,31.36,20.96,0
"GEBI19",2003,8,17,32.1,19.84,0
"GEBI19",2003,8,18,30.29,21.06,0
"GEBI19",2003,8,19,32.27,19.66,0
"GEBI19",2003,8,20,32.41,18.81,0
"GEBI19",2003,8,21,31.88,19.23,0
"GEBI19",2003,8,22,30.14,19.74,0
"GEBI19",2003,8,23,32.47,19.42,0
"GEBI19",2003,8,24,31.68,19.92,0
"GEBI19",2003,8,25,32.32,19.18,0
"GEBI19",2003,8,26,30.6,20,0
"GEBI19",2003,8,27,30.01,18.92,0
"GEBI19",2003,8,28,28.7,22.11,0
"GEBI19",2003,8,29,29.08,22.35,0
"GEBI19",2003,8,30,29.51,19.08,0
"GEBI19",2003,8,31,30.26,19.54,0
"GEBI19",2003,9,1,24.12,17.09,0
"GEBI19",2003,9,2,25.62,14.01,0
"GEBI19",2003,9,3,23.76,13.57,0
"GEBI19",2003,9,4,24.74,12.33,0
"GEBI19",2003,9,5,23.57,11.79,0
"GEBI19",2003,9,6,25.82,14.29,0
"GEBI19",2003,9,7,25.9,14.44,0
