"site","year","month","day","tmax","tmin","prec"
"GEVE25",2003,1,1,12.66,2.32,0
"GEVE25",2003,1,2,10.25,6.49,0
"GEVE25",2003,1,3,12.41,4.2,0
"GEVE25",2003,1,4,12.18,4.11,0
"GEVE25",2003,1,5,8.21,2.65,0
"GEVE25",2003,1,6,4.11,-0.4,5.7
"GEVE25",2003,1,7,7.48,1.26,3.3
"GEVE25",2003,1,8,2.25,-0.49,0
"GEVE25",2003,1,9,4.93,-0.97,0
"GEVE25",2003,1,10,7.2,-1.49,0
"GEVE25",2003,1,11,3.48,0.37,0
"GEVE25",2003,1,12,4.59,-3.23,0
"GEVE25",2003,1,13,5.81,-5.38,0
"GEVE25",2003,1,14,9.61,-1.98,0
"GEVE25",2003,1,15,7.62,0.63,0
"GEVE25",2003,1,16,7.01,1.49,0
"GEVE25",2003,1,17,6.56,1.45,0
"GEVE25",2003,1,18,7.87,0.14,0
"GEVE25",2003,1,19,8.63,-1.59,0
"GEVE25",2003,1,20,7.16,3.06,0
"GEVE25",2003,1,21,8.3,3.48,41.6
"GEVE25",2003,1,22,10.87,2.9,63.7
"GEVE25",2003,1,23,8.96,0.72,0
"GEVE25",2003,1,24,10.14,2.38,0
"GEVE25",2003,1,25,8.58,4.24,0
"GEVE25",2003,1,26,8.1,2.74,0
"GEVE25",2003,1,27,11.77,0.3,0
"GEVE25",2003,1,28,13.44,2.68,0
"GEVE25",2003,1,29,10.2,-1.01,0
"GEVE25",2003,1,30,9.2,-1.5,0
"GEVE25",2003,1,31,5.84,-1.92,0
"GEVE25",2003,2,1,6.18,-2.6,0
"GEVE25",2003,2,2,8.29,-4.22,0
"GEVE25",2003,2,3,8.77,-2.22,0
"GEVE25",2003,2,4,10.01,1.51,0
"GEVE25",2003,2,5,8.37,2.97,0
"GEVE25",2003,2,6,8.85,-1.2,0
"GEVE25",2003,2,7,10.23,-3.94,0
"GEVE25",2003,2,8,8.81,-0.28,0
"GEVE25",2003,2,9,5.74,-2.38,0
"GEVE25",2003,2,10,6.3,-3.77,0
"GEVE25",2003,2,11,9.19,-3.46,0
"GEVE25",2003,2,12,4.45,-3.68,0
"GEVE25",2003,2,13,2.46,-1.89,0
"GEVE25",2003,2,14,2.78,-3.95,0
"GEVE25",2003,2,15,8.1,-5.64,0
"GEVE25",2003,2,16,4.18,-3.38,0
"GEVE25",2003,2,17,1.59,-1.82,0
"GEVE25",2003,2,18,5.21,-2.84,0
"GEVE25",2003,2,19,9.01,-4.91,0
"GEVE25",2003,2,20,11.55,-3.97,0
"GEVE25",2003,2,21,12.55,-2.64,0
"GEVE25",2003,2,22,9.52,-2.82,0
"GEVE25",2003,2,23,8.51,-3.46,0
"GEVE25",2003,2,24,12.1,-5.56,0
"GEVE25",2003,2,25,13.19,-4.66,0
"GEVE25",2003,2,26,12.17,-3.72,0
"GEVE25",2003,2,27,8.55,-2.22,0
"GEVE25",2003,2,28,12.85,0.92,0
"GEVE25",2003,3,1,12.22,5.62,0
"GEVE25",2003,3,2,12.07,6.07,11.8
"GEVE25",2003,3,3,14.85,3.34,3.4
"GEVE25",2003,3,4,16.08,1.68,0
"GEVE25",2003,3,5,16.65,0.81,0
