"site","year","month","day","tmax","tmin","prec"
"MC001",2003,1,1,11.32,8.84,15
"MC001",2003,1,2,15.63,5.61,0
"MC001",2003,1,3,17.95,12.93,0
"MC001",2003,1,4,17.49,10.48,0
"MC001",2003,1,5,15.38,7.73,0
"MC001",2003,1,6,11,1.19,0
"MC001",2003,1,7,7.8,3.99,10.2
"MC001",2003,1,8,5.46,1.43,1.9
"MC001",2003,1,9,5.44,2.95,11.5
"MC001",2003,1,10,5.8,0.66,1.1
"MC001",2003,1,11,6.54,3.28,1
"MC001",2003,1,12,5.49,1.61,0
"MC001",2003,1,13,2.59,-2.39,0
"MC001",2003,1,14,6.03,-2.29,0
"MC001",2003,1,15,11.43,-0.77,0
"MC001",2003,1,16,13.14,1.1,0
"MC001",2003,1,17,10.7,3.77,0
"MC001",2003,1,18,6.53,4.14,0.8
"MC001",2003,1,19,7.46,3.04,1.1
"MC001",2003,1,20,10.99,0.92,0
"MC001",2003,1,21,12.16,4.9,0
"MC001",2003,1,22,14.35,7.65,1.9
"MC001",2003,1,23,13.09,4.91,0
"MC001",2003,1,24,13.03,5.14,1.5
"MC001",2003,1,25,11.07,7.76,0
"MC001",2003,1,26,10.3,5.03,0
"MC001",2003,1,27,8.4,6.11,0
"MC001",2003,1,28,12.82,1.43,0
"MC001",2003,1,29,17.8,4.71,0
"MC001",2003,1,30,13.19,1.04,1
"MC001",2003,1,31,9.2,1.24,0
"MC001",2003,2,1,8.99,5.27,1.6
"MC001",2003,2,2,5.51,1.5,1
"MC001",2003,2,3,7.97,-4.31,0
"MC001",2003,2,4,13.41,3.3,0
"MC001",2003,2,5,12.27,1.95,8.4
"MC001",2003,2,6,8.06,-1.62,0
"MC001",2003,2,7,8.13,-2.78,0
"MC001",2003,2,8,11.06,-3.88,0
"MC001",2003,2,9,11.48,1.71,3.6
"MC001",2003,2,10,7.84,-0.76,0
"MC001",2003,2,11,7.69,2.15,0
"MC001",2003,2,12,4.69,2.39,9.7
"MC001",2003,2,13,3.26,1,1
"MC001",2003,2,14,3.6,0.36,0
"MC001",2003,2,15,4.75,0.23,0
"MC001",2003,2,16,6.82,0.93,0
"MC001",2003,2,17,5.91,0.5,0
"MC001",2003,2,18,6.18,2.77,0
"MC001",2003,2,19,5.11,-1.38,0
"MC001",2003,2,20,7.2,-2.33,0
"MC001",2003,2,21,10.01,-1.89,0
"MC001",2003,2,22,10.99,-0.24,0
"MC001",2003,2,23,8.33,3.84,0
"MC001",2003,2,24,8.65,-2.84,0
"MC001",2003,2,25,10.97,-1.82,0
"MC001",2003,2,26,12.63,-2.04,0
"MC001",2003,2,27,12.75,-1.31,0
"MC001",2003,2,28,12.61,1.04,0
"MC001",2003,3,1,13.91,5.47,0
"MC001",2003,3,2,14.59,6.71,1.3
"MC001",2003,3,3,11.46,7.03,6.4
"MC001",2003,3,4,10.41,7.01,8.6
"MC001",2003,3,5,13.22,3.46,0
"MC001",2003,3,6,15.61,3.94,0
"MC001",2003,3,7,17.39,7.4,0
"MC001",2003,3,8,12.03,3.72,2.9
"MC001",2003,3,9,14.61,3.39,0
"MC001",2003,3,10,15.8,5.41,0
"MC001",2003,3,11,18.28,5.97,0
"MC001",2003,3,12,23.05,9.82,0
"MC001",2003,3,13,20.26,8.82,2
"MC001",2003,3,14,14.17,4.51,0
"MC001",2003,3,15,9.89,1.69,0
"MC001",2003,3,16,9.57,5.6,0
"MC001",2003,3,17,10.37,4.2,0
"MC001",2003,3,18,13.08,2.7,0
"MC001",2003,3,19,14.28,2.38,0
"MC001",2003,3,20,15.02,2.02,0
"MC001",2003,3,21,16.91,3.81,0
"MC001",2003,3,22,13.66,2.52,0
"MC001",2003,3,23,12.28,0.54,0
"MC001",2003,3,24,12.71,0.3,0
"MC001",2003,3,25,17.2,4.51,0
"MC001",2003,3,26,19.65,6.8,0
"MC001",2003,3,27,20.23,7.14,0
"MC001",2003,3,28,20.49,6.94,0
"MC001",2003,3,29,18.97,6.37,0
"MC001",2003,3,30,17.28,6.62,0
"MC001",2003,3,31,17.61,7.97,0
"MC001",2003,4,1,18.16,9.3,0
"MC001",2003,4,2,20.54,5.52,0
"MC001",2003,4,3,18.24,9.29,0
"MC001",2003,4,4,12.67,7.69,1.2
"MC001",2003,4,5,11.37,5.52,0
"MC001",2003,4,6,14.34,3.06,0
"MC001",2003,4,7,11.13,-0.04,4
"MC001",2003,4,8,8.67,-0.73,0
"MC001",2003,4,9,12.56,0.26,0
"MC001",2003,4,10,14.61,4.44,0
"MC001",2003,4,11,17.2,5.78,2.2
"MC001",2003,4,12,18.62,8.37,1.5
"MC001",2003,4,13,15.6,6.69,14
"MC001",2003,4,14,16.36,6.27,0
"MC001",2003,4,15,18.69,7.15,0
"MC001",2003,4,16,16.94,7.52,0
"MC001",2003,4,17,19.28,8.8,0
"MC001",2003,4,18,20.23,8.65,0
"MC001",2003,4,19,20.55,6.98,0
"MC001",2003,4,20,20.22,8.71,0
"MC001",2003,4,21,18.09,9.53,0.8
"MC001",2003,4,22,17.32,8.21,0.7
"MC001",2003,4,23,20.18,8.13,0
"MC001",2003,4,24,22.28,10.9,0
"MC001",2003,4,25,22.48,9.34,0
"MC001",2003,4,26,24.72,11.38,0
"MC001",2003,4,27,24.65,13.51,2.7
"MC001",2003,4,28,22.28,12.13,0
"MC001",2003,4,29,23.88,10.96,0
"MC001",2003,4,30,24.34,11.44,0
"MC001",2003,5,1,24.27,13.8,0
"MC001",2003,5,2,26.35,15.15,0
"MC001",2003,5,3,25.52,15.09,0
"MC001",2003,5,4,24.89,11.79,0
"MC001",2003,5,5,25.62,11.97,0
"MC001",2003,5,6,27.33,12.96,0
