"site","year","month","day","tmax","tmin","prec"
"MT004",2003,1,1,13.05,7.41,6.4
"MT004",2003,1,2,15.44,6.39,0
"MT004",2003,1,3,17.95,12.11,0
"MT004",2003,1,4,17.89,12.21,1.2
"MT004",2003,1,5,14.52,9.38,11.8
"MT004",2003,1,6,12.69,6.95,0
"MT004",2003,1,7,12.81,8.22,12.1
"MT004",2003,1,8,12.53,6.62,0
"MT004",2003,1,9,11.9,9.12,13.9
"MT004",2003,1,10,13.38,7.24,3.2
"MT004",2003,1,11,10.86,4.76,11.4
"MT004",2003,1,12,5.7,3.74,0
"MT004",2003,1,13,5.66,2.02,0
"MT004",2003,1,14,10.02,1.5,0
"MT004",2003,1,15,13.36,2.35,0
"MT004",2003,1,16,13.18,4.14,0
"MT004",2003,1,17,10.5,4.46,2.9
"MT004",2003,1,18,13.36,8.05,8.8
"MT004",2003,1,19,11.69,5.6,0
"MT004",2003,1,20,13.23,3.79,0
"MT004",2003,1,21,13.35,3.92,0
"MT004",2003,1,22,16.18,8.12,5.5
"MT004",2003,1,23,13.89,7.76,5.6
"MT004",2003,1,24,9.98,7.43,17.6
"MT004",2003,1,25,10.67,6.92,9
"MT004",2003,1,26,12.27,6.64,6.1
"MT004",2003,1,27,10.14,5.25,0
"MT004",2003,1,28,12.31,4.06,0
"MT004",2003,1,29,14.18,5.66,6.3
"MT004",2003,1,30,10.26,4.43,6.2
"MT004",2003,1,31,9.58,4.15,5.2
"MT004",2003,2,1,8.3,2.79,0
"MT004",2003,2,2,5.74,0.64,0
"MT004",2003,2,3,6.79,-0.39,0
"MT004",2003,2,4,11.49,4.92,34.8
"MT004",2003,2,5,6.96,2.17,6
"MT004",2003,2,6,7.14,-0.21,0
"MT004",2003,2,7,6.52,0.98,0
"MT004",2003,2,8,8.17,-1.21,0
"MT004",2003,2,9,6.08,1.08,3.1
"MT004",2003,2,10,6.37,2.37,0
"MT004",2003,2,11,7.02,1.35,0
"MT004",2003,2,12,6.96,-0.39,0
"MT004",2003,2,13,6.64,0.46,0
"MT004",2003,2,14,7.89,0.77,0
"MT004",2003,2,15,8.16,1.55,0
"MT004",2003,2,16,8.02,2.76,0
"MT004",2003,2,17,8.23,1.49,0
"MT004",2003,2,18,6.03,0.13,0
"MT004",2003,2,19,6.32,-0.7,0
"MT004",2003,2,20,7.56,0.02,0
"MT004",2003,2,21,9.22,-0.76,0
"MT004",2003,2,22,8.97,0.78,0
"MT004",2003,2,23,8.84,1.6,0
"MT004",2003,2,24,9.64,0.09,0
"MT004",2003,2,25,10.52,-0.68,0
"MT004",2003,2,26,11.98,0.55,0
"MT004",2003,2,27,12.1,2.85,0
"MT004",2003,2,28,13.12,4.78,0
"MT004",2003,3,1,14,2.81,0
"MT004",2003,3,2,12.39,6.48,3.5
"MT004",2003,3,3,13.44,5.85,5.4
"MT004",2003,3,4,11.9,5.36,1.6
"MT004",2003,3,5,13.94,4.57,0
"MT004",2003,3,6,13.72,2.92,0
"MT004",2003,3,7,12.87,4.58,1.4
"MT004",2003,3,8,14.02,6.07,0
"MT004",2003,3,9,14.59,3.21,0
"MT004",2003,3,10,16.34,4,0
"MT004",2003,3,11,17.92,5.82,0
"MT004",2003,3,12,18.7,6.75,0
"MT004",2003,3,13,18.07,8.13,0
"MT004",2003,3,14,10.64,4.64,0
"MT004",2003,3,15,9.39,1.36,0
"MT004",2003,3,16,8.56,0.01,2.2
"MT004",2003,3,17,10.56,5.57,0
"MT004",2003,3,18,13.47,3.59,0
"MT004",2003,3,19,12.36,2.17,0
"MT004",2003,3,20,13.52,2.14,0
"MT004",2003,3,21,15.11,2.95,0
"MT004",2003,3,22,12.46,3.82,0
"MT004",2003,3,23,10,1.81,0
