"site","year","month","day","tmax","tmin","prec"
"NO001",2003,1,1,7.03,3.45,0
"NO001",2003,1,2,6.86,1.21,1.2
"NO001",2003,1,3,13.89,1.62,0
"NO001",2003,1,4,5.86,2.64,0
"NO001",2003,1,5,7.86,0.65,0
"NO001",2003,1,6,4.82,-1.1,0
"NO001",2003,1,7,7.27,-1.28,0
"NO001",2003,1,8,3.08,0.08,0
"NO001",2003,1,9,5.81,-0.03,0
"NO001",2003,1,10,3.83,-0.64,0
"NO001",2003,1,11,4.7,0.9,0
"NO001",2003,1,12,3.58,-2.66,0
"NO001",2003,1,13,4.33,-4.39,0
"NO001",2003,1,14,8.06,-2.86,0
"NO001",2003,1,15,8.78,-1.85,0
"NO001",2003,1,16,9.73,1.81,0
"NO001",2003,1,17,5.4,-0.24,0
"NO001",2003,1,18,7.43,0,0
"NO001",2003,1,19,7.92,-2.49,0
"NO001",2003,1,20,8.18,-0.89,0
"NO001",2003,1,21,3.85,2.21,16.9
"NO001",2003,1,22,5.28,0.31,0
"NO001",2003,1,23,7.79,0.17,0
"NO001",2003,1,24,12.92,0.48,0
"NO001",2003,1,25,11.07,-0.15,0
"NO001",2003,1,26,8.49,-0.16,0
"NO001",2003,1,27,9.75,-0.65,0
"NO001",2003,1,28,17.16,-0.86,0
"NO001",2003,1,29,12.61,0.06,0
"NO001",2003,1,30,9.2,-1.68,0
"NO001",2003,1,31,8.05,-1.77,0
"NO001",2003,2,1,7.91,-2.21,0
"NO001",2003,2,2,5.7,-4.16,0
"NO001",2003,2,3,3.65,-4.43,0
"NO001",2003,2,4,7.32,-0.19,0
"NO001",2003,2,5,9.93,0.23,0
"NO001",2003,2,6,10.05,0.76,0
"NO001",2003,2,7,8.92,-3.71,0
"NO001",2003,2,8,9.67,-3.63,0
"NO001",2003,2,9,4.9,-1.94,0
"NO001",2003,2,10,4.76,-3.74,0
"NO001",2003,2,11,5.54,-3.85,0
"NO001",2003,2,12,3.5,-2.62,0
"NO001",2003,2,13,4.41,-3.06,0
"NO001",2003,2,14,4.91,-2.67,0
"NO001",2003,2,15,7.66,-3.84,0
"NO001",2003,2,16,4.23,-2.26,0
"NO001",2003,2,17,6.06,-3.07,0
