"site","year","month","day","tmax","tmin","prec"
"NU007",2003,1,1,16.18,10.6,1.9
"NU007",2003,1,2,17.19,10.97,0
"NU007",2003,1,3,20.19,14.77,0
"NU007",2003,1,4,17.5,14.66,0
"NU007",2003,1,5,13.81,9.25,1.3
"NU007",2003,1,6,11.68,5.59,0
"NU007",2003,1,7,10.27,7.26,13.5
"NU007",2003,1,8,11.59,8.55,2.9
"NU007",2003,1,9,11.95,10.68,15.5
"NU007",2003,1,10,11.4,5.29,0
"NU007",2003,1,11,9.4,5.41,11.6
"NU007",2003,1,12,7.71,4.13,1.1
"NU007",2003,1,13,7.99,3.42,0
"NU007",2003,1,14,10.4,2.57,0
"NU007",2003,1,15,12.11,3.87,0
"NU007",2003,1,16,11.77,4.87,0
"NU007",2003,1,17,11.26,7.72,15.9
"NU007",2003,1,18,13.89,8.28,49.5
"NU007",2003,1,19,12.21,5.74,0
"NU007",2003,1,20,14.88,8.1,0
"NU007",2003,1,21,13.5,5.36,0
"NU007",2003,1,22,15.14,7.52,4.2
"NU007",2003,1,23,12.28,8.86,1.5
"NU007",2003,1,24,10.22,5.7,6.4
"NU007",2003,1,25,9.66,6.91,14.4
"NU007",2003,1,26,10.12,7.03,4.7
"NU007",2003,1,27,11.66,6.02,0
"NU007",2003,1,28,15.79,3.06,0
"NU007",2003,1,29,11.67,6.2,0
"NU007",2003,1,30,7.54,4.93,3.4
"NU007",2003,1,31,7.9,1.47,10.1
"NU007",2003,2,1,7.05,3.96,4
"NU007",2003,2,2,8.2,3.13,0
"NU007",2003,2,3,13.54,4.91,0
"NU007",2003,2,4,13.02,9.31,0
"NU007",2003,2,5,7.06,1.49,7.6
"NU007",2003,2,6,7.57,2.52,1.9
"NU007",2003,2,7,9.86,1.16,0
"NU007",2003,2,8,11.62,3.15,0
"NU007",2003,2,9,10.1,3.75,0
"NU007",2003,2,10,8.74,2.8,2.5
"NU007",2003,2,11,10.05,1.55,0
"NU007",2003,2,12,8.34,2.63,0
"NU007",2003,2,13,7.24,3.12,0
"NU007",2003,2,14,7.41,1.59,0
"NU007",2003,2,15,9.32,2.19,0
"NU007",2003,2,16,9.39,3.77,0
"NU007",2003,2,17,9.14,1.3,0
"NU007",2003,2,18,7.48,4.07,41.2
"NU007",2003,2,19,7.9,2.18,8.1
"NU007",2003,2,20,7,5,0
"NU007",2003,2,21,9.83,6.04,18.8
"NU007",2003,2,22,11,5.34,9.8
"NU007",2003,2,23,10.72,6.19,0
"NU007",2003,2,24,13.61,6.23,0
"NU007",2003,2,25,11.31,7.26,0
"NU007",2003,2,26,12.45,8.55,2.5
"NU007",2003,2,27,12.11,10,40.7
"NU007",2003,2,28,13.72,10.76,89.6
"NU007",2003,3,1,12.65,8.22,0
"NU007",2003,3,2,15.96,9.38,0
"NU007",2003,3,3,15.01,10.86,0
"NU007",2003,3,4,12.83,6.18,0
"NU007",2003,3,5,14.24,7.17,0
"NU007",2003,3,6,14.64,5.48,0
"NU007",2003,3,7,14.68,9.99,0
"NU007",2003,3,8,15.9,7.32,0
"NU007",2003,3,9,14.58,8.56,0
"NU007",2003,3,10,16.04,8.13,0
"NU007",2003,3,11,18.68,7.9,0
"NU007",2003,3,12,18.76,8.01,0
"NU007",2003,3,13,15.46,8.96,0
"NU007",2003,3,14,16.69,7.92,0
"NU007",2003,3,15,15.11,7.31,10.1
"NU007",2003,3,16,12.83,5.78,6.5
"NU007",2003,3,17,10.96,6.19,2.6
"NU007",2003,3,18,12.72,4.95,0
"NU007",2003,3,19,13.59,5.29,0
"NU007",2003,3,20,20.19,5.75,0
"NU007",2003,3,21,16.59,7.67,0
"NU007",2003,3,22,15.18,7.11,0
"NU007",2003,3,23,12.81,6.75,0
"NU007",2003,3,24,14.29,5.56,0
"NU007",2003,3,25,15.43,6.97,0
"NU007",2003,3,26,12.45,6.71,0
"NU007",2003,3,27,17.32,2.45,0
"NU007",2003,3,28,12.45,7.47,0
"NU007",2003,3,29,14.12,10.85,4.1
"NU007",2003,3,30,13.93,10.08,20.9
