"site","year","month","day","tmax","tmin","prec"
"OR005",2003,1,1,15.9,10.1,1.2
"OR005",2003,1,2,17.16,9.63,0
"OR005",2003,1,3,16.95,13.09,0
"OR005",2003,1,4,16.97,10.76,0
"OR005",2003,1,5,13.79,8.14,7.6
"OR005",2003,1,6,14.55,6.19,1.6
"OR005",2003,1,7,12.8,10.21,16.7
"OR005",2003,1,8,14.27,9.85,10.6
"OR005",2003,1,9,12.19,9.93,16.3
"OR005",2003,1,10,11.45,3.35,3.3
"OR005",2003,1,11,11,5.72,1.5
"OR005",2003,1,12,10.51,4.68,0
"OR005",2003,1,13,10.13,2.85,0
"OR005",2003,1,14,11.88,1.55,0
"OR005",2003,1,15,12.14,2.17,0
"OR005",2003,1,16,11.97,6.61,0
"OR005",2003,1,17,12.2,9.2,7.5
"OR005",2003,1,18,13.21,6.61,4.4
"OR005",2003,1,19,12.37,4.71,0.6
"OR005",2003,1,20,14.42,7.57,3.4
"OR005",2003,1,21,13.22,6.58,0
"OR005",2003,1,22,15.41,9.29,9.6
"OR005",2003,1,23,12.6,8.68,6.2
"OR005",2003,1,24,12.35,7.37,7.6
"OR005",2003,1,25,11.61,8.07,0
"OR005",2003,1,26,13.07,5.89,0
"OR005",2003,1,27,13.43,3.59,0
"OR005",2003,1,28,14.6,4.68,0
"OR005",2003,1,29,13.27,7.23,0
"OR005",2003,1,30,10.41,5.06,8.3
"OR005",2003,1,31,10.15,2.87,16.4
"OR005",2003,2,1,10.36,5.61,1.8
"OR005",2003,2,2,11.49,4.81,7.2
"OR005",2003,2,3,14.6,6.61,4.3
"OR005",2003,2,4,15.56,7.34,0
"OR005",2003,2,5,10.25,5.61,4
"OR005",2003,2,6,11.06,3.22,6.8
"OR005",2003,2,7,12.71,-0.07,1.8
"OR005",2003,2,8,12.9,0.08,0
"OR005",2003,2,9,12.16,2.94,0
"OR005",2003,2,10,12.29,4.01,0.9
"OR005",2003,2,11,11.45,1.55,0
"OR005",2003,2,12,12.57,3.07,2.8
"OR005",2003,2,13,10.51,4.71,1.7
"OR005",2003,2,14,11.96,1.87,0
"OR005",2003,2,15,12.3,1.23,0
"OR005",2003,2,16,12.64,3.12,0
"OR005",2003,2,17,11.76,2.16,0
"OR005",2003,2,18,8.59,3.1,25.9
"OR005",2003,2,19,10.87,2.76,3.4
"OR005",2003,2,20,10.5,6.85,0
"OR005",2003,2,21,13.56,6.91,5.4
"OR005",2003,2,22,13,4.75,0
"OR005",2003,2,23,13.15,4.29,0
"OR005",2003,2,24,13.49,4.82,0
"OR005",2003,2,25,12.51,7.74,0
"OR005",2003,2,26,11.78,8.76,0
"OR005",2003,2,27,13.81,9.83,17.8
"OR005",2003,2,28,14.06,9.05,37.7
"OR005",2003,3,1,14.37,5.84,0
"OR005",2003,3,2,17.6,7.96,0
"OR005",2003,3,3,15.9,8.33,0
"OR005",2003,3,4,16.42,7.83,0
"OR005",2003,3,5,15.55,5.1,0
"OR005",2003,3,6,16.03,6.07,0
"OR005",2003,3,7,16.03,9.27,0
"OR005",2003,3,8,16.35,5.92,0
"OR005",2003,3,9,16.18,7.67,0
"OR005",2003,3,10,15.79,6.43,0
"OR005",2003,3,11,17.63,5.57,0
"OR005",2003,3,12,18.2,4.5,0
"OR005",2003,3,13,19.23,8.03,0
"OR005",2003,3,14,17.64,6.87,0
"OR005",2003,3,15,13.32,9.21,1.2
"OR005",2003,3,16,12.68,4.54,3.4
"OR005",2003,3,17,12.89,4.4,0
"OR005",2003,3,18,14.87,2.71,0
"OR005",2003,3,19,14.91,4.17,0
"OR005",2003,3,20,14.06,3.96,0
"OR005",2003,3,21,17.77,5.29,0
"OR005",2003,3,22,16.51,5.11,0
"OR005",2003,3,23,15.7,5.97,0
"OR005",2003,3,24,15.11,4.05,0
"OR005",2003,3,25,16.11,3.25,0
"OR005",2003,3,26,16.21,4.24,0
"OR005",2003,3,27,16.3,5.11,0
"OR005",2003,3,28,18.28,8.06,0
"OR005",2003,3,29,18.56,10.59,2.4
"OR005",2003,3,30,16.29,9.49,0
"OR005",2003,3,31,17.87,11.94,4.2
"OR005",2003,4,1,19.09,11.87,1.6
"OR005",2003,4,2,18.15,8.71,0
"OR005",2003,4,3,13.52,7.82,14.9
"OR005",2003,4,4,16.65,10.16,2.2
"OR005",2003,4,5,16.79,7.15,0
"OR005",2003,4,6,16.54,8.75,0
"OR005",2003,4,7,12.58,9,0
"OR005",2003,4,8,13.3,6.35,1.6
"OR005",2003,4,9,17.47,6.96,0
"OR005",2003,4,10,18.02,7.85,0
"OR005",2003,4,11,18.32,6,0
"OR005",2003,4,12,20.08,11.48,0
"OR005",2003,4,13,17.74,9.11,0
"OR005",2003,4,14,19.48,8.23,0
"OR005",2003,4,15,18.73,12.01,0
"OR005",2003,4,16,17.31,12.14,0
"OR005",2003,4,17,20.03,10.55,0
"OR005",2003,4,18,20.85,9.64,0
"OR005",2003,4,19,18.66,8.03,0
"OR005",2003,4,20,18.48,11.73,2.2
"OR005",2003,4,21,19.95,10.57,1.3
"OR005",2003,4,22,18.65,8.02,0
"OR005",2003,4,23,18.88,8.4,0
"OR005",2003,4,24,21.04,9.91,0
"OR005",2003,4,25,20.3,9.7,0
"OR005",2003,4,26,21.9,11.07,0
"OR005",2003,4,27,21.19,12.66,0
"OR005",2003,4,28,22.7,10.02,0
"OR005",2003,4,29,22.3,13.84,0
"OR005",2003,4,30,25.14,15.78,0
"OR005",2003,5,1,21.75,14.58,0
"OR005",2003,5,2,23.75,15.2,0
"OR005",2003,5,3,22.69,15.02,0
"OR005",2003,5,4,23.61,15.88,0
"OR005",2003,5,5,26.24,16.52,0
"OR005",2003,5,6,25.5,16.72,0
"OR005",2003,5,7,22.25,17.1,0
"OR005",2003,5,8,26.25,13.83,0
"OR005",2003,5,9,25.71,16.23,0
"OR005",2003,5,10,24.81,17.32,0
"OR005",2003,5,11,23.35,15.05,0
"OR005",2003,5,12,24.77,15.09,0
"OR005",2003,5,13,24.87,15.09,0
"OR005",2003,5,14,21.29,14.36,0
"OR005",2003,5,15,22.1,13.76,0
"OR005",2003,5,16,21.62,11.88,0
"OR005",2003,5,17,21.88,15.17,0
"OR005",2003,5,18,23.78,15.01,0
