"site","year","month","day","tmax","tmin","prec"
"PU002",2003,1,1,12.66,8.29,11.4
"PU002",2003,1,2,10.9,5.43,0
"PU002",2003,1,3,17.27,7.72,0
"PU002",2003,1,4,14.84,9.17,0
"PU002",2003,1,5,16.22,7.06,0
"PU002",2003,1,6,13.57,2.72,0
"PU002",2003,1,7,10.05,3.01,21.9
"PU002",2003,1,8,5.08,1.43,12.8
"PU002",2003,1,9,7.39,1.33,16.1
"PU002",2003,1,10,2.82,0.25,2.6
"PU002",2003,1,11,4.61,2.04,0
"PU002",2003,1,12,5.73,1.65,0
"PU002",2003,1,13,3.35,-2.25,0
"PU002",2003,1,14,6.04,-3.07,0
"PU002",2003,1,15,8.78,0.51,0
"PU002",2003,1,16,10.32,2.01,0
"PU002",2003,1,17,12.24,4.19,0
"PU002",2003,1,18,6.97,3.84,1.2
"PU002",2003,1,19,8.14,3.7,0
"PU002",2003,1,20,10.5,0.86,0
"PU002",2003,1,21,10.18,5.37,0
"PU002",2003,1,22,14.48,5.92,0
"PU002",2003,1,23,11.76,3.79,0
"PU002",2003,1,24,7.86,4.54,0
"PU002",2003,1,25,10.22,5.86,0
"PU002",2003,1,26,11.26,4.7,0
"PU002",2003,1,27,8.89,3.68,0
"PU002",2003,1,28,9.93,1.22,0
"PU002",2003,1,29,14.18,3.75,0
"PU002",2003,1,30,12.23,0.14,2
"PU002",2003,1,31,12.93,1.05,0
"PU002",2003,2,1,8.85,3.91,0
"PU002",2003,2,2,7.26,-0.57,0
"PU002",2003,2,3,6.72,-4.13,0
"PU002",2003,2,4,12.46,2.47,4.4
"PU002",2003,2,5,10.24,2.63,9.3
"PU002",2003,2,6,9.77,0.5,0
"PU002",2003,2,7,9.8,0,0
"PU002",2003,2,8,11.04,-1.63,0
"PU002",2003,2,9,11.57,2.93,3.1
"PU002",2003,2,10,8.7,-0.15,0
"PU002",2003,2,11,7.66,1.03,0
"PU002",2003,2,12,7.09,2.41,0
"PU002",2003,2,13,5.96,0.24,0
"PU002",2003,2,14,5.44,0.28,0
"PU002",2003,2,15,4.36,-2.13,0
"PU002",2003,2,16,7.05,0.97,1.5
"PU002",2003,2,17,5.96,0.73,0
"PU002",2003,2,18,5.49,0.92,0
"PU002",2003,2,19,5.81,-1.21,0
"PU002",2003,2,20,7.6,-1.45,0
"PU002",2003,2,21,9.08,-1.29,0
"PU002",2003,2,22,10.34,1.01,0
"PU002",2003,2,23,9.07,3.06,0
"PU002",2003,2,24,9.13,-1.45,0
"PU002",2003,2,25,10.48,-0.57,0
"PU002",2003,2,26,11.94,0.75,0
"PU002",2003,2,27,11.64,-0.75,0
"PU002",2003,2,28,11.54,2.05,0
"PU002",2003,3,1,12.38,4.87,0
"PU002",2003,3,2,13.97,7.28,4
"PU002",2003,3,3,13.98,7.56,19.8
"PU002",2003,3,4,10.5,7.52,7.2
"PU002",2003,3,5,13.18,3.93,0
"PU002",2003,3,6,14.53,4.73,0
"PU002",2003,3,7,16.08,7.66,0
"PU002",2003,3,8,11.57,4.63,0
"PU002",2003,3,9,14.77,4.46,0
"PU002",2003,3,10,14.58,5.26,0
"PU002",2003,3,11,17.14,5.92,0
"PU002",2003,3,12,18.58,8.22,0
"PU002",2003,3,13,19.14,9.34,1.1
"PU002",2003,3,14,15.34,6.82,0
"PU002",2003,3,15,10.78,4.94,0
"PU002",2003,3,16,8.89,5.3,0
"PU002",2003,3,17,10.51,7.3,0
"PU002",2003,3,18,12.69,4.59,0
"PU002",2003,3,19,14.17,4.97,0
"PU002",2003,3,20,14.67,3.2,0
"PU002",2003,3,21,16.05,4.66,0
"PU002",2003,3,22,15.97,3.44,0
"PU002",2003,3,23,13.47,4.44,0
"PU002",2003,3,24,11.26,2.25,0
"PU002",2003,3,25,15.8,4.68,0
"PU002",2003,3,26,18.38,7.01,0
"PU002",2003,3,27,20.14,6.82,0
"PU002",2003,3,28,19.11,7.86,0
"PU002",2003,3,29,18.33,8.63,0
"PU002",2003,3,30,16.86,7.9,0
"PU002",2003,3,31,16.53,10.17,0
"PU002",2003,4,1,16.93,11.12,0
"PU002",2003,4,2,17.94,5.55,0
"PU002",2003,4,3,22.32,8.53,8.1
"PU002",2003,4,4,10.89,8.58,4.9
"PU002",2003,4,5,10.68,6.68,0
"PU002",2003,4,6,15.01,3.81,0
"PU002",2003,4,7,14.26,2.42,2
"PU002",2003,4,8,9.04,-0.36,0
"PU002",2003,4,9,12.51,3.16,0
"PU002",2003,4,10,14.65,5.84,0
"PU002",2003,4,11,13.83,6.63,5.7
"PU002",2003,4,12,17.65,10.11,7.3
"PU002",2003,4,13,16.97,8.48,8.3
"PU002",2003,4,14,16.24,5.97,0
"PU002",2003,4,15,17.65,7.47,0
"PU002",2003,4,16,17.18,8.7,0
"PU002",2003,4,17,18.19,9.45,0
"PU002",2003,4,18,19.27,10.52,0
"PU002",2003,4,19,19.46,7.13,0
"PU002",2003,4,20,20.61,10.3,0
"PU002",2003,4,21,18.37,11.33,3.2
"PU002",2003,4,22,16.75,9.84,0
"PU002",2003,4,23,19.63,7.13,0
"PU002",2003,4,24,20.86,10.59,0
"PU002",2003,4,25,21.87,10.46,0
"PU002",2003,4,26,21.92,11.94,0
"PU002",2003,4,27,26.53,14.2,3.8
"PU002",2003,4,28,20.02,12.3,0
"PU002",2003,4,29,22.45,11.49,0
"PU002",2003,4,30,23.78,13.58,0
"PU002",2003,5,1,22.3,16.47,0
"PU002",2003,5,2,24.43,15.78,0
"PU002",2003,5,3,23.67,16.77,0
"PU002",2003,5,4,23.78,12.3,0
"PU002",2003,5,5,23.45,11.38,0
"PU002",2003,5,6,24.81,12.59,0
"PU002",2003,5,7,24.25,14.38,0
"PU002",2003,5,8,26.1,16.91,0
"PU002",2003,5,9,28,17.11,0
"PU002",2003,5,10,28.39,17.43,0
"PU002",2003,5,11,23.94,15.12,0
"PU002",2003,5,12,23.68,13.57,0
"PU002",2003,5,13,25.37,16.17,0
"PU002",2003,5,14,27.92,15.01,0
"PU002",2003,5,15,25.73,12.52,0
"PU002",2003,5,16,19.42,8.54,0
"PU002",2003,5,17,20.88,9.46,0
"PU002",2003,5,18,22.66,14.12,0
"PU002",2003,5,19,24.85,11.46,0
"PU002",2003,5,20,26.67,17.79,0
"PU002",2003,5,21,24.07,12.18,11.3
"PU002",2003,5,22,18.81,9.33,0
"PU002",2003,5,23,22.98,11.7,0
"PU002",2003,5,24,23.56,10.81,0
"PU002",2003,5,25,25,14,0
"PU002",2003,5,26,25.69,14.93,0
"PU002",2003,5,27,26.96,14.79,0
"PU002",2003,5,28,25.76,17.6,0
"PU002",2003,5,29,26.81,17.4,0
"PU002",2003,5,30,26.66,17.37,0
"PU002",2003,5,31,26.84,16.93,0
"PU002",2003,6,1,28.39,18.07,0
"PU002",2003,6,2,26.08,17.29,0
"PU002",2003,6,3,26.62,19.33,0
"PU002",2003,6,4,26.83,16.5,0
"PU002",2003,6,5,26.5,16.42,0
"PU002",2003,6,6,28.22,20.15,0
"PU002",2003,6,7,30.07,19.72,0
"PU002",2003,6,8,29.86,18.39,0
"PU002",2003,6,9,31.19,19.39,0
"PU002",2003,6,10,32.57,20.51,0
"PU002",2003,6,11,33.46,20.47,0
"PU002",2003,6,12,33.67,20.28,0
"PU002",2003,6,13,34.65,21.44,0
"PU002",2003,6,14,33.91,22.65,0
"PU002",2003,6,15,33.48,22.82,0
"PU002",2003,6,16,32.96,23.02,0
"PU002",2003,6,17,32.71,21.15,0
"PU002",2003,6,18,31.23,19.71,0
"PU002",2003,6,19,29.77,20.77,0
"PU002",2003,6,20,30.47,18.39,0
"PU002",2003,6,21,31.88,21.9,0
"PU002",2003,6,22,32.86,21.73,0
"PU002",2003,6,23,31.27,22.31,0
"PU002",2003,6,24,34.92,23.15,0
"PU002",2003,6,25,34.59,24.07,0
"PU002",2003,6,26,34.69,23.97,0
"PU002",2003,6,27,33.9,21.53,0
"PU002",2003,6,28,29.89,21.34,0
"PU002",2003,6,29,30.58,21.26,0
"PU002",2003,6,30,28,19.46,0
"PU002",2003,7,1,30.78,23.69,0
"PU002",2003,7,2,36.72,24.15,0
"PU002",2003,7,3,33.36,22.08,0
"PU002",2003,7,4,34.02,21.05,0
"PU002",2003,7,5,30.81,15.5,0
"PU002",2003,7,6,27.87,16.8,0
"PU002",2003,7,7,27.69,18.7,0
"PU002",2003,7,8,30.83,18.18,0
"PU002",2003,7,9,31.01,19.08,0
"PU002",2003,7,10,32.21,19.96,0
"PU002",2003,7,11,30.85,21.58,0
"PU002",2003,7,12,32.28,20.3,0
"PU002",2003,7,13,34.11,22.21,0
"PU002",2003,7,14,35.11,23.1,0
"PU002",2003,7,15,26.38,20.5,0
"PU002",2003,7,16,27.85,20.85,0
"PU002",2003,7,17,33.17,26.2,0
"PU002",2003,7,18,35.19,23.29,0
"PU002",2003,7,19,31.72,21.63,0
"PU002",2003,7,20,30.45,19.51,0
"PU002",2003,7,21,31.96,20.42,0
"PU002",2003,7,22,33.28,25.05,0
"PU002",2003,7,23,33.41,24.58,0
"PU002",2003,7,24,36.66,22.69,0
"PU002",2003,7,25,32.08,21.33,0
"PU002",2003,7,26,31.83,21.51,0
"PU002",2003,7,27,32.4,22.15,0
"PU002",2003,7,28,32.45,25.47,0
"PU002",2003,7,29,32.63,21.2,0
"PU002",2003,7,30,31.05,22.96,0
"PU002",2003,7,31,29.84,18.01,0
"PU002",2003,8,1,30.21,20.44,0
