"site","year","month","day","tmax","tmin","prec"
"PZ000",2003,1,1,8.55,3.88,0
"PZ000",2003,1,2,9.91,5.08,0
"PZ000",2003,1,3,13.27,8.55,0
"PZ000",2003,1,4,13.55,10.2,1.8
"PZ000",2003,1,5,9.39,5.23,11.5
"PZ000",2003,1,6,7.82,3.95,4.7
"PZ000",2003,1,7,8.47,5.08,15
"PZ000",2003,1,8,8.24,4.11,0
"PZ000",2003,1,9,9.01,6.7,13.9
"PZ000",2003,1,10,7.85,4.02,0
"PZ000",2003,1,11,5.73,2.52,8.2
"PZ000",2003,1,12,2.17,-0.33,0
"PZ000",2003,1,13,2.57,-0.33,0
"PZ000",2003,1,14,7.19,-1.46,0
"PZ000",2003,1,15,11.14,1.03,0
"PZ000",2003,1,16,8.74,1.97,0
"PZ000",2003,1,17,8.01,3.17,1.8
"PZ000",2003,1,18,8.8,4.59,9.4
"PZ000",2003,1,19,8.48,2.66,0
"PZ000",2003,1,20,9.96,2.52,0
"PZ000",2003,1,21,9.92,1.68,6.2
"PZ000",2003,1,22,10.03,5.6,5.5
"PZ000",2003,1,23,9.49,4.45,5.5
"PZ000",2003,1,24,6.02,4.42,16.4
"PZ000",2003,1,25,7.57,3.63,5.6
"PZ000",2003,1,26,9.02,3.42,4.6
"PZ000",2003,1,27,6.3,2.19,0
"PZ000",2003,1,28,10.47,1.38,0
"PZ000",2003,1,29,9.78,2.54,10.2
"PZ000",2003,1,30,6.3,0.5,8.3
"PZ000",2003,1,31,4.69,1.02,5.3
"PZ000",2003,2,1,4.26,-0.98,0
"PZ000",2003,2,2,1.87,-1.38,0
"PZ000",2003,2,3,4.4,-2.53,1.9
"PZ000",2003,2,4,8.1,2.09,18.6
"PZ000",2003,2,5,1.65,-0.82,6.8
"PZ000",2003,2,6,2.77,-2.54,0
"PZ000",2003,2,7,2.46,-2.49,0
"PZ000",2003,2,8,4.52,-3.54,0
"PZ000",2003,2,9,2.27,-0.69,0
"PZ000",2003,2,10,3.18,-0.8,0
"PZ000",2003,2,11,2.07,-1.28,0
"PZ000",2003,2,12,1.77,-3.67,0
"PZ000",2003,2,13,3.27,-1.83,0
"PZ000",2003,2,14,3.91,-2.1,0
"PZ000",2003,2,15,4.55,-1.11,0
"PZ000",2003,2,16,5.24,-0.13,0
"PZ000",2003,2,17,3.01,-0.8,0
"PZ000",2003,2,18,1.75,-3.58,0
"PZ000",2003,2,19,1.22,-3.61,0
"PZ000",2003,2,20,3.8,-2.12,0
"PZ000",2003,2,21,6.37,-3.56,0
"PZ000",2003,2,22,6.03,-1.12,0
"PZ000",2003,2,23,5.44,-1.24,0
"PZ000",2003,2,24,5.68,-1.42,0
"PZ000",2003,2,25,7.34,-1.49,0
"PZ000",2003,2,26,10.04,-1.5,0
"PZ000",2003,2,27,9.36,0.63,0
"PZ000",2003,2,28,12.11,3.51,0
"PZ000",2003,3,1,10.49,2.79,0
"PZ000",2003,3,2,8.73,4.96,7
"PZ000",2003,3,3,9.72,4.36,7.3
"PZ000",2003,3,4,8.07,3.15,1.7
"PZ000",2003,3,5,9.37,4.15,0
"PZ000",2003,3,6,11.42,2.14,0
"PZ000",2003,3,7,9.41,3.2,0
"PZ000",2003,3,8,10.39,3.8,0
"PZ000",2003,3,9,11.25,2.53,0
"PZ000",2003,3,10,12.7,2.8,0
"PZ000",2003,3,11,15.52,5.17,0
"PZ000",2003,3,12,14.3,5.44,0
"PZ000",2003,3,13,11.91,4.82,0
"PZ000",2003,3,14,5.73,1.55,0
"PZ000",2003,3,15,6.42,-1.11,0
"PZ000",2003,3,16,4.3,-1.68,0
"PZ000",2003,3,17,6.49,1.45,0
"PZ000",2003,3,18,8.66,1.36,0
"PZ000",2003,3,19,7.65,0.9,0
"PZ000",2003,3,20,8.63,0.49,0
"PZ000",2003,3,21,11.93,1.55,0
"PZ000",2003,3,22,10.05,1.38,0
"PZ000",2003,3,23,7.63,-0.42,0
"PZ000",2003,3,24,11.55,0.57,0
"PZ000",2003,3,25,15.41,4.78,0
"PZ000",2003,3,26,16.28,3.82,0
"PZ000",2003,3,27,15.86,4.93,0
"PZ000",2003,3,28,16.76,5.69,0
"PZ000",2003,3,29,14.18,6.41,0
"PZ000",2003,3,30,13.06,5.35,0
"PZ000",2003,3,31,14.73,7.16,0
"PZ000",2003,4,1,13.88,5.71,0
"PZ000",2003,4,2,13.35,3.17,0
"PZ000",2003,4,3,14.22,5.68,2
"PZ000",2003,4,4,12.55,6.65,14.2
"PZ000",2003,4,5,13.54,4.99,7
"PZ000",2003,4,6,12.01,2.31,3.5
"PZ000",2003,4,7,2.93,-2.02,2.2
"PZ000",2003,4,8,4.5,-4.64,0
"PZ000",2003,4,9,5.61,-2.4,2.6
"PZ000",2003,4,10,16.53,2.96,0
"PZ000",2003,4,11,14.92,8.37,0
"PZ000",2003,4,12,13.33,5.21,0
"PZ000",2003,4,13,13.92,5.58,0
"PZ000",2003,4,14,14,4.73,0
"PZ000",2003,4,15,14.41,4.78,0
"PZ000",2003,4,16,14.85,5.78,0
"PZ000",2003,4,17,15.7,7.94,0
"PZ000",2003,4,18,12.03,6.71,0
"PZ000",2003,4,19,15.02,4.41,0
"PZ000",2003,4,20,13.98,4.89,2
"PZ000",2003,4,21,10.94,7.38,12.9
"PZ000",2003,4,22,11.73,6.65,0
"PZ000",2003,4,23,13.81,5.2,0
"PZ000",2003,4,24,16.02,6.37,0
"PZ000",2003,4,25,15.97,7.49,0
"PZ000",2003,4,26,16.49,5.83,0
"PZ000",2003,4,27,16.56,8.19,0
"PZ000",2003,4,28,19.93,8.34,0
"PZ000",2003,4,29,22.17,9.51,0
"PZ000",2003,4,30,24.64,12.72,0
"PZ000",2003,5,1,22.6,13.3,0
"PZ000",2003,5,2,24.99,13.49,0
"PZ000",2003,5,3,22.7,13.78,0
"PZ000",2003,5,4,23.61,12.95,0
"PZ000",2003,5,5,27.29,13.37,0
"PZ000",2003,5,6,27.19,14.22,0
"PZ000",2003,5,7,27.72,14.56,0
"PZ000",2003,5,8,26.83,14.78,0
"PZ000",2003,5,9,27.27,15.42,0
"PZ000",2003,5,10,24.81,14.78,0
"PZ000",2003,5,11,24.09,15.39,0
"PZ000",2003,5,12,24.71,12.96,0
"PZ000",2003,5,13,23.15,12.73,0
"PZ000",2003,5,14,20.69,12.43,0
"PZ000",2003,5,15,20.27,11.42,0
"PZ000",2003,5,16,20.86,10.91,0
"PZ000",2003,5,17,20.84,9.38,0
"PZ000",2003,5,18,19.69,11.72,0
"PZ000",2003,5,19,24.35,11.13,0
"PZ000",2003,5,20,21.42,13.03,0
"PZ000",2003,5,21,18.39,11.13,3.9
"PZ000",2003,5,22,13.67,8.7,2.7
"PZ000",2003,5,23,17.35,9.95,0
"PZ000",2003,5,24,20.45,11.88,0
"PZ000",2003,5,25,20.19,10.65,0
"PZ000",2003,5,26,22.19,12.16,0
"PZ000",2003,5,27,21.82,13.17,5.4
"PZ000",2003,5,28,21.32,12.16,11.6
"PZ000",2003,5,29,21.89,13.15,6.4
"PZ000",2003,5,30,24.8,14.13,7.2
"PZ000",2003,5,31,22.58,14,3.3
"PZ000",2003,6,1,22.41,12.46,0
"PZ000",2003,6,2,23.07,12.78,0
"PZ000",2003,6,3,24,13.87,6.5
"PZ000",2003,6,4,23.44,13.52,0
"PZ000",2003,6,5,25.13,13.55,0
"PZ000",2003,6,6,26.19,14.76,0
"PZ000",2003,6,7,25.09,15.24,0
"PZ000",2003,6,8,25.29,15.08,0
"PZ000",2003,6,9,26.96,15.41,0
"PZ000",2003,6,10,27.39,16.36,0
"PZ000",2003,6,11,28.79,17.29,0
"PZ000",2003,6,12,30.06,18.54,0
"PZ000",2003,6,13,30.13,17.87,0
"PZ000",2003,6,14,28.69,18.33,0
"PZ000",2003,6,15,28.96,18.26,0
"PZ000",2003,6,16,28.45,18.23,6.5
"PZ000",2003,6,17,29.28,16.86,0
"PZ000",2003,6,18,26.25,17.08,0
"PZ000",2003,6,19,23.03,15.13,11.6
"PZ000",2003,6,20,25.24,15.4,0
"PZ000",2003,6,21,26.16,15.72,0
"PZ000",2003,6,22,27.1,17.38,0
"PZ000",2003,6,23,29.59,17.65,0
"PZ000",2003,6,24,29.55,18.77,0
"PZ000",2003,6,25,30.27,18.95,0
"PZ000",2003,6,26,30.24,19.75,0
"PZ000",2003,6,27,30.7,18.55,0
"PZ000",2003,6,28,28.2,19.61,0
"PZ000",2003,6,29,28.87,19.1,0
"PZ000",2003,6,30,30.97,17.56,0
"PZ000",2003,7,1,29.88,19.93,0
"PZ000",2003,7,2,26.87,18.92,0
"PZ000",2003,7,3,26.59,17.39,0
"PZ000",2003,7,4,27.48,17.54,0
"PZ000",2003,7,5,25.41,16.2,0
"PZ000",2003,7,6,26.09,15.16,0
"PZ000",2003,7,7,27.35,15.64,0
"PZ000",2003,7,8,26.53,16.18,0
"PZ000",2003,7,9,27.51,16.38,0
"PZ000",2003,7,10,26.48,16.51,7.7
"PZ000",2003,7,11,26.11,16.31,7.1
"PZ000",2003,7,12,28.3,16.34,0
"PZ000",2003,7,13,28.63,16.96,0
"PZ000",2003,7,14,28.29,18.23,6.1
"PZ000",2003,7,15,29.69,16.85,0
"PZ000",2003,7,16,30.51,18.81,0
"PZ000",2003,7,17,31.31,22.22,0
"PZ000",2003,7,18,30.18,19.43,0
"PZ000",2003,7,19,28.99,19.41,0
"PZ000",2003,7,20,28.86,18.96,0
"PZ000",2003,7,21,29.45,19.3,0
"PZ000",2003,7,22,31.98,18.89,0
"PZ000",2003,7,23,31.52,21,0
"PZ000",2003,7,24,32.81,21.04,0
"PZ000",2003,7,25,30.95,20.15,0
"PZ000",2003,7,26,28.35,18.28,0
"PZ000",2003,7,27,29.22,18.77,0
"PZ000",2003,7,28,31.39,19.44,0
"PZ000",2003,7,29,29.9,19.36,0
"PZ000",2003,7,30,26.76,18.27,3.5
"PZ000",2003,7,31,26.58,17.96,11.8
"PZ000",2003,8,1,21.56,13.58,0
