"site","year","month","day","tmax","tmin","prec"
"Pianella",2003,1,1,13.05,8.8,12.8
"Pianella",2003,1,2,15.74,5.79,0
"Pianella",2003,1,3,18.49,9.4,0
"Pianella",2003,1,4,18.28,12.87,0
"Pianella",2003,1,5,15.42,8.38,0
"Pianella",2003,1,6,12.36,3.55,0
"Pianella",2003,1,7,10.94,5.75,11.7
"Pianella",2003,1,8,10.73,5.14,10.1
"Pianella",2003,1,9,9.7,5.28,20.8
"Pianella",2003,1,10,10.99,4.52,0
"Pianella",2003,1,11,11.45,5.28,0
"Pianella",2003,1,12,6.79,2.65,0
"Pianella",2003,1,13,6.09,0.5,0
"Pianella",2003,1,14,9.2,-0.46,0
"Pianella",2003,1,15,14,2.63,0
"Pianella",2003,1,16,13.81,2.45,0
"Pianella",2003,1,17,12.38,3.86,0
"Pianella",2003,1,18,9.35,5.03,2.2
"Pianella",2003,1,19,10.27,5.53,4
"Pianella",2003,1,20,13.53,2.89,0
"Pianella",2003,1,21,12.41,5.85,0
"Pianella",2003,1,22,15.65,8.11,0
"Pianella",2003,1,23,15.11,6.7,6.4
"Pianella",2003,1,24,11.8,6.15,17.4
"Pianella",2003,1,25,11.52,6.86,5.5
"Pianella",2003,1,26,10.08,6.82,0
"Pianella",2003,1,27,9.33,5.48,0
"Pianella",2003,1,28,12.95,4.05,0
"Pianella",2003,1,29,15.19,4.99,0
"Pianella",2003,1,30,11,2.51,7.4
"Pianella",2003,1,31,9.21,2.59,8
"Pianella",2003,2,1,9.88,2.28,7.4
"Pianella",2003,2,2,6.43,0.47,0
"Pianella",2003,2,3,6.91,-2.94,0
"Pianella",2003,2,4,12.24,4.33,11.3
"Pianella",2003,2,5,9.99,2.45,7.3
"Pianella",2003,2,6,8.18,1.1,0
"Pianella",2003,2,7,8.04,-0.67,0
"Pianella",2003,2,8,10.67,-0.88,0
"Pianella",2003,2,9,9.96,1.74,5.8
"Pianella",2003,2,10,7.91,1.42,0
"Pianella",2003,2,11,8.71,1.96,0
"Pianella",2003,2,12,6.46,1.77,0
"Pianella",2003,2,13,5.95,0.96,0
"Pianella",2003,2,14,6.09,1.11,0
"Pianella",2003,2,15,8.86,1.34,0
"Pianella",2003,2,16,9.07,1.47,0
"Pianella",2003,2,17,7.26,2.92,0
"Pianella",2003,2,18,5.05,2.21,0
"Pianella",2003,2,19,6.22,1.1,0
"Pianella",2003,2,20,8.76,-0.4,0
"Pianella",2003,2,21,11.45,1.78,0
"Pianella",2003,2,22,12.34,5.15,1.5
"Pianella",2003,2,23,9.13,4.07,0
"Pianella",2003,2,24,10.42,1.35,0
"Pianella",2003,2,25,12.45,1.63,0
"Pianella",2003,2,26,14,1.92,0
"Pianella",2003,2,27,13.79,4.01,0
"Pianella",2003,2,28,14.65,4.64,0
"Pianella",2003,3,1,15.54,5.83,0
"Pianella",2003,3,2,14.46,7.5,5.3
"Pianella",2003,3,3,14.57,7.87,7.1
"Pianella",2003,3,4,12.9,6.83,5.6
"Pianella",2003,3,5,13.86,4.42,0
"Pianella",2003,3,6,15.35,4.44,0
"Pianella",2003,3,7,15.85,7.42,0
"Pianella",2003,3,8,15.2,5.8,0
"Pianella",2003,3,9,16.39,5.17,0
"Pianella",2003,3,10,16.07,6.32,0
"Pianella",2003,3,11,19.47,6.55,0
"Pianella",2003,3,12,19.3,7.29,0
"Pianella",2003,3,13,18.53,7.73,0
"Pianella",2003,3,14,13.1,6.11,1.6
"Pianella",2003,3,15,10.12,2.44,4.1
"Pianella",2003,3,16,8.06,3.59,5.7
"Pianella",2003,3,17,9.94,5.15,0
"Pianella",2003,3,18,13.61,3.78,0
"Pianella",2003,3,19,15.42,4.67,0
"Pianella",2003,3,20,15.06,4.03,0
"Pianella",2003,3,21,16.87,5.42,0
"Pianella",2003,3,22,14.24,4.96,0
"Pianella",2003,3,23,12.33,3.96,0
"Pianella",2003,3,24,15.1,2.2,0
"Pianella",2003,3,25,20.39,6.64,0
"Pianella",2003,3,26,21.62,7.77,0
"Pianella",2003,3,27,19.98,7.14,0
"Pianella",2003,3,28,20.71,6.99,0
"Pianella",2003,3,29,20.27,9.21,0
"Pianella",2003,3,30,19.02,8.53,0
"Pianella",2003,3,31,19.65,9.43,0
"Pianella",2003,4,1,18.19,9.61,0
"Pianella",2003,4,2,18.48,6.66,0
"Pianella",2003,4,3,18.77,10.21,0
"Pianella",2003,4,4,16.86,9.07,5
"Pianella",2003,4,5,13.43,7.63,0
"Pianella",2003,4,6,16.38,4.02,0
"Pianella",2003,4,7,10.59,1.14,4.1
"Pianella",2003,4,8,8.77,0.27,0
"Pianella",2003,4,9,11.53,1.56,0
"Pianella",2003,4,10,13.08,4.72,0
"Pianella",2003,4,11,16.6,7.73,0
"Pianella",2003,4,12,17.02,9.36,0
"Pianella",2003,4,13,16.28,9.44,4.9
"Pianella",2003,4,14,19.26,8.18,0
"Pianella",2003,4,15,19.89,8.93,0
"Pianella",2003,4,16,19.52,9.9,0
"Pianella",2003,4,17,21.08,11.11,0
"Pianella",2003,4,18,20.14,11.1,0
"Pianella",2003,4,19,20.72,9.57,0
"Pianella",2003,4,20,20.3,10.03,0
