"site","year","month","day","tmax","tmin","prec"
"Ravenna",2003,1,1,8.88,5.16,19.9
"Ravenna",2003,1,2,5.67,3.14,0
"Ravenna",2003,1,3,5.29,3.07,0
"Ravenna",2003,1,4,9.58,2.36,0
"Ravenna",2003,1,5,5.68,0.66,0
"Ravenna",2003,1,6,4.68,1.47,3.3
"Ravenna",2003,1,7,7.44,0.34,17.7
"Ravenna",2003,1,8,3.45,-1.37,9
"Ravenna",2003,1,9,4.5,-1.44,10.3
"Ravenna",2003,1,10,-1.05,-5.44,0
"Ravenna",2003,1,11,2.04,-3.94,0
"Ravenna",2003,1,12,3.56,-3.93,0
"Ravenna",2003,1,13,1.46,-8.26,0
"Ravenna",2003,1,14,2.2,-6.9,0
"Ravenna",2003,1,15,6.38,-5.4,0
"Ravenna",2003,1,16,7.95,-3.75,0
"Ravenna",2003,1,17,5.73,-0.62,0
"Ravenna",2003,1,18,2.87,0.8,0
"Ravenna",2003,1,19,3.37,-1.7,0
"Ravenna",2003,1,20,7.73,-3.42,0
"Ravenna",2003,1,21,7.71,-0.56,0
"Ravenna",2003,1,22,10.13,0.34,0
"Ravenna",2003,1,23,9.95,1.06,0
"Ravenna",2003,1,24,4.19,0.74,0
"Ravenna",2003,1,25,10.88,0.66,0
"Ravenna",2003,1,26,9.15,0.05,0
"Ravenna",2003,1,27,9.89,-1.35,0
"Ravenna",2003,1,28,9.73,-2.52,0
"Ravenna",2003,1,29,13.58,-3.13,0
"Ravenna",2003,1,30,7.24,-4.67,0
"Ravenna",2003,1,31,6.23,-1.49,0
"Ravenna",2003,2,1,6.35,-1.7,0
"Ravenna",2003,2,2,6.15,-5.11,0
"Ravenna",2003,2,3,5.17,-7.26,0
"Ravenna",2003,2,4,8.08,-3.99,2.6
"Ravenna",2003,2,5,3.34,-0.4,9.9
"Ravenna",2003,2,6,9.3,-0.27,0
"Ravenna",2003,2,7,9.33,-2.49,0
"Ravenna",2003,2,8,9.82,-5.28,0
"Ravenna",2003,2,9,10.78,0.41,1.1
"Ravenna",2003,2,10,7.09,-3.44,0
"Ravenna",2003,2,11,6.7,-2.48,0
"Ravenna",2003,2,12,6.81,-1.83,0
"Ravenna",2003,2,13,5.19,-2.7,0
"Ravenna",2003,2,14,4.02,-1.89,0
"Ravenna",2003,2,15,5.05,-4.53,0
"Ravenna",2003,2,16,6.78,-3.91,0
"Ravenna",2003,2,17,5.04,-2.25,0
"Ravenna",2003,2,18,5.14,-4.76,0
"Ravenna",2003,2,19,6,-5.44,0
"Ravenna",2003,2,20,8,-7.26,0
"Ravenna",2003,2,21,9.1,-5.85,0
"Ravenna",2003,2,22,11.86,-3.56,0
"Ravenna",2003,2,23,9.1,-1.11,0
"Ravenna",2003,2,24,8.94,-4.54,0
"Ravenna",2003,2,25,11.5,-4.71,0
"Ravenna",2003,2,26,13.92,-7.2,0
"Ravenna",2003,2,27,11.47,-4.56,0
"Ravenna",2003,2,28,11.12,-1.57,0
"Ravenna",2003,3,1,13.87,0.9,0
"Ravenna",2003,3,2,13.66,3.76,1.8
"Ravenna",2003,3,3,10.55,6.27,22.5
"Ravenna",2003,3,4,9.24,5.13,3.5
"Ravenna",2003,3,5,13.88,-0.28,0
"Ravenna",2003,3,6,15.88,0.79,0
"Ravenna",2003,3,7,16.33,6.14,1.8
"Ravenna",2003,3,8,12.87,0.34,0
"Ravenna",2003,3,9,15.3,1.72,0
"Ravenna",2003,3,10,15.87,1.81,0
"Ravenna",2003,3,11,18.87,2.51,0
"Ravenna",2003,3,12,16.58,4.93,0
"Ravenna",2003,3,13,19.93,7.38,0
"Ravenna",2003,3,14,17.85,5.88,0
"Ravenna",2003,3,15,10.24,-0.45,0
"Ravenna",2003,3,16,9.4,2.04,0
"Ravenna",2003,3,17,10.51,-0.25,0
"Ravenna",2003,3,18,14.42,-1.99,0
"Ravenna",2003,3,19,14.99,-2.41,0
"Ravenna",2003,3,20,14.07,-2.17,0
"Ravenna",2003,3,21,16.01,-0.3,0
"Ravenna",2003,3,22,13.05,2.6,0
"Ravenna",2003,3,23,11.13,-2.73,0
"Ravenna",2003,3,24,10.41,-2.38,0
"Ravenna",2003,3,25,19.84,-1.72,0
"Ravenna",2003,3,26,19.74,0.99,0
"Ravenna",2003,3,27,21.06,1.75,0
"Ravenna",2003,3,28,20.82,2.84,0
"Ravenna",2003,3,29,16.48,6.58,0
"Ravenna",2003,3,30,16.94,7.17,0
"Ravenna",2003,3,31,16.86,5.82,0
"Ravenna",2003,4,1,17,7.42,0
"Ravenna",2003,4,2,17.02,3.64,0
"Ravenna",2003,4,3,19.63,6.29,7.4
