"site","year","month","day","tmax","tmin","prec"
"SO002",2003,1,1,10.33,-2.71,0
"SO002",2003,1,2,5.92,-1.93,3.3
"SO002",2003,1,3,7.79,-2.22,2.7
"SO002",2003,1,4,8.16,-2.29,3.3
"SO002",2003,1,5,1.84,-4.58,4.1
"SO002",2003,1,6,-1.84,-6.8,2.1
"SO002",2003,1,7,-0.59,-5.87,0
"SO002",2003,1,8,-1.14,-6.48,0
"SO002",2003,1,9,0.7,-4.64,0
"SO002",2003,1,10,0.93,-5.44,0
"SO002",2003,1,11,-1.12,-6.99,0
"SO002",2003,1,12,-0.9,-8.88,0
"SO002",2003,1,13,0.77,-7.9,0
"SO002",2003,1,14,11.55,-3.19,0
"SO002",2003,1,15,7.26,-2.79,0
"SO002",2003,1,16,7.28,-4.55,0
"SO002",2003,1,17,5.41,-4.02,0
"SO002",2003,1,18,6.24,-3.77,0
"SO002",2003,1,19,7.46,-4.58,0
"SO002",2003,1,20,6.34,-4.88,0
"SO002",2003,1,21,-0.22,-3.11,15.3
"SO002",2003,1,22,4.91,-3.03,11.5
"SO002",2003,1,23,4.11,-3.24,0
"SO002",2003,1,24,4.8,-4.69,0
"SO002",2003,1,25,2.44,-4.67,0
"SO002",2003,1,26,3.77,-6.28,0
"SO002",2003,1,27,4.86,-4.82,0
"SO002",2003,1,28,11.49,-3.73,0
"SO002",2003,1,29,2.92,-4.11,0
"SO002",2003,1,30,1.49,-6.25,0
"SO002",2003,1,31,0.17,-6.86,0
"SO002",2003,2,1,-1.18,-10.59,0
"SO002",2003,2,2,0.15,-9.38,0
"SO002",2003,2,3,0.97,-7.8,3.1
"SO002",2003,2,4,-0.53,-5.89,3.7
"SO002",2003,2,5,0.22,-8.92,0
"SO002",2003,2,6,0.06,-8.86,0
"SO002",2003,2,7,2.66,-9.17,0
"SO002",2003,2,8,5.08,-3.06,0
"SO002",2003,2,9,0.67,-5.16,0
"SO002",2003,2,10,2.46,-6.07,0
"SO002",2003,2,11,2.56,-5.83,0
"SO002",2003,2,12,-1.93,-6.91,0
"SO002",2003,2,13,-1.28,-8.72,0
"SO002",2003,2,14,-0.59,-8.72,0
"SO002",2003,2,15,3.4,-8.09,0
"SO002",2003,2,16,-3.09,-7.78,0
"SO002",2003,2,17,-0.76,-9.37,0
"SO002",2003,2,18,2.22,-9.85,0
"SO002",2003,2,19,2.95,-8.11,0
"SO002",2003,2,20,5.96,-6.41,0
"SO002",2003,2,21,5.91,-6.5,0
"SO002",2003,2,22,3.31,-6.15,0
"SO002",2003,2,23,5.21,-6.45,0
"SO002",2003,2,24,7.06,-5.53,0
"SO002",2003,2,25,9.17,-3.55,0
"SO002",2003,2,26,9.64,-5.68,0
"SO002",2003,2,27,6.65,-6.03,0
"SO002",2003,2,28,10.75,-3.61,0
"SO002",2003,3,1,8.69,-3.46,0
"SO002",2003,3,2,6.42,-2.49,0
"SO002",2003,3,3,7.61,-2.6,0
"SO002",2003,3,4,8.56,-4.47,0
"SO002",2003,3,5,10.45,-1.66,0
"SO002",2003,3,6,7.46,-1.95,0
"SO002",2003,3,7,9.19,0.93,0
"SO002",2003,3,8,9.92,0.24,0
"SO002",2003,3,9,10.97,-1,0
"SO002",2003,3,10,18.7,3.95,0
"SO002",2003,3,11,15.93,5.46,0
"SO002",2003,3,12,14.48,2.75,0
"SO002",2003,3,13,11.08,1.85,0
"SO002",2003,3,14,7.32,-3.74,0
"SO002",2003,3,15,4.68,-1.42,0
"SO002",2003,3,16,8.03,-4.25,0
"SO002",2003,3,17,10.37,-2.08,0
"SO002",2003,3,18,11.32,-1.82,0
"SO002",2003,3,19,12.58,-1.2,0
"SO002",2003,3,20,14.86,1.09,0
"SO002",2003,3,21,11.95,-0.74,0
"SO002",2003,3,22,8.37,1.8,0
"SO002",2003,3,23,10.66,-3.03,0
"SO002",2003,3,24,15.45,-0.91,0
"SO002",2003,3,25,16.26,2.15,0
"SO002",2003,3,26,15.27,2.87,0
"SO002",2003,3,27,14.52,3.13,0
"SO002",2003,3,28,15.54,3.88,0
"SO002",2003,3,29,14.6,2.98,0
"SO002",2003,3,30,14.26,5.88,0
"SO002",2003,3,31,14.02,5.19,0
"SO002",2003,4,1,12.32,2.89,1.4
"SO002",2003,4,2,5.6,0.1,5.3
"SO002",2003,4,3,7.07,0.33,7.2
"SO002",2003,4,4,7.7,-0.99,0
"SO002",2003,4,5,13.89,-4.16,0
"SO002",2003,4,6,9.55,-0.19,0
"SO002",2003,4,7,-0.77,-7.25,0
"SO002",2003,4,8,5.58,-9.66,0
"SO002",2003,4,9,6.04,-5.64,0
"SO002",2003,4,10,2.62,-1.79,4
"SO002",2003,4,11,8.37,-1.44,3.1
"SO002",2003,4,12,7.3,0.36,2
"SO002",2003,4,13,14.04,1.75,0
"SO002",2003,4,14,15.47,3.17,0
"SO002",2003,4,15,13.28,5.34,0
"SO002",2003,4,16,16.97,4.27,0
"SO002",2003,4,17,16.44,7,0
"SO002",2003,4,18,17.95,5.09,0
"SO002",2003,4,19,8.27,3.26,2.6
"SO002",2003,4,20,11.18,2.68,3.2
"SO002",2003,4,21,12.91,3.73,0
"SO002",2003,4,22,16.4,4.89,0
"SO002",2003,4,23,16.33,5.31,0
"SO002",2003,4,24,19.85,4.62,0
"SO002",2003,4,25,17.91,6.1,0
"SO002",2003,4,26,16.58,5.88,2.7
"SO002",2003,4,27,16.6,5.12,0
"SO002",2003,4,28,15.44,4.02,0
"SO002",2003,4,29,16.63,7.27,0
"SO002",2003,4,30,16.29,7.83,8.4
"SO002",2003,5,1,17.24,7.42,4.3
"SO002",2003,5,2,13.8,5.95,10.2
"SO002",2003,5,3,18.93,7.19,6.8
"SO002",2003,5,4,20.04,4.64,0
"SO002",2003,5,5,24.38,7.69,0
"SO002",2003,5,6,23.93,10.73,0
"SO002",2003,5,7,24.65,11.08,0
"SO002",2003,5,8,24.35,11.88,0
"SO002",2003,5,9,19.87,10.27,0
"SO002",2003,5,10,17.46,9.03,7.8
"SO002",2003,5,11,18.01,9.27,8.5
"SO002",2003,5,12,18.22,9.72,3.1
"SO002",2003,5,13,17.41,6.61,6.8
"SO002",2003,5,14,14.02,3.66,3.9
"SO002",2003,5,15,13.54,0.67,0
"SO002",2003,5,16,14.37,2.76,0
"SO002",2003,5,17,13.07,4.36,0
"SO002",2003,5,18,18.46,5.05,0
"SO002",2003,5,19,20.99,7.22,7.2
"SO002",2003,5,20,11.95,5.4,10.3
"SO002",2003,5,21,13.96,3.16,5.6
"SO002",2003,5,22,16.1,3.65,0
"SO002",2003,5,23,20.96,8.34,0
"SO002",2003,5,24,20.94,8.89,0
"SO002",2003,5,25,19.49,9.62,0
"SO002",2003,5,26,17.41,11.26,0
"SO002",2003,5,27,20.53,11.01,0
"SO002",2003,5,28,19.5,11.79,7.7
"SO002",2003,5,29,18.98,12.21,3.4
"SO002",2003,5,30,21.31,10.95,0
"SO002",2003,5,31,22.84,11.71,5.2
"SO002",2003,6,1,23.39,11.45,5.2
"SO002",2003,6,2,23.1,11,6.2
"SO002",2003,6,3,22.07,10.77,3.6
