"site","year","month","day","tmax","tmin","prec"
"SPSG39",2003,1,1,12.19,2.79,2.9
"SPSG39",2003,1,2,10.75,6.38,0
"SPSG39",2003,1,3,12.54,6.09,0
"SPSG39",2003,1,4,11.27,5.96,0
"SPSG39",2003,1,5,9.43,3.63,11.3
"SPSG39",2003,1,6,5.26,-0.4,3.4
"SPSG39",2003,1,7,6.23,1.36,7.1
"SPSG39",2003,1,8,4.3,-1.67,2.1
"SPSG39",2003,1,9,4.09,-2.58,3.7
"SPSG39",2003,1,10,6.26,-1.39,0
"SPSG39",2003,1,11,4.36,-2.04,0
"SPSG39",2003,1,12,3.1,-4.71,0
"SPSG39",2003,1,13,5.43,-6.97,0
"SPSG39",2003,1,14,11.44,-1.44,0
"SPSG39",2003,1,15,8.46,1.68,0
"SPSG39",2003,1,16,8.32,3.12,0
"SPSG39",2003,1,17,7.46,2.04,1.8
"SPSG39",2003,1,18,8.4,0.53,0
"SPSG39",2003,1,19,8.78,-2.16,0
"SPSG39",2003,1,20,7.53,3.03,0
"SPSG39",2003,1,21,8.31,5.09,26.5
"SPSG39",2003,1,22,10.95,4.8,27.7
"SPSG39",2003,1,23,9.08,2.19,0
"SPSG39",2003,1,24,10.14,2.11,0
"SPSG39",2003,1,25,8.74,2.21,0
"SPSG39",2003,1,26,7.9,0.7,0
"SPSG39",2003,1,27,12.59,-0.54,0
"SPSG39",2003,1,28,15.29,3.12,0
"SPSG39",2003,1,29,10.99,-0.49,0
"SPSG39",2003,1,30,9.62,-0.88,0
"SPSG39",2003,1,31,6.56,-1.25,0
"SPSG39",2003,2,1,7.16,-1.33,0
"SPSG39",2003,2,2,9.16,-3.87,0
"SPSG39",2003,2,3,8.65,-1.22,0
"SPSG39",2003,2,4,11.41,0.34,23.9
"SPSG39",2003,2,5,9.94,1.78,1.5
"SPSG39",2003,2,6,10.24,-0.73,0
"SPSG39",2003,2,7,10.62,-3.26,0
"SPSG39",2003,2,8,9.36,-0.9,0
"SPSG39",2003,2,9,6.38,-2.69,0
"SPSG39",2003,2,10,6.9,-3.25,0
"SPSG39",2003,2,11,7.77,-2.55,0
"SPSG39",2003,2,12,5.77,-3.58,0
"SPSG39",2003,2,13,3.75,-3.75,0
"SPSG39",2003,2,14,2.98,-4.13,0
"SPSG39",2003,2,15,8.76,-4.97,0
"SPSG39",2003,2,16,5.46,-1.76,0
"SPSG39",2003,2,17,3.07,-1.85,0
"SPSG39",2003,2,18,4.19,-4.36,0
"SPSG39",2003,2,19,9.06,-5.03,0
"SPSG39",2003,2,20,11.05,-3.52,0
"SPSG39",2003,2,21,11.99,-1.46,0
"SPSG39",2003,2,22,10.48,-2.81,0
"SPSG39",2003,2,23,8.79,-3.36,0
"SPSG39",2003,2,24,11.73,-4.59,0
"SPSG39",2003,2,25,13.34,-3.83,0
"SPSG39",2003,2,26,12.49,-3.89,0
"SPSG39",2003,2,27,10.7,-2.8,0
"SPSG39",2003,2,28,13.04,0.83,0
"SPSG39",2003,3,1,12.48,6.17,0
"SPSG39",2003,3,2,13.31,5.64,9.3
"SPSG39",2003,3,3,12.74,3.78,9.4
"SPSG39",2003,3,4,15.53,1.21,0
"SPSG39",2003,3,5,16.25,0.67,0
"SPSG39",2003,3,6,13.86,4.05,0
"SPSG39",2003,3,7,12.13,3.83,3.7
"SPSG39",2003,3,8,15.65,2.34,0
"SPSG39",2003,3,9,16.75,3.95,0
"SPSG39",2003,3,10,20.33,1.92,0
"SPSG39",2003,3,11,15.67,6.08,0
"SPSG39",2003,3,12,13.26,6.21,0
"SPSG39",2003,3,13,16.86,5.64,0
"SPSG39",2003,3,14,13.19,3.44,0
"SPSG39",2003,3,15,9.3,1.58,0
"SPSG39",2003,3,16,11.01,1.37,0
"SPSG39",2003,3,17,13.77,0.36,0
"SPSG39",2003,3,18,17.05,0.16,0
"SPSG39",2003,3,19,17.8,0.1,0
