"site","year","month","day","tmax","tmin","prec"
"SVGR13",2003,1,1,14.24,9.72,0
"SVGR13",2003,1,2,13.47,9.98,0
"SVGR13",2003,1,3,15.31,10.38,0
"SVGR13",2003,1,4,13.69,9.1,0
"SVGR13",2003,1,5,11.06,6.97,0
"SVGR13",2003,1,6,7.22,4.52,0
"SVGR13",2003,1,7,9.15,2.64,0
"SVGR13",2003,1,8,4.55,3.92,0
"SVGR13",2003,1,9,9.87,3.59,0
"SVGR13",2003,1,10,10.16,5.3,0
"SVGR13",2003,1,11,7.21,5.64,0
"SVGR13",2003,1,12,8.44,4.24,0
"SVGR13",2003,1,13,8.67,2.63,0
"SVGR13",2003,1,14,10.59,5.19,0
"SVGR13",2003,1,15,10.12,5.95,0
"SVGR13",2003,1,16,10.81,5.84,0
"SVGR13",2003,1,17,11.31,6.4,0
"SVGR13",2003,1,18,12.34,6.5,0
"SVGR13",2003,1,19,11.17,5.55,0
"SVGR13",2003,1,20,8.58,7.26,1.9
"SVGR13",2003,1,21,8.25,6.6,23.3
"SVGR13",2003,1,22,9.9,4.87,0
"SVGR13",2003,1,23,12.72,6.56,0
"SVGR13",2003,1,24,13.59,7.76,0
"SVGR13",2003,1,25,11.92,8.34,0
"SVGR13",2003,1,26,11.93,6.01,0
"SVGR13",2003,1,27,12.55,6.63,0
"SVGR13",2003,1,28,13.83,6.34,0
"SVGR13",2003,1,29,12.29,5.81,0
"SVGR13",2003,1,30,10.22,4.64,0
"SVGR13",2003,1,31,6.66,3.26,0
"SVGR13",2003,2,1,8.86,1.81,0
"SVGR13",2003,2,2,9.13,2.32,0
"SVGR13",2003,2,3,11.13,3.04,0
"SVGR13",2003,2,4,10.79,5.19,0
"SVGR13",2003,2,5,10.26,4.57,0
"SVGR13",2003,2,6,11.36,3.84,0
"SVGR13",2003,2,7,9.97,2.05,0
"SVGR13",2003,2,8,10.45,4.28,0
"SVGR13",2003,2,9,8.66,3.72,0
"SVGR13",2003,2,10,9.88,3.11,0
"SVGR13",2003,2,11,9.58,3.33,0
"SVGR13",2003,2,12,6.82,2.23,0
"SVGR13",2003,2,13,5.62,1.1,0
"SVGR13",2003,2,14,6.49,2.55,0
"SVGR13",2003,2,15,10.6,2.41,0
"SVGR13",2003,2,16,6.85,3.47,0
"SVGR13",2003,2,17,3.79,1.8,0
"SVGR13",2003,2,18,10.02,1.8,0
"SVGR13",2003,2,19,11.53,1.74,0
"SVGR13",2003,2,20,11.06,3.45,0
"SVGR13",2003,2,21,13.06,5.28,0
"SVGR13",2003,2,22,12.9,5.26,0
"SVGR13",2003,2,23,11.1,4.44,0
"SVGR13",2003,2,24,11.76,4.47,0
"SVGR13",2003,2,25,14.84,4.51,0
"SVGR13",2003,2,26,13.05,6.31,0
"SVGR13",2003,2,27,9.29,7.44,0
"SVGR13",2003,2,28,14.51,7.31,0
"SVGR13",2003,3,1,13.7,7.59,2.5
"SVGR13",2003,3,2,11.29,8.2,2.3
"SVGR13",2003,3,3,16.2,7.33,0
"SVGR13",2003,3,4,15.52,7.5,0
"SVGR13",2003,3,5,14.8,6.22,0
"SVGR13",2003,3,6,13.1,8.17,0
"SVGR13",2003,3,7,14.9,7.17,0
"SVGR13",2003,3,8,14.3,8.06,0
"SVGR13",2003,3,9,15.16,7.48,0
"SVGR13",2003,3,10,17.12,8.77,0
"SVGR13",2003,3,11,14.86,8.59,0
"SVGR13",2003,3,12,14.58,10.39,0
"SVGR13",2003,3,13,18.39,9.27,0
"SVGR13",2003,3,14,14.33,8.65,0
"SVGR13",2003,3,15,8.47,7.02,2.8
"SVGR13",2003,3,16,14.66,5.15,0
"SVGR13",2003,3,17,15.44,7.1,0
"SVGR13",2003,3,18,16.3,7.9,0
"SVGR13",2003,3,19,15.09,7.95,0
"SVGR13",2003,3,20,15.66,7.64,0
"SVGR13",2003,3,21,16.41,8.2,0
"SVGR13",2003,3,22,15.88,9.59,0
"SVGR13",2003,3,23,15.64,8.41,0
"SVGR13",2003,3,24,15.85,8.34,0
"SVGR13",2003,3,25,15.31,8.58,0
"SVGR13",2003,3,26,12.69,8.53,0
"SVGR13",2003,3,27,14.73,8.84,0
"SVGR13",2003,3,28,16.04,8.74,0
"SVGR13",2003,3,29,17.86,10.36,0
"SVGR13",2003,3,30,17.39,10.8,0
"SVGR13",2003,3,31,17.98,11.34,0
"SVGR13",2003,4,1,19.07,12.55,0
"SVGR13",2003,4,2,15.67,10.7,0
"SVGR13",2003,4,3,11.92,7.1,7.1
"SVGR13",2003,4,4,12.26,8.08,0
"SVGR13",2003,4,5,16.46,8.74,0
"SVGR13",2003,4,6,17.64,8.76,0
"SVGR13",2003,4,7,8.98,6.11,0
"SVGR13",2003,4,8,9.54,2.55,0
"SVGR13",2003,4,9,10.19,4.43,0
"SVGR13",2003,4,10,10.01,6.08,13.2
"SVGR13",2003,4,11,12.78,7.21,17.1
"SVGR13",2003,4,12,13.93,7.3,19.6
"SVGR13",2003,4,13,17.29,8.24,0
"SVGR13",2003,4,14,19.76,10.73,0
"SVGR13",2003,4,15,19.83,14.04,0
"SVGR13",2003,4,16,20.2,13.57,0
"SVGR13",2003,4,17,22.03,14.74,0
"SVGR13",2003,4,18,20.29,14.32,0
"SVGR13",2003,4,19,16.25,11.52,0
"SVGR13",2003,4,20,12.19,10.01,26.1
"SVGR13",2003,4,21,17.8,9.95,0
"SVGR13",2003,4,22,18.04,11.24,0
"SVGR13",2003,4,23,18.83,12.13,0
"SVGR13",2003,4,24,20.43,12.38,0
"SVGR13",2003,4,25,18.4,12.65,0
"SVGR13",2003,4,26,19.19,12.29,5.4
"SVGR13",2003,4,27,18.73,13,0
"SVGR13",2003,4,28,19.08,13.04,0
"SVGR13",2003,4,29,21.4,13.36,0
"SVGR13",2003,4,30,19.94,15.14,0
"SVGR13",2003,5,1,21.09,14.79,0
"SVGR13",2003,5,2,17.12,15.04,0
"SVGR13",2003,5,3,22.22,14.8,0
"SVGR13",2003,5,4,27.01,14.96,0
"SVGR13",2003,5,5,27.27,19.03,0
"SVGR13",2003,5,6,26.98,17.18,0
"SVGR13",2003,5,7,26.24,20.72,0
"SVGR13",2003,5,8,24.66,18.06,0
"SVGR13",2003,5,9,24.69,16.15,0
"SVGR13",2003,5,10,21.48,16.53,0
"SVGR13",2003,5,11,25.25,16.08,0
"SVGR13",2003,5,12,24.97,17.23,0
"SVGR13",2003,5,13,23.68,15.65,0
"SVGR13",2003,5,14,22.19,14.64,0
"SVGR13",2003,5,15,22.26,14.4,0
"SVGR13",2003,5,16,19.91,14.12,0
"SVGR13",2003,5,17,20.87,14.65,0
"SVGR13",2003,5,18,20.99,14.53,0
"SVGR13",2003,5,19,20.14,15.31,0
"SVGR13",2003,5,20,21.75,14.84,2.4
"SVGR13",2003,5,21,22.53,13.16,0
"SVGR13",2003,5,22,23.07,14.35,0
"SVGR13",2003,5,23,22.71,14.68,0
"SVGR13",2003,5,24,25.09,15.24,0
"SVGR13",2003,5,25,26.06,16.5,0
"SVGR13",2003,5,26,20.48,17.75,0
"SVGR13",2003,5,27,23.69,15.97,1.9
"SVGR13",2003,5,28,27.51,18.11,0
"SVGR13",2003,5,29,27.74,19.71,0
"SVGR13",2003,5,30,25.22,18.26,0
"SVGR13",2003,5,31,25.28,19.11,0
"SVGR13",2003,6,1,24.87,17.85,0
"SVGR13",2003,6,2,23.94,17.83,0
"SVGR13",2003,6,3,24.07,18.35,0
"SVGR13",2003,6,4,25.75,18.9,0
"SVGR13",2003,6,5,27.61,20.39,0
"SVGR13",2003,6,6,26.78,19.28,0
"SVGR13",2003,6,7,26.52,19.62,0
"SVGR13",2003,6,8,27.4,20,0
"SVGR13",2003,6,9,26.83,20.6,0
"SVGR13",2003,6,10,27.28,20.13,0
"SVGR13",2003,6,11,29.35,20.47,0
"SVGR13",2003,6,12,29.5,21.34,0
"SVGR13",2003,6,13,29.53,22.49,0
"SVGR13",2003,6,14,29.77,22.13,0
"SVGR13",2003,6,15,28.79,21.73,0
"SVGR13",2003,6,16,30.13,21.77,0
"SVGR13",2003,6,17,27.6,22.23,0
"SVGR13",2003,6,18,28.06,19.88,0
"SVGR13",2003,6,19,30.52,21.16,0
"SVGR13",2003,6,20,29.86,22.42,0
"SVGR13",2003,6,21,29.72,20.85,0
"SVGR13",2003,6,22,29.18,21.42,0
"SVGR13",2003,6,23,28.31,22.08,0
"SVGR13",2003,6,24,30.85,22.82,0
"SVGR13",2003,6,25,29.79,22.96,0
"SVGR13",2003,6,26,29.75,22.88,0
"SVGR13",2003,6,27,29.77,21.92,0
"SVGR13",2003,6,28,27.94,20.86,0
"SVGR13",2003,6,29,27.57,20.3,0
"SVGR13",2003,6,30,28.51,21.81,0
"SVGR13",2003,7,1,27.4,21.3,0
"SVGR13",2003,7,2,27.63,19.66,0
"SVGR13",2003,7,3,26.97,19.84,0
"SVGR13",2003,7,4,25.87,18.81,0
