"site","year","month","day","tmax","tmin","prec"
"TV002",2003,1,1,8.96,1.33,0
"TV002",2003,1,2,7.89,0.51,0
"TV002",2003,1,3,9.32,0.82,0
"TV002",2003,1,4,6.7,-1.04,0
"TV002",2003,1,5,3.96,-0.95,3.8
"TV002",2003,1,6,1.44,-0.97,7.4
"TV002",2003,1,7,0.95,-3.08,2.5
"TV002",2003,1,8,0.46,-2.61,0
"TV002",2003,1,9,1.31,-2.04,0
"TV002",2003,1,10,1.73,-3.65,0
"TV002",2003,1,11,4.08,-6.45,0
"TV002",2003,1,12,4.06,-7.92,0
"TV002",2003,1,13,6.24,-9.06,0
"TV002",2003,1,14,9.56,-5.27,0
"TV002",2003,1,15,8.92,-3.74,0
"TV002",2003,1,16,6.03,-2.78,0
"TV002",2003,1,17,8.47,-2.27,0
"TV002",2003,1,18,7.42,-2.94,0
"TV002",2003,1,19,9.08,-3.55,0
"TV002",2003,1,20,8.59,-3.17,0
"TV002",2003,1,21,7.2,0.99,12.9
"TV002",2003,1,22,10,1.45,10.3
"TV002",2003,1,23,9.59,-1.48,0
"TV002",2003,1,24,11.17,-1.83,0
"TV002",2003,1,25,11.05,-2.01,0
"TV002",2003,1,26,9.81,-2.19,0
"TV002",2003,1,27,11.71,-2.24,0
"TV002",2003,1,28,11.35,-2.16,0
"TV002",2003,1,29,8.62,-3.23,0
"TV002",2003,1,30,7.27,-3.87,0
"TV002",2003,1,31,6.83,-3.6,0
"TV002",2003,2,1,5.79,-4.02,0
"TV002",2003,2,2,4.35,-5.38,0
"TV002",2003,2,3,3.4,-6.26,0
"TV002",2003,2,4,5.82,-3.08,2.4
"TV002",2003,2,5,9.88,-0.31,0
"TV002",2003,2,6,10.13,-2.19,0
"TV002",2003,2,7,9.66,-3.21,0
"TV002",2003,2,8,9.03,-5.56,0
"TV002",2003,2,9,7.03,-3.9,0
"TV002",2003,2,10,7.11,-4.63,0
"TV002",2003,2,11,6.81,-4.61,0
"TV002",2003,2,12,5.65,-4.09,0
"TV002",2003,2,13,5.72,-4.6,0
"TV002",2003,2,14,6.44,-5.72,0
"TV002",2003,2,15,7.07,-4.55,0
"TV002",2003,2,16,6.34,-5.41,0
"TV002",2003,2,17,7.22,-5.99,0
"TV002",2003,2,18,8.19,-5.92,0
"TV002",2003,2,19,8.63,-6.23,0
"TV002",2003,2,20,10.13,-4.96,0
"TV002",2003,2,21,10.16,-3.63,0
"TV002",2003,2,22,9.22,-3.2,0
"TV002",2003,2,23,9.98,-2.95,0
"TV002",2003,2,24,12.31,-3.76,0
"TV002",2003,2,25,12.98,-3.65,0
