"site","year","month","day","tmax","tmin","prec"
"Torrecuso",2003,1,1,10.28,6.74,0
"Torrecuso",2003,1,2,13.22,4.63,0
"Torrecuso",2003,1,3,16.56,11.33,0
"Torrecuso",2003,1,4,15.43,11.64,1.8
"Torrecuso",2003,1,5,10.97,8.61,4.3
"Torrecuso",2003,1,6,10.47,4.52,9.1
"Torrecuso",2003,1,7,9.42,7.68,11
"Torrecuso",2003,1,8,10.31,5.77,11.5
"Torrecuso",2003,1,9,10.04,6.7,17.8
"Torrecuso",2003,1,10,11.51,5.03,0
"Torrecuso",2003,1,11,7.19,4.11,0
"Torrecuso",2003,1,12,3.08,1.26,0
"Torrecuso",2003,1,13,5.47,-0.39,0
"Torrecuso",2003,1,14,9.69,-2.03,0
"Torrecuso",2003,1,15,13.38,1.69,0
"Torrecuso",2003,1,16,11.05,3.37,0
"Torrecuso",2003,1,17,9.84,3.24,4.3
"Torrecuso",2003,1,18,8.34,4.9,7.1
"Torrecuso",2003,1,19,10.43,4.2,0
"Torrecuso",2003,1,20,11.52,2.79,0
"Torrecuso",2003,1,21,10.51,4.61,0
"Torrecuso",2003,1,22,13.57,8.5,0
"Torrecuso",2003,1,23,11.66,5.51,7.2
"Torrecuso",2003,1,24,7.38,5.48,16.6
"Torrecuso",2003,1,25,8.36,4.74,6.3
"Torrecuso",2003,1,26,7.87,4.79,0
"Torrecuso",2003,1,27,7.65,3.91,0
"Torrecuso",2003,1,28,13.8,1.81,0
"Torrecuso",2003,1,29,11.94,6.4,3.4
"Torrecuso",2003,1,30,6.7,3.66,7.8
"Torrecuso",2003,1,31,7.19,1.1,8.8
"Torrecuso",2003,2,1,5.41,1.14,7.3
"Torrecuso",2003,2,2,3.99,0.14,0
"Torrecuso",2003,2,3,6.52,-3.04,1.7
"Torrecuso",2003,2,4,10.21,4.67,8
"Torrecuso",2003,2,5,4.27,1.12,3.3
"Torrecuso",2003,2,6,4.24,-1.42,0
"Torrecuso",2003,2,7,6.98,-1.5,0
"Torrecuso",2003,2,8,8.48,-1.67,0
"Torrecuso",2003,2,9,4.55,0.49,0
"Torrecuso",2003,2,10,6.1,0.21,0
"Torrecuso",2003,2,11,4.26,-0.02,0
"Torrecuso",2003,2,12,4.4,-0.18,0
"Torrecuso",2003,2,13,4.9,-0.91,0
"Torrecuso",2003,2,14,5.22,-0.74,0
"Torrecuso",2003,2,15,6.71,-0.17,0
"Torrecuso",2003,2,16,6.07,0.47,0
"Torrecuso",2003,2,17,5.1,0.95,0
"Torrecuso",2003,2,18,3.29,-0.27,0
"Torrecuso",2003,2,19,4.92,-0.81,0
"Torrecuso",2003,2,20,7.24,-1.66,0
"Torrecuso",2003,2,21,9.46,-0.67,0
"Torrecuso",2003,2,22,9.13,1.79,0
"Torrecuso",2003,2,23,7.08,1.3,0
"Torrecuso",2003,2,24,8.43,0.8,0
"Torrecuso",2003,2,25,10.13,-0.11,0
"Torrecuso",2003,2,26,11.38,-0.52,0
"Torrecuso",2003,2,27,13.14,2.8,0
"Torrecuso",2003,2,28,14.48,4.86,0
"Torrecuso",2003,3,1,13.76,4.18,0
"Torrecuso",2003,3,2,11.47,7.16,6.5
"Torrecuso",2003,3,3,12.02,7.33,7.1
"Torrecuso",2003,3,4,11.67,6.44,0
"Torrecuso",2003,3,5,11.98,3.57,0
"Torrecuso",2003,3,6,12.91,2.87,0
"Torrecuso",2003,3,7,13.15,4.82,0
"Torrecuso",2003,3,8,13.84,4.48,0
"Torrecuso",2003,3,9,14.65,4.46,0
"Torrecuso",2003,3,10,15.89,4.59,0
"Torrecuso",2003,3,11,19.76,6.46,0
"Torrecuso",2003,3,12,15.83,7.14,0
"Torrecuso",2003,3,13,14.37,6.24,0
"Torrecuso",2003,3,14,8.61,4.25,0
"Torrecuso",2003,3,15,7.15,1.92,0
"Torrecuso",2003,3,16,4.39,1.32,5.3
"Torrecuso",2003,3,17,9.28,3.35,0
"Torrecuso",2003,3,18,10.98,1.4,0
"Torrecuso",2003,3,19,9.58,3.73,0
"Torrecuso",2003,3,20,12.37,2.19,0
"Torrecuso",2003,3,21,14.33,5.8,0
"Torrecuso",2003,3,22,10.91,4.79,0
"Torrecuso",2003,3,23,7.75,3.07,0
"Torrecuso",2003,3,24,14.63,2.36,0
"Torrecuso",2003,3,25,17.47,5.9,0
"Torrecuso",2003,3,26,17.37,6.19,0
"Torrecuso",2003,3,27,16.78,7.48,0
"Torrecuso",2003,3,28,18.38,5.78,0
"Torrecuso",2003,3,29,18.25,8.81,0
"Torrecuso",2003,3,30,17.99,8.4,0
"Torrecuso",2003,3,31,16.11,10.04,0
"Torrecuso",2003,4,1,15.1,9.3,0
"Torrecuso",2003,4,2,15.93,5.96,0
"Torrecuso",2003,4,3,17.1,10.1,0
"Torrecuso",2003,4,4,13.15,8.66,0
"Torrecuso",2003,4,5,12.73,6.12,0
"Torrecuso",2003,4,6,14.77,4.15,2.9
"Torrecuso",2003,4,7,4.32,-0.39,0
"Torrecuso",2003,4,8,7.33,-3.1,0
