site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\calibration\daily\Alba.csv,1/1/2019 12:00:00 AM,2.9116135,2.9116135,0,0,75.02039,75.02039,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Alba.csv,1/2/2019 12:00:00 AM,11.78,1.3900003,0,0,83.624054,40.894215,-5.0425262,-5.0425262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Alba.csv,1/3/2019 12:00:00 AM,15.11,1.1113173,0,0,81.04391,31.469267,-11.109205,-6.066679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Alba.csv,1/4/2019 12:00:00 AM,9.57,-0.88859373,0,0,79.268906,39.629894,-15.487658,-4.378452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Alba.csv,1/5/2019 12:00:00 AM,8.27,-2.46,0,0,73.55275,34.355255,-18.674652,-3.1869946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Alba.csv,1/6/2019 12:00:00 AM,10.37,-1.7699995,0,0,75.78679,32.33992,-23.109324,-4.434671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Alba.csv,1/7/2019 12:00:00 AM,15.14,0.46000004,0,0,79.15121,29.080626,-29.549473,-6.44015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Alba.csv,1/8/2019 12:00:00 AM,12.32,0.5699997,0,0,81.346924,36.18808,-35.195435,-5.6459618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Alba.csv,1/9/2019 12:00:00 AM,10.03,0.35000038,0,0,81.09372,41.330753,-40.03539,-4.8399534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Alba.csv,1/10/2019 12:00:00 AM,10.24,0.5,0,0,81.49537,41.40318,-44.90243,-4.867043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
