site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\Weather\daily\Arezzo.csv,1/1/2012 12:00:00 AM,-0.44246936,-0.44246936,0,0,64.41581,64.41581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Arezzo.csv,1/2/2012 12:00:00 AM,10.85,-2.38,0,0,84.12397,29.34335,-4.47638,-4.47638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Arezzo.csv,1/3/2012 12:00:00 AM,12.15,4.31,0.65000004,4,91.14071,53.508083,-8.101578,-3.6251974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Arezzo.csv,1/4/2012 12:00:00 AM,14.76,2.2343495,14.950001,23,86.96958,40.345978,-13.459955,-5.358378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Arezzo.csv,1/5/2012 12:00:00 AM,7.68,1.2999997,0.30416667,1,82.64987,52.87586,-16.649956,-3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Arezzo.csv,1/6/2012 12:00:00 AM,10.14,0.47000027,7.1375003,24,81.41087,41.547436,-21.483942,-4.8339868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Arezzo.csv,1/7/2012 12:00:00 AM,11.99,-0.1794072,3.2583332,23,83.71698,40.550728,-27.553268,-6.0693264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Arezzo.csv,1/8/2012 12:00:00 AM,12.18,-2.3000002,0,0,74.2089,27.00804,-32.840034,-5.2867675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Arezzo.csv,1/9/2012 12:00:00 AM,12.22,-2.0600004,0,0,74.78661,27.632948,-38.241184,-5.4011483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Arezzo.csv,1/10/2012 12:00:00 AM,14.32,-1.7399998,0,0,74.40637,24.544868,-45.206467,-6.9652805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Arezzo.csv,1/11/2012 12:00:00 AM,11.9,-3.25,0,0,71.97052,24.86192,-49.999207,-4.792739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
