site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\calibration\daily\Atripalda.csv,1/1/2019 12:00:00 AM,1.1194237,1.1194237,0,0,72.794495,72.794495,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Atripalda.csv,1/2/2019 12:00:00 AM,8.11,-0.07999992,0,0,79.39078,44.643463,-4.0153904,-4.0153904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Atripalda.csv,1/3/2019 12:00:00 AM,9.74,-1.6700001,0,0,75.96965,34.06417,-8.172604,-4.1572127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Atripalda.csv,1/4/2019 12:00:00 AM,2.63,-1.97605,0.074999996,1,70.88486,53.798096,-8.923453,-0.7508495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Atripalda.csv,1/5/2019 12:00:00 AM,0.31999993,-2.37,1.8708333,24,66.25633,52.748577,-8.942487,-0.01903345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Atripalda.csv,1/6/2019 12:00:00 AM,3.5099998,-1.9799999,3.3541665,23,70.29495,47.29583,-10.064536,-1.1220491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Atripalda.csv,1/7/2019 12:00:00 AM,8.44,-2.4399998,0.074999996,1,77.50867,34.069508,-13.338139,-3.2736027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Atripalda.csv,1/8/2019 12:00:00 AM,4.71,1.0640689,1.7249999,23,80.213554,63.63253,-15.161104,-1.8229655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Atripalda.csv,1/9/2019 12:00:00 AM,8.14,-0.14999986,0.26666668,1,83.22584,44.236492,-19.157461,-3.9963574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Atripalda.csv,1/10/2019 12:00:00 AM,6.51,1.3125006,6.291667,24,86.260574,67.744064,-21.75621,-2.5987496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Atripalda.csv,1/11/2019 12:00:00 AM,5.64,0.5700002,3.6416667,23,79.09403,55.238873,-24.29121,-2.5349998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Atripalda.csv,1/12/2019 12:00:00 AM,5.64,0.42000008,0,0,78.71886,54.383556,-26.90121,-2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Atripalda.csv,1/13/2019 12:00:00 AM,6.26,0.61000013,0,0,79.80038,53.547077,-29.726212,-2.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Atripalda.csv,1/14/2019 12:00:00 AM,8.07,-0.06000042,0.39166665,1,82.629715,44.84676,-33.731434,-4.005221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Atripalda.csv,1/15/2019 12:00:00 AM,8.57,1.2200451,9.191667,24,87.52951,59.508343,-37.40641,-3.6749773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Atripalda.csv,1/16/2019 12:00:00 AM,7.34,0.17000008,4.2166667,23,79.556465,48.01193,-40.99141,-3.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
