site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\hourly\Bergamo.csv,1/1/2020 12:00:00 AM,0.5,0.5,0,0,83.1,83.1,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/2/2020 12:00:00 AM,10.1,-0.2,0,9,84.3,46.6,-4.9524274,-4.9524274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/3/2020 12:00:00 AM,9,-1.2,0,8,88.6,48.3,-8.923016,-3.9705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/4/2020 12:00:00 AM,8.9,-0.3,0,12,92.8,53.1,-13.227907,-4.304891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/5/2020 12:00:00 AM,12.2,0,0,2,84.8,49,-19.129547,-5.9016395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/6/2020 12:00:00 AM,11.6,1.4,0,3,75.7,38.8,-24.104057,-4.9745097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/7/2020 12:00:00 AM,7.2,0.2,0,12,90.8,57.9,-27.604057,-3.4999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/8/2020 12:00:00 AM,5.9,-0.9,0,13,91.4,65.2,-30.163616,-2.5595589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/9/2020 12:00:00 AM,7.9,-0.7,0,4,83.7,47.8,-33.792103,-3.6284883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/10/2020 12:00:00 AM,9.3,-1.4,0,9,81.5,40.5,-37.83369,-4.0415893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/11/2020 12:00:00 AM,7.9,0.4,0,16,89.2,68.2,-41.58369,-3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/12/2020 12:00:00 AM,11.3,-0.3,0,0,79.8,40,-47.160416,-5.576724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/13/2020 12:00:00 AM,8.8,-1.7,0,7,90.9,51.7,-50.848034,-3.6876192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/14/2020 12:00:00 AM,7.5,-1,0,9,88.1,51.9,-54.156857,-3.3088236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/15/2020 12:00:00 AM,6.7,-0.3,0,7,85.8,56.7,-57.363285,-3.2064283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/16/2020 12:00:00 AM,7.3,1,0,9,87.6,61.3,-60.513287,-3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/17/2020 12:00:00 AM,9,-0.1,0,12,87.9,54.9,-64.96384,-4.450549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/18/2020 12:00:00 AM,9,-1.3,3.4,10,91.4,49.7,-68.895874,-3.9320388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/19/2020 12:00:00 AM,7.4,-0.1,6.8,17,92.1,74.9,-72.54654,-3.6506667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/20/2020 12:00:00 AM,6.1,-0.1,1.3000001,8,81.7,43.7,-75.54735,-3.0008066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/21/2020 12:00:00 AM,6.9,-1.5,0,0,70.5,28.7,-78.38128,-2.8339288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/22/2020 12:00:00 AM,7.1,-2.1,0,4,80.3,31.4,-81.12096,-2.7396739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/23/2020 12:00:00 AM,9.6,-2.3,0,4,81.9,37.6,-84.993225,-3.872269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/24/2020 12:00:00 AM,9,-1.8,0,8,87.4,39.9,-88.743225,-3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/25/2020 12:00:00 AM,8.5,-2.2,0.4,9,84.4,40.4,-92.11939,-3.3761683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/26/2020 12:00:00 AM,7,1.7,0,16,85.2,57.1,-94.769394,-2.6499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/27/2020 12:00:00 AM,8.5,1.4,0,17,91.7,66.7,-98.3194,-3.5499997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/28/2020 12:00:00 AM,9.5,-0.5,2.9,15,90.1,53.9,-102.831894,-4.5125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/29/2020 12:00:00 AM,7.2,2.4,1.7,18,94.3,81.2,-102.831894,-2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/30/2020 12:00:00 AM,11.1,1.2,0,6,80.8,45.7,-102.77078,-4.888889,0.061111152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,1/31/2020 12:00:00 AM,9.4,1.3,0,9,95,44.8,-102.77078,-4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,2/1/2020 12:00:00 AM,11,-0.8,0,11,88.7,54.5,-102.72841,-5.1694913,0.042372882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,2/2/2020 12:00:00 AM,10,3.3,0,10,90.2,70,-102.72841,-3.3500001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,2/3/2020 12:00:00 AM,11.2,1.6,0,15,88.2,60.2,-102.65341,-4.7250004,0.07499998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,2/4/2020 12:00:00 AM,15.6,4.3,0,10,78.1,53.9,-101.2658,-4.2623897,1.3876108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,2/5/2020 12:00:00 AM,10.7,2.9,0.1,6,86.6,25.7,-101.23439,-3.8685899,0.03141024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,2/6/2020 12:00:00 AM,9.5,0.8,0,0,58.4,18,-101.23439,-4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,2/7/2020 12:00:00 AM,8.3,-0.6,0,0,75.3,31,-101.23439,-3.8702245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,2/8/2020 12:00:00 AM,10.3,-2.1,0,7,79.2,34,-101.23076,-4.281452,0.003629037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,2/9/2020 12:00:00 AM,9.7,-1.7,0,10,86.9,54.1,-101.23076,-4.1267543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,2/10/2020 12:00:00 AM,9.7,-1.2,0.3,7,89.6,50.4,-101.23076,-4.316055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,2/11/2020 12:00:00 AM,10.7,5.2,0.5,11,80.7,62.5,-101.18621,-2.7054546,0.04454543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Bergamo.csv,2/12/2020 12:00:00 AM,14.8,2.7,0,5,85.8,23.2,-100.234146,-5.0979342,0.9520661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
