site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\calibration\daily\Calosso.csv,1/1/2018 12:00:00 AM,3.946613,3.946613,0,0,81.5896,81.5896,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Calosso.csv,1/2/2018 12:00:00 AM,9.93,2.92,0,0,87.7232,54.111416,-3.505,-3.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Calosso.csv,1/3/2018 12:00:00 AM,12.82,2.21,0,0,85.33977,41.33037,-8.43524,-4.93024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Calosso.csv,1/4/2018 12:00:00 AM,13.5,2.3099995,0,0,85.2039,39.754635,-13.482876,-5.0476365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Calosso.csv,1/5/2018 12:00:00 AM,14.31,3.8900003,0,0,88.704544,43.9154,-17.801508,-4.318632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Calosso.csv,1/6/2018 12:00:00 AM,11.05,3.25,0.24166667,1,91.79523,51.92105,-21.630835,-3.829327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Calosso.csv,1/7/2018 12:00:00 AM,9.33,5.7700005,5.5583334,24,95.16393,74.62625,-23.410835,-1.7799997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Calosso.csv,1/8/2018 12:00:00 AM,10.91,6.58,1.4875001,9,97.517654,72.759445,-25.480211,-2.0693765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Calosso.csv,1/9/2018 12:00:00 AM,11.630001,6.86534,35.075,24,100,78.70735,-27.583729,-2.1035173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Calosso.csv,1/10/2018 12:00:00 AM,10.51,5.007027,19.8375,23,96.6117,72.31461,-30.311583,-2.7278535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Calosso.csv,1/11/2018 12:00:00 AM,10.41,3.8327668,0,3,90.82363,58.88223,-33.58742,-3.2758374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Calosso.csv,1/12/2018 12:00:00 AM,10.26,2.7299998,0,0,87.26025,51.945347,-37.34793,-3.7605114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Calosso.csv,1/13/2018 12:00:00 AM,10.96,1.6848677,0,0,88.85219,52.711685,-41.935814,-4.587885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Calosso.csv,1/14/2018 12:00:00 AM,9.29,-0.1148809,0,0,81.02669,43.494587,-46.524075,-4.5882616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Calosso.csv,1/15/2018 12:00:00 AM,7.55,-1.4300001,0,0,75.69759,40.067093,-49.697933,-3.1738586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Calosso.csv,1/16/2018 12:00:00 AM,8.04,0.07999992,0,0,82.011505,45.59047,-53.677933,-3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
