site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\calibration\daily\Casarsa della Delizia.csv,1/1/2019 12:00:00 AM,0.2355777,0.2355777,0,0,69.926575,69.926575,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Casarsa della Delizia.csv,1/2/2019 12:00:00 AM,7.67,-1.04,0,0,76.73848,41.45634,-3.3770895,-3.3770895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Casarsa della Delizia.csv,1/3/2019 12:00:00 AM,8.98,-2.4642005,0,0,74.66821,34.086845,-6.9002886,-3.5231988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Casarsa della Delizia.csv,1/4/2019 12:00:00 AM,6.7200003,-4.04,0,0,68.799736,31.750996,-8.998728,-2.098439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Casarsa della Delizia.csv,1/5/2019 12:00:00 AM,6.91,-5.19,0,0,66.226234,27.65839,-10.971789,-1.9730618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Casarsa della Delizia.csv,1/6/2019 12:00:00 AM,7.55,-3.83,0,0,69.85449,30.939543,-13.476293,-2.5045035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Casarsa della Delizia.csv,1/7/2019 12:00:00 AM,10.16,-2.3199997,0,0,74.41384,30.920464,-17.612959,-4.136667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Casarsa della Delizia.csv,1/8/2019 12:00:00 AM,8.41,-2.4400003,0,0,73.66481,34.132854,-20.872318,-3.2593591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Casarsa della Delizia.csv,1/9/2019 12:00:00 AM,5.06,-2.07,0,0,71.99029,43.160458,-22.667803,-1.7954838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Casarsa della Delizia.csv,1/10/2019 12:00:00 AM,6.81,-1.8107535,0,0,75.05977,41.64161,-25.357597,-2.6897938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Casarsa della Delizia.csv,1/11/2019 12:00:00 AM,9.55,-3.7600002,0,0,70.81469,27.53491,-28.783688,-3.4260895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Casarsa della Delizia.csv,1/12/2019 12:00:00 AM,8.14,-2.5100002,0,0,73.36836,34.445133,-31.894466,-3.1107795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Casarsa della Delizia.csv,1/13/2019 12:00:00 AM,8.73,-2.4300003,0,0,73.818695,33.495647,-35.30902,-3.414556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Casarsa della Delizia.csv,1/14/2019 12:00:00 AM,11.18,-1.4899998,0,0,76.44604,31.553204,-40.29658,-4.9875617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Casarsa della Delizia.csv,1/15/2019 12:00:00 AM,12.58,0.2683587,0,0,81.647964,36.122208,-46.18207,-5.885491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Casarsa della Delizia.csv,1/16/2019 12:00:00 AM,10.4,-1.4700003,0,0,76.534035,33.321297,-50.744835,-4.5627627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Casarsa della Delizia.csv,1/17/2019 12:00:00 AM,10.68,-1.71,0.30833334,1,79.64795,31.882065,-55.366497,-4.6216626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
