site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\calibration\daily\Castel Boglione.csv,1/1/2012 12:00:00 AM,1.5662581,1.5662581,0,0,71.88324,71.88324,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castel Boglione.csv,1/2/2012 12:00:00 AM,10.52,0.029999733,0.5125,1,80.634346,38.70417,-5.232112,-5.232112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castel Boglione.csv,1/3/2012 12:00:00 AM,6.88,1.298625,11.787499,23,84.58937,61.314903,-8.0227995,-2.7906876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castel Boglione.csv,1/4/2012 12:00:00 AM,7.76,0.19000006,0,0,79.87651,46.9102,-11.807799,-3.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castel Boglione.csv,1/5/2012 12:00:00 AM,9.54,-0.3699999,0,0,79.186745,39.58211,-16.399706,-4.591907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castel Boglione.csv,1/6/2012 12:00:00 AM,10.43,0.14999962,0,0,81.16366,39.42615,-21.530712,-5.131007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castel Boglione.csv,1/7/2012 12:00:00 AM,10.76,0.80730873,0,0,87.94646,51.57955,-26.47804,-4.9473286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castel Boglione.csv,1/8/2012 12:00:00 AM,10.35,-0.8299999,0,0,78.133446,35.771397,-31.274328,-4.796288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castel Boglione.csv,1/9/2012 12:00:00 AM,14.54,1.2600002,0,0,81.72082,33.06195,-37.13829,-5.8639607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castel Boglione.csv,1/10/2012 12:00:00 AM,11.78,0.27999973,0,0,80.78333,36.46535,-42.750534,-5.6122437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
