site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\calibration\daily\Castiglione Falletto.csv,1/1/2020 12:00:00 AM,9.815827,9.815827,0.035,1,100,100,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castiglione Falletto.csv,1/2/2020 12:00:00 AM,11.5,0,0.805,24,100,97.38401,-5.652174,-5.652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castiglione Falletto.csv,1/3/2020 12:00:00 AM,9.55,0,0.08,24,100,92.34205,-10.427174,-4.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castiglione Falletto.csv,1/4/2020 12:00:00 AM,11.539999,0,1.88375,24,100,92.29075,-16.094418,-5.667244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castiglione Falletto.csv,1/5/2020 12:00:00 AM,13.52,0,1.0608333,24,100,100,-22.396193,-6.3017755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castiglione Falletto.csv,1/6/2020 12:00:00 AM,13.82,0,1.2554166,24,100,100,-28.778248,-6.382055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castiglione Falletto.csv,1/7/2020 12:00:00 AM,11.03,0,0,24,100,96.16142,-34.245155,-5.4669085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castiglione Falletto.csv,1/8/2020 12:00:00 AM,9.875576,0,0,24,100,90.83287,-39.182945,-4.937788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castiglione Falletto.csv,1/9/2020 12:00:00 AM,11.57,0,0.0095833335,24,100,97.56649,-44.861423,-5.6784787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castiglione Falletto.csv,1/10/2020 12:00:00 AM,11.7,0,0.26833335,24,100,97.90562,-50.58792,-5.7264957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castiglione Falletto.csv,1/11/2020 12:00:00 AM,12.350872,0,1.175,24,100,95.61665,-56.539623,-5.951703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castiglione Falletto.csv,1/12/2020 12:00:00 AM,14.47,0,1.6770833,24,100,100,-63.084198,-6.544575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castiglione Falletto.csv,1/13/2020 12:00:00 AM,11.43,0,0,24,100,97.20163,-68.70975,-5.625547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castiglione Falletto.csv,1/14/2020 12:00:00 AM,9.27,0,0.030000001,24,100,91.62485,-73.34475,-4.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castiglione Falletto.csv,1/15/2020 12:00:00 AM,9.7,0,0.78625,24,100,92.726974,-78.19475,-4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castiglione Falletto.csv,1/16/2020 12:00:00 AM,8.72,0,2.2766666,24,100,90.22124,-82.55475,-4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
