site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 12:00:00 AM,-1.8830466,-1.8830466,0,0,63.74392,63.74392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/2/2011 12:00:00 AM,4.86,-3.04,0,0,69.45291,39.29188,-1.4949116,-1.4949116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/3/2011 12:00:00 AM,5.53,-2.7348366,0,0,74.18389,45.323776,-3.3449721,-1.8500607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/4/2011 12:00:00 AM,5.28,-6.5181794,0,0,67.37348,34.167847,-4.5264425,-1.1814705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/5/2011 12:00:00 AM,2.0599997,-7.9899993,0,0,54.812103,25.928196,-4.737567,-0.21112435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/6/2011 12:00:00 AM,1.9400003,-6.76,0.1,1,65.1952,30.043137,-4.953866,-0.2162989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/7/2011 12:00:00 AM,2.46,-2.1,2.5625,24,73.63231,49.199043,-5.617419,-0.66355264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/8/2011 12:00:00 AM,4.65,0.23999977,6.1375003,24,84.77602,56.364864,-7.822419,-2.2050002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/9/2011 12:00:00 AM,6.93,3.51,2.3,23,87.819305,69.22018,-9.532419,-1.7099998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/10/2011 12:00:00 AM,7.7,4.17,1.275,2,90.12091,70.59284,-11.297419,-1.7649999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/11/2011 12:00:00 AM,8.19,5.0700006,29.5875,24,92.80474,74.877426,-12.857418,-1.5599995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/12/2011 12:00:00 AM,9.01,3.8756073,6.0375004,23,94.843124,75.57619,-15.424615,-2.5671966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/13/2011 12:00:00 AM,9.62,2.0294237,0,0,87.58963,55.047066,-19.219902,-3.795288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/14/2011 12:00:00 AM,9.02,0.8299999,0,0,82.5281,46.359634,-23.314903,-4.0950003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/15/2011 12:00:00 AM,9.78,3.17,0,0,88.355125,56.035526,-26.619904,-3.3049998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/16/2011 12:00:00 AM,10.35,2.8383293,0,0,87.76286,52.63629,-30.367584,-3.7476816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/17/2011 12:00:00 AM,8.89,1.8000002,0,0,84.54073,51.639187,-33.912582,-3.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/18/2011 12:00:00 AM,5.92,0.06991156,0,0,80.86275,57.796837,-36.837627,-2.9250443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/19/2011 12:00:00 AM,5.14,-0.8000002,0.14166667,1,75.16342,49.19722,-39.0615,-2.223872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/20/2011 12:00:00 AM,4.58,-1.0799999,3.2583332,23,75.1177,49.23303,-40.91454,-1.8530388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
