site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\hourly\Cuneo.csv,1/1/2020 12:00:00 AM,-0.5,-0.5,0,0,66.4,66.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Cuneo.csv,1/2/2020 12:00:00 AM,9.8,-1.5,0,0,89.9,44.7,-4.2495575,-4.2495575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Cuneo.csv,1/3/2020 12:00:00 AM,6.9,-1,0,1,92.9,59.4,-7.262849,-3.0132911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Cuneo.csv,1/4/2020 12:00:00 AM,8.7,-0.4,0,5,88.1,46.5,-11.42164,-4.158791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Cuneo.csv,1/5/2020 12:00:00 AM,10.1,0.7,0,3,76.1,32.1,-16.121109,-4.699468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Cuneo.csv,1/6/2020 12:00:00 AM,7.9,-1.9,0,0,93,44.2,-19.305292,-3.1841836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Cuneo.csv,1/7/2020 12:00:00 AM,7.7,-2,0,8,99.9,57.1,-22.361477,-3.0561855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Cuneo.csv,1/8/2020 12:00:00 AM,5.1,-1.9,0,1,94.7,57.8,-24.219334,-1.857857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Cuneo.csv,1/9/2020 12:00:00 AM,8.2,-2.4,0,0,88.6,35.7,-27.391031,-3.1716979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Cuneo.csv,1/10/2020 12:00:00 AM,8.7,-2.1,0,0,87.2,46.8,-30.895199,-3.5041666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Cuneo.csv,1/11/2020 12:00:00 AM,5.4,-0.3,0,4,94,51,-33.453094,-2.5578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Cuneo.csv,1/12/2020 12:00:00 AM,8,-0.6,0,0,81.5,39.4,-37.174026,-3.72093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Cuneo.csv,1/13/2020 12:00:00 AM,8.6,-2.5,0,0,82.8,36.2,-40.505558,-3.3315318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Cuneo.csv,1/14/2020 12:00:00 AM,5.9,-3.3,0,4,98.6,48.1,-42.397408,-1.891848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Cuneo.csv,1/15/2020 12:00:00 AM,5.3,-1.6,0,5,98.7,60.1,-44.432915,-2.0355074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Cuneo.csv,1/16/2020 12:00:00 AM,5.4,0.6,0,11,97.3,73.2,-46.832916,-2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Cuneo.csv,1/17/2020 12:00:00 AM,5.7,-1.2,0,1,97.2,69.1,-49.187263,-2.3543477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Cuneo.csv,1/18/2020 12:00:00 AM,5.7,0.8,10.6,16,99.3,66.3,-51.637264,-2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Cuneo.csv,1/19/2020 12:00:00 AM,5.5,-2.3,0.4,15,97.4,43.1,-53.576366,-1.9391025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Cuneo.csv,1/20/2020 12:00:00 AM,1.1,-3.9,1.8000001,14,85.8,56.7,-53.697365,-0.12100001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Cuneo.csv,1/21/2020 12:00:00 AM,-0.8,-3.1,1.6,8,78.5,51.4,-53.697365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
