site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\Weather\daily\Faenza.csv,1/1/2015 12:00:00 AM,-3.1555464,-3.1555464,0,0,59.461655,59.461655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/2/2015 12:00:00 AM,5.03,-4.56,0,0,71.41289,32.95795,-1.3191293,-1.3191293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/3/2015 12:00:00 AM,9.18,-0.39000034,0,0,82.257996,40.421085,-5.7220764,-4.402947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/4/2015 12:00:00 AM,10.49,3.25,0,0,88.63363,53.90926,-9.325495,-3.6034184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/5/2015 12:00:00 AM,14.459999,2.6799998,0,0,85.42859,38.451447,-14.3712,-5.045705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/6/2015 12:00:00 AM,13.23,2.0299997,0,0,84.64896,39.402138,-19.505445,-5.1342454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/7/2015 12:00:00 AM,9.14,1.1199999,0,0,82.874405,47.403942,-23.515446,-4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/8/2015 12:00:00 AM,8.25,0.40999985,0,0,81.05568,46.577538,-27.435446,-3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/9/2015 12:00:00 AM,9.48,2.67,0,0,86.98238,54.327084,-30.840446,-3.4049997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/10/2015 12:00:00 AM,11.76,2.1400003,0,0,85.569016,44.21153,-35.48945,-4.649002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/11/2015 12:00:00 AM,13.030001,4.2400002,0,1,90.54022,49.92828,-39.362213,-3.8727643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/12/2015 12:00:00 AM,15.390001,2.4100003,0,0,83.83691,34.86517,-44.7331,-5.3708897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/13/2015 12:00:00 AM,16.05,3.6599998,0,0,86.294655,37.58792,-49.451004,-4.7179017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/14/2015 12:00:00 AM,13.58,3.9899998,0,0,89.53262,46.803932,-53.57779,-4.1267834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/15/2015 12:00:00 AM,13.87,4.2,0,0,89.87416,46.789906,-57.63839,-4.0606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/16/2015 12:00:00 AM,14.54,3.6099997,0,1,90.646095,41.975937,-62.1605,-4.522109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/17/2015 12:00:00 AM,15.16,7.6000004,0.0875,7,97.72919,59.22842,-64.17955,-2.0190473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/18/2015 12:00:00 AM,14.86,4.230696,2.0125,23,100,67.20638,-68.38314,-4.2035913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/19/2015 12:00:00 AM,13.56,2.1585066,0,0,85.99299,40.88695,-73.5281,-5.1449594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/20/2015 12:00:00 AM,9.61,0.8800001,0.1375,1,83.42057,44.87192,-77.8931,-4.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/21/2015 12:00:00 AM,5.7300005,3.1300004,3.2416668,24,85.695816,71.42969,-79.1931,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/22/2015 12:00:00 AM,5.58,3.12,1.9875,24,85.506805,71.96635,-80.4231,-1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/23/2015 12:00:00 AM,6.72,2.98,3.9125001,24,88.846466,66.4449,-82.293106,-1.8699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/24/2015 12:00:00 AM,8,4.75,1.8208333,23,91.844025,73.40859,-83.918106,-1.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/25/2015 12:00:00 AM,11.45,4.268906,0,3,91.98161,57.514145,-87.36226,-3.4441557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/26/2015 12:00:00 AM,9.1,1.278004,0,0,88.891396,60.1509,-91.273254,-3.9109979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/27/2015 12:00:00 AM,8.61,0.020000458,0,0,79.87803,43.735943,-95.56825,-4.2949996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Faenza.csv,1/28/2015 12:00:00 AM,8.21,-0.8299999,0,0,77.557915,41.01244,-99.29636,-3.728103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
