site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\hourly\Gorizia.csv,1/1/2014 12:00:00 AM,7.5,7.5,0,0,80,80,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/2/2014 12:00:00 AM,8.7,6.4,0,0,84.9,69.6,-1.1500001,-1.1500001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/3/2014 12:00:00 AM,8.7,6.1,1.2,6,86.4,74,-2.4499998,-1.2999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/4/2014 12:00:00 AM,9.6,8.4,0.7,5,90.8,86,-3.0500002,-0.6000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/5/2014 12:00:00 AM,13.3,9.3,46.3,19,92.3,84.1,-3.68875,-0.63874984,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/6/2014 12:00:00 AM,12.2,9.8,34.6,17,93.8,81.1,-3.8804164,-0.19166648,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/7/2014 12:00:00 AM,11.8,10,0,3,93.3,73.6,-3.880416,4.7683716E-07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/8/2014 12:00:00 AM,10.7,9.3,0.2,13,97.3,94.1,-4.4054155,-0.52499986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/9/2014 12:00:00 AM,9.9,9.1,0,0,94.9,84.3,-4.805415,-0.39999962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/10/2014 12:00:00 AM,9.8,8.5,3.1000001,9,92.1,84.7,-5.455415,-0.6499996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/11/2014 12:00:00 AM,10.2,9.3,5.4,14,93.3,88.8,-5.8831925,-0.42777762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/12/2014 12:00:00 AM,10.3,9.3,1.4,10,95.5,86.7,-6.3381925,-0.45499995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/13/2014 12:00:00 AM,10.3,8.1,0,0,92.8,86.3,-7.4177384,-1.0795459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/14/2014 12:00:00 AM,9.2,7.6,0.2,2,92.4,76.5,-8.217738,-0.7999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/15/2014 12:00:00 AM,11,8.8,21.6,20,95.7,81.7,-9.090465,-0.8727267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/16/2014 12:00:00 AM,8.9,7.8,0.6,2,96.7,85.7,-9.640465,-0.5500002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/17/2014 12:00:00 AM,9.1,7.7,2.6000001,10,88.6,79.8,-10.340465,-0.6999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/18/2014 12:00:00 AM,11.6,8.6,38.9,24,95.5,81.5,-11.413797,-1.0733331,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/19/2014 12:00:00 AM,12.3,9.9,26.3,24,95.4,82.4,-11.511715,-0.09791756,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/20/2014 12:00:00 AM,12.1,10.3,45.1,24,92.8,85.1,-11.511715,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/21/2014 12:00:00 AM,11.1,8.5,6.5,17,95.4,87,-12.579022,-1.0673077,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/22/2014 12:00:00 AM,12,8.2,0.3,4,91.8,78.3,-13.952707,-1.3736849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/23/2014 12:00:00 AM,10.1,7.6,2.1,9,89.3,78.2,-15.200707,-1.2480005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Gorizia.csv,1/24/2014 12:00:00 AM,10.1,8.4,4,12,90.8,83.7,-16.047766,-0.8470592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
