site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\Weather\daily\Lugo.csv,1/1/2014 12:00:00 AM,8.81,0.16090317,0,0,89.81236,63.703228,-4.3245487,-4.3245487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Lugo.csv,1/2/2014 12:00:00 AM,9.2,-1.3900001,0,0,76.54408,36.331585,-8.320771,-3.9962227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Lugo.csv,1/3/2014 12:00:00 AM,5.63,-0.42999983,0.058333334,1,84.959045,49.782894,-10.936028,-2.6152558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Lugo.csv,1/4/2014 12:00:00 AM,6.41,3.5599997,1.4125,24,87.49293,71.72631,-12.361028,-1.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Lugo.csv,1/5/2014 12:00:00 AM,15.32,4.2700005,1.775,24,91.651215,42.267376,-16.605375,-4.244348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Lugo.csv,1/6/2014 12:00:00 AM,8.05,4.343078,3.3541665,23,94.00621,77.873276,-18.458836,-1.8534608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Lugo.csv,1/7/2014 12:00:00 AM,13.220001,2.8200002,0,0,86.7032,42.721066,-23.160355,-4.701519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Lugo.csv,1/8/2014 12:00:00 AM,10.41,1.79,0,0,84.82092,46.74986,-27.460604,-4.3002496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Lugo.csv,1/9/2014 12:00:00 AM,11.64,0.77999973,0,0,82.093704,38.77817,-32.766773,-5.3061695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Lugo.csv,1/10/2014 12:00:00 AM,12.44,2.6506808,0,0,88.04519,46.834946,-37.357346,-4.590573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Lugo.csv,1/11/2014 12:00:00 AM,9.94,1.3999996,0,1,93.05874,46.33315,-41.627346,-4.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
