site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\hourly\Macerata.csv,1/1/2020 12:00:00 AM,3.8,-5.8,0,4,85.3,55.9,-0.7520833,-0.7520833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/2/2020 12:00:00 AM,10.7,3.3,0,9,80.4,42.7,-4.4189754,-3.666892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/3/2020 12:00:00 AM,10.5,-0.3,0,12,91.6,44.7,-9.534716,-5.115741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/4/2020 12:00:00 AM,11.3,-0.9,0,11,96.8,41.1,-14.837175,-5.3024592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/5/2020 12:00:00 AM,10.5,2.9,0,15,94.2,70.8,-18.620728,-3.7835524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/6/2020 12:00:00 AM,9.4,0.4,0.4,8,83.6,42.7,-23.120728,-4.4999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/7/2020 12:00:00 AM,7,-1.4,0,0,86.1,45,-26.037394,-2.9166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/8/2020 12:00:00 AM,7.2,-1.9,0,10,90.4,57.3,-28.885746,-2.8483517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/9/2020 12:00:00 AM,9,-0.1,0,11,90.5,57.2,-33.336296,-4.450549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/10/2020 12:00:00 AM,11.9,-0.7,0,6,91.9,36.7,-39.098995,-5.7626977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/11/2020 12:00:00 AM,12.2,-0.7,0,9,91.3,43.4,-45.055584,-5.956589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/12/2020 12:00:00 AM,9.3,5,0,16,87.5,67.5,-47.205585,-2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/13/2020 12:00:00 AM,9.5,0.3,0,15,92.2,64.1,-51.805584,-4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/14/2020 12:00:00 AM,8.8,-1.8,0,6,92.7,53.1,-55.458412,-3.6528301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/15/2020 12:00:00 AM,9.4,-0.6,0,5,92.5,51.7,-59.87641,-4.4179997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/16/2020 12:00:00 AM,10.9,2.3,0,14,90.5,52,-64.12932,-4.2529073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/17/2020 12:00:00 AM,10.1,1.4,0,12,89.6,60.7,-68.478745,-4.3494253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/18/2020 12:00:00 AM,10.9,0.4,0,2,89.2,48.9,-73.69017,-5.211428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/19/2020 12:00:00 AM,9.3,3.6,2.7,15,92.8,66.1,-76.54017,-2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/20/2020 12:00:00 AM,7.7,3.9,2.4,9,93.7,66.4,-78.44017,-1.9000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/21/2020 12:00:00 AM,6.8,2.1,0.1,2,83.7,61.1,-80.79017,-2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/22/2020 12:00:00 AM,7.6,1.6,0,8,91.7,59.8,-83.79017,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/23/2020 12:00:00 AM,11.5,-0.3,0,9,94,50.8,-89.48932,-5.6991525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/24/2020 12:00:00 AM,10.7,0.7,0,16,95.1,60.7,-94.46482,-4.9755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/25/2020 12:00:00 AM,10.5,0,1,12,97,62.8,-99.70292,-5.2380953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/26/2020 12:00:00 AM,11.1,4.4,0.4,16,95.1,69.6,-102.96262,-3.2597013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/27/2020 12:00:00 AM,10,3.9,0,15,96.1,70.7,-102.96262,-3.0499997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/28/2020 12:00:00 AM,10.7,3.2,0,11,94.9,63.5,-102.929955,-3.717333,0.03266665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/29/2020 12:00:00 AM,12.9,7.3,0.2,4,85,54.9,-102.17906,-2.0491076,0.75089276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/30/2020 12:00:00 AM,13,6.3,0,0,83,52.4,-101.50742,-2.6783576,0.6716418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,1/31/2020 12:00:00 AM,14.2,4.1,0,5,87.8,33.8,-100.634155,-4.1767325,0.8732672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,2/1/2020 12:00:00 AM,13,7.4,0,6,90.4,64.8,-99.83058,-1.9964283,0.80357146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,2/2/2020 12:00:00 AM,14.7,8.7,0,9,90.5,60.8,-97.989746,-1.1591668,1.8408332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Macerata.csv,2/3/2020 12:00:00 AM,15.4,7.5,0,8,90.7,60.5,-96.14418,-2.1044302,1.8455695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
