site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/1/2007 12:00:00 AM,6.0602064,6.0602064,0,1,92.51754,92.51754,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/2/2007 12:00:00 AM,7.1356792,0,0.060000002,19,100,86.12828,-3.5678396,-3.5678396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/3/2007 12:00:00 AM,10.174318,0,1.3800001,24,100,89.30628,-8.653505,-5.0856657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/4/2007 12:00:00 AM,11.92,0,0,24,100,90.63268,-14.458875,-5.8053694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/5/2007 12:00:00 AM,9.337839,0,0,19,100,84.803154,-19.127794,-4.6689196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/6/2007 12:00:00 AM,10.94,0,0,24,100,95.92784,-24.557411,-5.429616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/7/2007 12:00:00 AM,9.87,0,0,24,100,93.16383,-29.49241,-4.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/8/2007 12:00:00 AM,9.13,0,0.16625,24,100,91.26691,-34.05741,-4.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/9/2007 12:00:00 AM,8.236759,0,3.8595834,24,100,86.780914,-38.17579,-4.1183796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/10/2007 12:00:00 AM,9.65,0,0.8908333,24,100,89.04851,-43.00079,-4.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/11/2007 12:00:00 AM,6.811331,0,1.59,24,100,83.68361,-46.406456,-3.4056654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/12/2007 12:00:00 AM,7.98,0,1.3033334,24,100,88.34382,-50.396458,-3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/13/2007 12:00:00 AM,7.34,0,0.18124999,19,100,86.730644,-54.06646,-3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/14/2007 12:00:00 AM,5.57,0,4.33375,24,100,82.3224,-56.85146,-2.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/15/2007 12:00:00 AM,6.25,0,3.9762502,24,100,84.00649,-59.97646,-3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/16/2007 12:00:00 AM,6.39,0,4.359583,24,100,84.35471,-63.17146,-3.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/17/2007 12:00:00 AM,6.32,0,4.5875,24,100,84.180534,-66.33146,-3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/18/2007 12:00:00 AM,7.38,0,4.7083335,24,100,86.83118,-70.02146,-3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/19/2007 12:00:00 AM,13.742159,0,3.4412498,24,100,84.4294,-76.383026,-6.361562,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/20/2007 12:00:00 AM,16.1,0,1.6383334,24,100,95.43779,-83.277435,-6.89441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/21/2007 12:00:00 AM,7.91,0,1.9629167,24,100,88.166885,-87.23244,-3.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/22/2007 12:00:00 AM,8.53,0,5.050833,24,100,89.73796,-91.49744,-4.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/23/2007 12:00:00 AM,14.356714,0,5.8416667,24,100,88.74864,-98.01475,-6.517309,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/24/2007 12:00:00 AM,16.82,0,7.5066667,24,100,100,-105.0421,-7.0273485,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/25/2007 12:00:00 AM,10.05,0,2.5629165,24,100,93.018875,-105.04198,-5.0248756,0.00012437906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/26/2007 12:00:00 AM,7.24,0,1.7045833,24,100,80.12437,-105.04198,-3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/27/2007 12:00:00 AM,6.785724,0,1.5141667,24,99.27602,77.27213,-105.04198,-3.392862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/28/2007 12:00:00 AM,8.509896,0,0,21,100,88.267975,-105.04198,-4.254948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/29/2007 12:00:00 AM,9.97,0,0,24,100,93.421104,-105.04198,-4.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/30/2007 12:00:00 AM,11.38,0,0,24,100,97.071434,-104.958305,-5.606327,0.08367313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,1/31/2007 12:00:00 AM,9.91,0,0,24,100,93.266716,-104.958305,-4.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,2/1/2007 12:00:00 AM,8.18,0,0,20,100,82.7274,-104.958305,-4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,2/2/2007 12:00:00 AM,5.27494,0,0,13,100,79.1613,-104.958305,-2.63747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Malalbergo.csv,2/3/2007 12:00:00 AM,8.552573,0,0,18,100,83.83258,-104.958305,-4.2762866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
