site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\hourly\Oristano.csv,1/1/2014 12:00:00 AM,4.3,4.3,0,0,90,90,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/2/2014 12:00:00 AM,13.1,4.4,0,4,91.1,77.3,-3.797701,-3.797701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/3/2014 12:00:00 AM,14.3,10.5,3.2,22,94.8,85.3,-3.797701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/4/2014 12:00:00 AM,14.7,12.4,0.3,21,97.6,86.4,-3.797701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/5/2014 12:00:00 AM,15,12.5,8.6,24,98.3,86.5,-3.797701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,
..\..\..\files\weather\hourly\Oristano.csv,1/6/2014 12:00:00 AM,13.1,9.6,19.6,13,92.6,61.7,-4.1748433,-0.37714255,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/7/2014 12:00:00 AM,14.1,7.4,0,2,90.7,64.9,-6.270365,-2.095522,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/8/2014 12:00:00 AM,14,5.9,0,3,94,74.6,-9.33271,-3.0623455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/9/2014 12:00:00 AM,15.7,5.4,0,5,95.1,61.6,-12.905526,-3.5728157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/10/2014 12:00:00 AM,15.2,6.1,0,6,92.6,66.7,-15.969812,-3.0642858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/11/2014 12:00:00 AM,14.7,6.5,0,4,91.6,62.6,-18.722862,-2.7530494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/12/2014 12:00:00 AM,15,6.6,0,3,95.2,71.3,-21.434767,-2.711905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/13/2014 12:00:00 AM,13.2,7.2,1.1,11,97.2,87.5,-23.581434,-2.1466668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/14/2014 12:00:00 AM,13.3,6.8,1.3,9,96.5,85.5,-25.993742,-2.4123077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/15/2014 12:00:00 AM,12.4,7.1,15.1,18,95.7,78,-28.100346,-2.106604,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,
..\..\..\files\weather\hourly\Oristano.csv,1/16/2014 12:00:00 AM,11.1,5.4,4.1,7,91.7,61.2,-30.844206,-2.7438595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/17/2014 12:00:00 AM,13.3,4.4,0,0,86.6,72.9,-34.682407,-3.8382025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/18/2014 12:00:00 AM,14.9,9.5,0,5,86.6,75.3,-35.15926,-0.47685194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/19/2014 12:00:00 AM,15.5,8.5,0,0,86.4,64.6,-36.498547,-1.3392856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/20/2014 12:00:00 AM,13.3,9,8.8,12,92.9,69.5,-37.382267,-0.8837204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/21/2014 12:00:00 AM,10.9,8.2,22.2,24,93.1,84.6,-38.582268,-1.1999996,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/22/2014 12:00:00 AM,10.7,8.4,6.3,18,86.7,62.2,-39.625744,-1.0434779,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,
..\..\..\files\weather\hourly\Oristano.csv,1/23/2014 12:00:00 AM,13,7.4,1.8,4,88.4,62.2,-41.622173,-1.9964283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/24/2014 12:00:00 AM,11.7,9.1,18.9,22,94.2,79.1,-42.3664,-0.74423,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,
..\..\..\files\weather\hourly\Oristano.csv,1/25/2014 12:00:00 AM,11.5,8.6,8.7,15,89.9,68.9,-43.42847,-1.0620687,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/26/2014 12:00:00 AM,13,6.4,0,0,84.2,46.8,-46.046654,-2.6181815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/27/2014 12:00:00 AM,13.7,4.3,0,4,90.1,67.5,-50.018463,-3.9718084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/28/2014 12:00:00 AM,12.8,8.4,7.6,14,90.4,67.1,-51.327557,-1.3090917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/29/2014 12:00:00 AM,10.9,6.8,3.7,11,82.7,63.3,-53.278778,-1.9512198,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/30/2014 12:00:00 AM,12.1,6.2,12.8,21,96.3,76.9,-55.85505,-2.5762708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/31/2014 12:00:00 AM,11.5,8.3,7.6,20,91,83.8,-57.103485,-1.2484369,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/1/2014 12:00:00 AM,11.5,6.7,0,1,84.4,61.9,-59.26911,-2.1656256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/2/2014 12:00:00 AM,11.7,5.4,0,0,89.9,62.7,-62.189747,-2.920635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/3/2014 12:00:00 AM,9.4,5.2,10.7,18,93.4,79.4,-64.28975,-2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/4/2014 12:00:00 AM,11.2,6,6.9,13,94.1,68.3,-66.75129,-2.4615388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/5/2014 12:00:00 AM,11,5.2,5.8,10,91.9,76,-69.56509,-2.8137937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
