site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/1/2019 12:00:00 AM,33.62,0.48568127,0,0,84.49,49.729073,-8.148329,-8.148329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/2/2019 12:00:00 AM,10.66,-1.2600002,0.037499998,1,77.05943,33.48606,-12.933195,-4.784866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/3/2019 12:00:00 AM,6.02,-1.0700002,0.86249995,23,75.39731,45.518784,-15.488935,-2.5557404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/4/2019 12:00:00 AM,5.82,-1.3899999,0.13333334,1,74.42265,44.499172,-17.837923,-2.3489876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/5/2019 12:00:00 AM,4.05,-1.9700001,3.0666668,23,71.03328,46.04365,-19.200256,-1.362334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/6/2019 12:00:00 AM,7.3899994,-0.8399999,0,0,77.05946,43.059288,-22.518124,-3.3178673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/7/2019 12:00:00 AM,9.78,0.25,0,0,80.80397,41.576485,-27.283123,-4.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/8/2019 12:00:00 AM,9.12,-0.4499998,0,0,78.87538,40.321335,-31.628704,-4.34558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/9/2019 12:00:00 AM,10.63,0.23999977,0,0,80.84292,39.270344,-36.804604,-5.1759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/10/2019 12:00:00 AM,7.63,0.21999979,0.0875,1,79.87277,47.428818,-40.509605,-3.7050002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/11/2019 12:00:00 AM,8.04,0.032648824,2.0125,23,80.82142,47.626072,-44.513283,-4.0036755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/12/2019 12:00:00 AM,7.45,-1.2399998,0,0,76.10483,41.128693,-47.706753,-3.1934695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/13/2019 12:00:00 AM,9.77,0.6300001,0,0,81.77109,43.276196,-52.276752,-4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/14/2019 12:00:00 AM,11.37,2.7300005,0,0,87.195,48.211624,-56.488136,-4.211383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/15/2019 12:00:00 AM,12.32,1.8299999,0,0,84.58061,41.195263,-61.476585,-4.988451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/16/2019 12:00:00 AM,12.08,1.9799995,0,0,85.05654,42.540257,-66.31241,-4.835822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/17/2019 12:00:00 AM,14.32,3.3600001,0,0,89.14751,41.613987,-70.941025,-4.6286135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/18/2019 12:00:00 AM,11.559999,3.7665093,0.8875,6,94.71185,63.16597,-74.68164,-3.740615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/19/2019 12:00:00 AM,7.01,3.21,20.525,24,87.102196,66.84727,-76.58164,-1.9000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/20/2019 12:00:00 AM,7.42,2.6014059,3.0125,24,87.38527,65.161896,-78.99094,-2.4092972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/21/2019 12:00:00 AM,5.99,1.3599706,10.083333,24,83.116684,62.880207,-81.305954,-2.3150146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/22/2019 12:00:00 AM,3.05,0.7140682,7.2000003,24,76.97966,66.83028,-82.47392,-1.1679659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/23/2019 12:00:00 AM,2.02,0.49,2.8374999,24,75.65254,66.20459,-83.23892,-0.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/24/2019 12:00:00 AM,6.12,0.7600002,7.9541664,23,81.723495,54.825474,-85.91892,-2.6799998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/25/2019 12:00:00 AM,8.41,0.9053408,0,0,86.69776,58.37217,-89.67125,-3.7523298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/26/2019 12:00:00 AM,4.55,0.2800002,0,0,77.1271,56.907047,-91.80625,-2.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/27/2019 12:00:00 AM,8.94,0.14999962,0.17916667,1,80.3335,43.4225,-96.20125,-4.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/28/2019 12:00:00 AM,13.26,0.5500002,4.3125,24,80.84207,33.76731,-102.13817,-5.9369197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/29/2019 12:00:00 AM,4.86,0.96082896,4.5041666,24,79.74559,61.44353,-102.13817,-1.9495854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/30/2019 12:00:00 AM,5.57,0.17000008,2.2041667,23,78.02239,53.19249,-102.13817,-2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,1/31/2019 12:00:00 AM,7.02,0.5999999,0,0,85.06052,51.17159,-102.13817,-3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,2/1/2019 12:00:00 AM,8.25,3.6800003,0,0,89.15651,64.993225,-102.13817,-2.2849998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,2/2/2019 12:00:00 AM,15.22,5.54,0.38750002,4,92.164566,48.28564,-100.73071,-3.4325414,1.4074588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\PU001_Piagge.csv,2/3/2019 12:00:00 AM,14.13,5.5199995,9.004168,24,93.16044,52.291496,-99.74018,-3.314472,0.9905284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
